x,y,curie
-2100000,90000,10.220941846659594
-2100000,100000,10.429494447647008
-2070000,110000,10.316407200967623
-2060000,120000,10.467807957536227
-2040000,-30000,10.109554996482334
-2020000,-20000,10.176497319966334
-2020000,130000,10.658234041026358
-2010000,-190000,12.087538108123942
-2010000,-180000,11.771882629061095
-2010000,120000,10.372685463468807
-2010000,140000,10.99549493364966
-2010000,230000,12.531349613920035
-2000000,-190000,12.494929689891581
-2000000,-180000,12.147481276854892
-2000000,-80000,9.332864898579512
-2000000,60000,7.324936196632319
-2000000,90000,8.391063555243521
-2000000,100000,9.23403260493325
-2000000,110000,9.97402483463587
-2000000,120000,10.422406950654214
-2000000,130000,10.752396201137875
-2000000,140000,11.04137628392361
-2000000,240000,12.446271431224815
-2000000,250000,12.337860751759568
-1990000,-190000,12.91111890069018
-1990000,-90000,9.124871912596346
-1990000,-80000,9.167740733528845
-1990000,-70000,9.396785532205048
-1990000,-30000,10.28223865511713
-1990000,20000,7.7006342390451135
-1990000,30000,7.459973957450893
-1990000,70000,7.251369898027771
-1990000,80000,7.58588671520337
-1990000,110000,9.985524133691442
-1990000,120000,10.462821202503681
-1990000,130000,10.776134629442716
-1990000,140000,11.041372207967939
-1990000,250000,12.331477544286896
-1990000,260000,12.206530975505617
-1980000,-90000,9.112599516263371
-1980000,-80000,8.995042998914437
-1980000,-70000,9.034803246142804
-1980000,-60000,9.371002214122148
-1980000,-50000,9.777780646490994
-1980000,-40000,9.99714070271054
-1980000,-30000,10.011371942636373
-1980000,-20000,10.003996946917319
-1980000,-10000,9.846526119138653
-1980000,10000,8.320545090964272
-1980000,20000,7.76323469156748
-1980000,30000,7.437539066532884
-1980000,40000,7.215175129047655
-1980000,70000,7.006176582789098
-1980000,80000,7.363967049485474
-1980000,110000,10.003972298054965
-1980000,120000,10.49718247338337
-1980000,130000,10.793257145670456
-1980000,260000,12.200168714418977
-1980000,270000,12.073634267515725
-1970000,-100000,9.441932548478425
-1970000,-90000,9.142142494304538
-1970000,-80000,8.846556340011393
-1970000,-70000,8.654382416118171
-1970000,-60000,8.814364389861135
-1970000,-50000,9.180764039695513
-1970000,-40000,9.356933297848942
-1970000,-30000,9.251651159985089
-1970000,-20000,9.247650803982017
-1970000,-10000,9.33293018867811
-1970000,30000,7.438906272250307
-1970000,40000,7.1481942611316605
-1970000,70000,6.862009215051032
-1970000,80000,7.2282356881613214
-1970000,90000,8.210150165037293
-1970000,100000,9.250923698558982
-1970000,110000,10.079802262885009
-1970000,120000,10.521999028113656
-1970000,130000,10.784656125577104
-1970000,140000,10.971470417265445
-1970000,180000,11.863553432513035
-1970000,270000,12.066482469474442
-1960000,-190000,14.052993245855768
-1960000,-120000,10.377257525022364
-1960000,-60000,8.149175530293235
-1960000,-50000,8.497065698084178
-1960000,-40000,8.576899370426705
-1960000,-30000,8.259384657975833
-1960000,-20000,8.409803300409543
-1960000,-10000,8.835032950034973
-1960000,20000,8.044767556002887
-1960000,30000,7.473147896952395
-1960000,50000,6.863263574477365
-1960000,70000,6.859301087254163
-1960000,80000,7.376525562605315
-1960000,90000,8.424749169969232
-1960000,100000,9.46956852561893
-1960000,110000,10.182298426603857
-1960000,120000,10.534652415086502
-1960000,130000,10.740560032409359
-1960000,140000,10.885667024607049
-1950000,-180000,13.945870272405005
-1950000,-120000,10.788312548180432
-1950000,-110000,10.359542380307747
-1950000,-70000,8.025095469021009
-1950000,-50000,8.086424117732461
-1950000,-40000,8.059134232265752
-1950000,-30000,7.933732212868183
-1950000,-20000,8.009310230297139
-1950000,-10000,8.585531642448538
-1950000,0,9.417946810984759
-1950000,30000,7.613434910391885
-1950000,50000,6.808812911489931
-1950000,60000,6.787382108466071
-1950000,70000,7.005932201163649
-1950000,110000,10.24656451635391
-1950000,120000,10.491149975106499
-1950000,130000,10.628691128424608
-1940000,-170000,13.91952412771412
-1940000,-160000,13.540180944761161
-1940000,-120000,11.281455730026739
-1940000,-110000,10.765876614135923
-1940000,-100000,10.293043446921216
-1940000,-90000,9.739170333862914
-1940000,-80000,9.069774921118265
-1940000,-50000,8.199603288381118
-1940000,-40000,7.988759860949061
-1940000,-30000,7.824213810539618
-1940000,-20000,7.907004277953204
-1940000,-10000,8.594860331963943
-1940000,0,9.831708273220112
-1940000,10000,10.001420823924981
-1940000,40000,7.110144673296887
-1940000,110000,10.234846022949078
-1940000,120000,10.365503464789166
-1940000,130000,10.441626683677825
-1940000,140000,10.543716492397778
-1930000,-110000,11.180271125043864
-1930000,-100000,10.672996860755864
-1930000,-90000,10.165647195168203
-1930000,-80000,9.666434162659792
-1930000,-70000,9.236061071500842
-1930000,-60000,9.00668129442205
-1930000,-50000,8.617370288322064
-1930000,-40000,8.027372197871385
-1930000,-30000,7.814114303937356
-1930000,-20000,8.00566090243765
-1930000,-10000,8.899656934572777
-1930000,0,10.01005181599554
-1930000,10000,10.179861382085281
-1930000,20000,9.455182484443213
-1930000,30000,8.32846440309206
-1930000,40000,7.410042144520009
-1930000,80000,8.557319744347542
-1930000,90000,9.333322277123116
-1930000,100000,9.975313058897042
-1930000,110000,10.124434855798924
-1930000,120000,10.148220966102954
-1930000,130000,10.17786327024379
-1930000,140000,10.281365450802074
-1930000,150000,10.486672673403259
-1920000,-110000,11.587689634275426
-1920000,-90000,10.650990472345214
-1920000,-80000,10.263691285858847
-1920000,-70000,9.924163967626725
-1920000,-60000,9.342577909031224
-1920000,-50000,8.618647751557038
-1920000,-40000,8.00739397575864
-1920000,-30000,7.883414585551421
-1920000,-20000,8.29745683713466
-1920000,-10000,9.424197319882785
-1920000,0,10.321668179390018
-1920000,10000,10.419219350980956
-1920000,20000,9.76384616133122
-1920000,30000,8.674522510788934
-1920000,40000,7.786463421944292
-1920000,50000,7.430897511095527
-1920000,60000,7.6457009163748335
-1920000,70000,8.222948107774583
-1920000,80000,8.886392074463384
-1920000,90000,9.386553563042426
-1920000,100000,9.764685981361609
-1920000,110000,9.77758513175584
-1920000,120000,9.724508370751565
-1920000,130000,9.794126810490368
-1920000,140000,9.956471598714833
-1910000,-90000,11.093878818320592
-1910000,-80000,10.685391359171009
-1910000,-70000,10.241210767518913
-1910000,-60000,9.55142709532025
