x,y,h,z,h_z,t
-1940000,-20000,174.0,7907.004277953204,-7733.004277953204,580
-1940000,-10000,483.0,8594.86033196394,-8111.860331963941,580
-1940000,0,234.7,9831.708273220114,-9597.008273220114,580
-1940000,10000,374.0,10001.42082392498,-9627.42082392498,580
-1940000,40000,11.0,7110.144673296888,-7099.144673296888,580
-1940000,110000,3.0,10234.846022949077,-10231.846022949077,580
-1940000,120000,524.5,10365.503464789166,-9841.003464789166,580
-1940000,130000,418.1,10441.626683677825,-10023.526683677825,580
-1940000,140000,8.0,10543.716492397778,-10535.716492397778,580
-1930000,-110000,508.6,11180.271125043864,-10671.671125043864,580
-1930000,-100000,41.7,10672.996860755862,-10631.296860755861,580
-1930000,-90000,96.9,10165.647195168203,-10068.747195168204,580
-1930000,-80000,233.6,9666.434162659792,-9432.834162659792,580
-1930000,-70000,336.1,9236.061071500842,-8899.961071500842,580
-1930000,-60000,185.0,9006.681294422051,-8821.681294422051,580
-1930000,-50000,229.1,8617.370288322065,-8388.270288322065,580
-1930000,-40000,321.8,8027.372197871385,-7705.572197871385,580
-1930000,-30000,211.7,7814.114303937356,-7602.414303937357,580
-1930000,-20000,701.7,8005.66090243765,-7303.9609024376505,580
-1930000,-10000,541.0,8899.656934572778,-8358.656934572778,580
-1930000,0,323.6,10010.05181599554,-9686.45181599554,580
-1930000,10000,306.3,10179.861382085279,-9873.56138208528,580
-1930000,20000,32.1,9455.182484443214,-9423.082484443214,580
-1930000,30000,-0.4,8328.464403092059,-8328.864403092059,580
-1930000,40000,33.0,7410.042144520008,-7377.042144520008,580
-1930000,80000,3.7,8557.319744347544,-8553.619744347543,580
-1930000,90000,-0.4,9333.322277123118,-9333.722277123117,580
-1930000,100000,2.6,9975.313058897043,-9972.713058897043,580
-1930000,110000,3.4,10124.434855798923,-10121.034855798924,580
-1930000,120000,336.2,10148.220966102952,-9812.020966102951,580
-1930000,130000,556.7,10177.863270243788,-9621.163270243787,580
-1930000,140000,53.2,10281.365450802074,-10228.165450802073,580
-1930000,150000,121.0,10486.672673403258,-10365.672673403258,580
-1920000,-110000,70.6,11587.689634275426,-11517.089634275426,580
-1920000,-90000,36.0,10650.990472345213,-10614.990472345213,580
-1920000,-80000,165.6,10263.691285858848,-10098.091285858847,580
-1920000,-70000,231.0,9924.163967626724,-9693.163967626724,580
-1920000,-60000,399.0,9342.577909031224,-8943.577909031224,580
-1920000,-50000,484.6,8618.647751557037,-8134.0477515570365,580
-1920000,-40000,1178.7,8007.393975758639,-6828.693975758639,580
-1920000,-30000,272.9,7883.414585551421,-7610.514585551421,580
-1920000,-20000,671.5,8297.456837134661,-7625.956837134661,580
-1920000,-10000,151.0,9424.197319882784,-9273.197319882784,580
-1920000,0,314.9,10321.668179390019,-10006.76817939002,580
-1920000,10000,776.9,10419.219350980957,-9642.319350980957,580
-1920000,20000,381.8,9763.846161331221,-9382.046161331222,580
-1920000,30000,3.8,8674.522510788933,-8670.722510788934,580
-1920000,40000,62.0,7786.463421944293,-7724.463421944293,580
-1920000,50000,-0.4,7430.897511095528,-7431.297511095528,580
-1920000,60000,-0.1,7645.7009163748335,-7645.800916374834,580
-1920000,70000,22.1,8222.948107774582,-8200.848107774582,580
-1920000,80000,79.1,8886.392074463383,-8807.292074463383,580
-1920000,90000,4.0,9386.553563042426,-9382.553563042426,580
-1920000,100000,4.5,9764.685981361607,-9760.185981361607,580
-1920000,110000,3.4,9777.58513175584,-9774.185131755841,580
-1920000,120000,507.5,9724.508370751564,-9217.008370751564,580
-1920000,130000,253.2,9794.126810490367,-9540.926810490366,580
-1920000,140000,2.6,9956.471598714832,-9953.871598714832,580
-1910000,-90000,43.1,11093.878818320592,-11050.778818320592,580
-1910000,-80000,156.0,10685.391359171008,-10529.391359171008,580
-1910000,-70000,163.1,10241.210767518913,-10078.110767518912,580
-1910000,-60000,147.0,9551.42709532025,-9404.42709532025,580
-1910000,-50000,351.3,8638.636870570568,-8287.336870570569,580
-1910000,-40000,333.9,8175.027283224137,-7841.1272832241375,580
-1910000,-30000,344.2,8207.978185294423,-7863.778185294424,580
-1910000,-20000,762.8,8959.864256352857,-8197.064256352858,580
-1910000,-10000,146.8,9985.035716745515,-9838.235716745516,580
-1910000,0,253.1,10730.782388128477,-10477.682388128476,580
-1910000,10000,675.1,10708.276724006844,-10033.176724006844,580
-1910000,20000,777.6,9937.372610227212,-9159.772610227212,580
-1910000,30000,112.0,8859.283872180347,-8747.283872180347,580
-1910000,40000,16.5,7943.469781673469,-7926.969781673469,580
-1910000,50000,8.8,7655.464411544269,-7646.664411544269,580
-1910000,60000,79.8,7897.509935249099,-7817.709935249099,580
-1910000,70000,75.6,8505.25963146663,-8429.65963146663,580
-1910000,80000,47.9,8981.036453829767,-8933.136453829768,580
-1910000,90000,366.0,9200.876908380047,-8834.876908380047,580
-1910000,100000,43.7,9275.813369704363,-9232.113369704362,580
-1910000,110000,11.3,9174.211229598095,-9162.911229598096,580
-1910000,120000,169.8,9150.373624735064,-8980.573624735065,580
-1910000,130000,28.6,9390.866683489148,-9362.266683489148,580
-1910000,140000,3.8,9721.612549590443,-9717.812549590444,580
-1900000,-90000,398.1,11474.313759626932,-11076.213759626931,580
-1900000,-80000,237.0,11046.945697521362,-10809.945697521362,580
-1900000,-70000,249.5,10546.618641708794,-10297.118641708794,580
-1900000,-60000,136.0,9914.268940085269,-9778.268940085269,580
-1900000,-50000,190.7,9180.587219316141,-8989.88721931614,580
-1900000,-40000,181.2,8856.767320193909,-8675.567320193908,580
-1900000,-30000,447.3,9022.867175770882,-8575.567175770882,580
-1900000,-20000,760.4,9717.109722340669,-8956.709722340669,580
-1900000,-10000,210.0,10547.538742314026,-10337.538742314026,580
-1900000,0,667.8,11012.129136789814,-10344.329136789815,580
-1900000,10000,1403.6,10826.091332416145,-9422.491332416144,580
-1900000,20000,1139.7,9947.779522055847,-8808.079522055847,580
-1900000,30000,183.6,8784.57168215043,-8600.97168215043,580
-1900000,40000,117.6,7841.150713159447,-7723.550713159447,580
-1900000,50000,58.3,7535.021237404228,-7476.721237404227,580
-1900000,60000,66.2,7861.677056847007,-7795.477056847008,580
-1900000,70000,32.1,8423.70602418782,-8391.60602418782,580
-1900000,80000,351.4,8849.477391216038,-8498.077391216038,580
-1900000,90000,444.6,8873.411223895107,-8428.811223895107,580
-1900000,100000,393.8,8807.324801944142,-8413.524801944142,580
-1900000,110000,16.2,8753.435335491677,-8737.235335491676,580
-1900000,120000,32.8,8844.807450556837,-8812.007450556837,580
-1900000,130000,572.9,9137.844251514533,-8564.944251514533,580
-1900000,140000,299.6,9641.828388898492,-9342.228388898491,580
-1900000,150000,57.9,10149.795325039066,-10091.895325039066,580
-1900000,160000,1.6,10621.435673941396,-10619.835673941396,580
-1890000,-100000,107.4,12361.635945525943,-12254.235945525943,580
-1890000,-90000,115.6,11880.546531443408,-11764.946531443407,580
-1890000,-80000,327.6,11424.460298370035,-11096.860298370035,580
-1890000,-70000,503.3,10928.036506314767,-10424.736506314768,580
-1890000,-60000,348.6,10341.196938227591,-9992.59693822759,580
-1890000,-50000,189.8,9818.79740358662,-9628.99740358662,580
-1890000,-40000,310.6,9702.257423951107,-9391.657423951106,580
-1890000,-30000,669.5,9972.80448660937,-9303.30448660937,580
-1890000,-20000,541.9,10528.479665196637,-9986.579665196638,580
-1890000,-10000,891.9,11059.203367845423,-10167.303367845423,580
-1890000,0,755.2,11198.777791243157,-10443.577791243157,580
-1890000,10000,1521.5,10793.84597567877,-9272.34597567877,580
-1890000,20000,975.5,9743.187278629057,-8767.687278629057,580
-1890000,30000,469.5,8448.62012017237,-7979.120120172371,580
-1890000,40000,493.9,7430.332614186687,-6936.432614186688,580
-1890000,50000,170.5,7084.994920096847,-6914.494920096847,580
-1890000,60000,182.4,7537.832644321402,-7355.432644321402,580
-1890000,70000,161.9,8105.583723425767,-7943.683723425767,580
-1890000,80000,802.0,8361.790822992,-7559.790822991999,580
-1890000,90000,803.7,8330.821729777594,-7527.121729777594,580
-1890000,100000,486.0,8243.298027979887,-7757.298027979887,580
-1890000,110000,32.8,8382.470575446005,-8349.670575446005,580
-1890000,120000,563.3,8668.931840411116,-8105.631840411116,580
-1890000,130000,57.6,9094.10003596749,-9036.50003596749,580
-1890000,140000,151.6,9684.72258475097,-9533.12258475097,580
-1890000,150000,223.8,10280.014972941217,-10056.214972941218,580
-1890000,160000,316.9,10756.673607238145,-10439.773607238145,580
-1880000,-90000,89.4,12325.058921360245,-12235.658921360246,580
-1880000,-80000,185.8,11843.537174073106,-11657.737174073107,580
-1880000,-70000,294.6,11422.755104717,-11128.155104717,580
-1880000,-60000,99.0,10984.141485284214,-10885.141485284214,580
-1880000,-50000,89.7,10629.489334509555,-10539.789334509554,580
-1880000,-40000,135.9,10624.210685826745,-10488.310685826746,580
-1880000,-30000,949.8,10925.11997642848,-9975.31997642848,580
-1880000,-20000,414.6,11392.751884028234,-10978.151884028233,580
-1880000,-10000,1244.7,11725.49828011808,-10480.798280118079,580
-1880000,0,1045.7,11452.371976035216,-10406.671976035215,580
-1880000,10000,765.6,10706.321406148752,-9940.721406148752,580
-1880000,20000,1339.0,9455.099666531056,-8116.099666531056,580
-1880000,30000,480.7,8129.698761576004,-7648.998761576004,580
-1880000,40000,959.6,7148.5520458697,-6188.9520458697,580
-1880000,50000,379.9,6893.449866204915,-6513.549866204916,580
-1880000,60000,917.0,7151.22817535467,-6234.22817535467,580
-1880000,70000,838.3,7654.195391833622,-6815.895391833622,580
-1880000,80000,695.0,7794.812506949186,-7099.812506949186,580
-1880000,90000,814.0,7683.457316290026,-6869.457316290026,580
-1880000,100000,152.6,7710.7290000592475,-7558.129000059247,580
-1880000,110000,448.3,8042.301574050558,-7594.001574050558,580
-1880000,120000,303.0,8562.31504130282,-8259.31504130282,580
-1880000,130000,74.6,9172.425921894717,-9097.825921894717,580
-1880000,140000,57.3,9841.441050979163,-9784.141050979164,580
-1880000,150000,4.3,10472.482556704348,-10468.182556704349,580
-1880000,160000,1.8,10950.772494651877,-10948.972494651878,580
-1870000,-80000,171.2,12371.453864020603,-12200.253864020602,580
-1870000,-70000,344.7,12022.242781942312,-11677.542781942311,580
-1870000,-60000,22.9,11742.56031400918,-11719.660314009181,580
-1870000,-50000,13.1,11557.477651064324,-11544.377651064324,580
-1870000,-40000,25.4,11613.786021376245,-11588.386021376245,580
-1870000,-30000,338.6,11910.878319200645,-11572.278319200645,580
-1870000,-20000,603.2,12230.862028535088,-11627.662028535087,580
-1870000,-10000,656.6,12264.294093207614,-11607.694093207614,580
-1870000,0,985.9,11709.555596563758,-10723.655596563758,580
-1870000,10000,676.2,10646.471511235117,-9970.271511235116,580
-1870000,20000,715.6,9257.956010702523,-8542.356010702522,580
-1870000,30000,572.7,7877.236651696879,-7304.536651696879,580
-1870000,40000,601.9,7065.780134176933,-6463.880134176933,580
-1870000,50000,1171.1,6833.3862988525725,-5662.286298852572,580
-1870000,60000,577.0,6901.131071017528,-6324.131071017528,580
-1870000,70000,596.7,7079.747438423612,-6483.047438423612,580
-1870000,80000,497.0,7140.0997685523125,-6643.0997685523125,580
-1870000,90000,328.3,7054.1980821502175,-6725.898082150217,580
-1870000,100000,128.3,7233.659498417631,-7105.359498417631,580
-1870000,110000,778.6,7825.868822207,-7047.268822207,580
-1870000,120000,317.0,8573.204287637313,-8256.204287637313,580
-1870000,130000,94.0,9353.902885157631,-9259.902885157631,580
-1870000,140000,548.4,10104.650675045117,-9556.250675045118,580
-1870000,150000,207.7,10744.152271075043,-10536.452271075043,580
-1870000,160000,127.1,11207.53958202439,-11080.43958202439,580
-1860000,-50000,8.9,12448.038894024727,-12439.138894024727,580
-1860000,-40000,75.8,12601.773448812455,-12525.973448812456,580
-1860000,-30000,273.3,12882.82747997207,-12609.52747997207,580
-1860000,-20000,152.2,13011.410861075421,-12859.21086107542,580
-1860000,-10000,410.4,12726.963875154835,-12316.563875154836,580
-1860000,0,518.4,11867.044537779202,-11348.644537779202,580
-1860000,10000,538.9,10652.791780684303,-10113.891780684304,580
-1860000,20000,1097.2,9194.61912902949,-8097.41912902949,580
-1860000,30000,611.3,7899.235417740723,-7287.935417740723,580
-1860000,40000,797.8,7222.170482462801,-6424.370482462801,580
-1860000,50000,796.3,6944.791014457168,-6148.491014457168,580
-1860000,60000,749.4,6879.890716033638,-6130.490716033638,580
-1860000,70000,806.7,6854.901102139722,-6048.201102139722,580
-1860000,80000,772.0,6805.776203799749,-6033.776203799749,580
-1860000,90000,486.0,6797.883659989727,-6311.883659989727,580
-1860000,100000,350.6,7040.03824577465,-6689.43824577465,580
-1860000,110000,848.0,7816.648787395742,-6968.648787395742,580
-1860000,120000,477.0,8746.078072284741,-8269.078072284741,580
-1860000,130000,19.0,9635.124485673958,-9616.124485673958,580
-1860000,140000,16.9,10475.07572200289,-10458.17572200289,580
-1860000,150000,9.4,11154.007798190512,-11144.607798190513,580
-1850000,-40000,69.2,13588.789199155948,-13519.589199155947,580
-1850000,-30000,91.0,13758.689256490974,-13667.689256490974,580
-1850000,-20000,715.0,13597.169476143785,-12882.169476143785,580
-1850000,-10000,481.5,13011.105733463546,-12529.605733463546,580
-1850000,0,502.5,12000.395555277051,-11497.895555277051,580
-1850000,10000,609.1,10702.165663755064,-10093.065663755064,580
-1850000,20000,200.2,9139.648213368715,-8939.448213368714,580
-1850000,30000,848.3,8042.62880676311,-7194.32880676311,580
-1850000,40000,914.1,7578.172249307383,-6664.072249307383,580
-1850000,50000,555.6,7326.637390529696,-6771.037390529696,580
-1850000,60000,768.9,7124.509134630758,-6355.6091346307585,580
-1850000,70000,941.9,6912.981106030407,-5971.081106030408,580
-1850000,80000,424.8,6759.113313201759,-6334.313313201759,580
-1850000,90000,502.0,6775.230707038054,-6273.230707038054,580
-1850000,100000,365.3,7136.4656247193125,-6771.165624719312,580
-1850000,110000,453.0,8033.381956000929,-7580.381956000929,580
-1850000,120000,184.6,9005.706644138356,-8821.106644138355,580
-1850000,130000,5.4,9986.373831294588,-9980.973831294588,580
-1850000,170000,390.7,12015.640161488225,-11624.940161488224,580
-1850000,180000,9.9,11989.939771347019,-11980.03977134702,580
-1840000,-20000,210.0,14281.151705007325,-14071.151705007325,580
-1840000,-10000,331.8,13338.920754772354,-13007.120754772355,580
-1840000,0,105.9,12150.637940767012,-12044.737940767012,580
-1840000,10000,121.6,10828.456092248403,-10706.856092248403,580
-1840000,20000,453.6,9210.698792445037,-8757.098792445036,580
-1840000,30000,770.2,8381.01900850881,-7610.819008508811,580
-1840000,40000,921.8,8094.272423053004,-7172.472423053004,580
-1840000,50000,334.5,7943.704702331075,-7609.204702331075,580
-1840000,60000,513.4,7597.763598448886,-7084.3635984488865,580
-1840000,70000,955.4,7191.224208247265,-6235.824208247265,580
-1840000,80000,752.0,6894.209820984528,-6142.209820984528,580
-1840000,90000,577.0,6888.711553039641,-6311.711553039641,580
-1840000,100000,322.0,7415.01847884279,-7093.01847884279,580
-1840000,110000,123.5,8335.623208957188,-8212.123208957188,580
-1840000,170000,113.3,12236.294677446765,-12122.994677446766,580
-1840000,180000,372.0,12129.737188733716,-11757.737188733716,580
-1840000,190000,202.0,12169.86397058844,-11967.86397058844,580
-1830000,-10000,56.8,13706.084856317355,-13649.284856317356,580
-1830000,0,183.5,12307.809379912143,-12124.309379912143,580
-1830000,10000,575.2,10867.231013014274,-10292.031013014273,580
-1830000,20000,520.2,9291.075453815627,-8770.875453815626,580
-1830000,30000,644.9,8677.27758733723,-8032.377587337231,580
-1830000,40000,339.9,8679.069425561405,-8339.169425561406,580
-1830000,50000,193.7,8753.939417436668,-8560.239417436667,580
-1830000,60000,478.2,8258.08451164196,-7779.884511641961,580
-1830000,70000,263.9,7619.914332106254,-7356.014332106254,580
-1830000,80000,1248.6,7160.400312083705,-5911.800312083706,580
-1830000,90000,330.0,7152.261355232762,-6822.261355232762,580
-1830000,100000,52.7,7805.071188846568,-7752.371188846568,580
-1830000,110000,10.1,8773.237019494482,-8763.137019494481,580
-1830000,160000,42.6,12811.112667744494,-12768.512667744493,580
-1830000,170000,64.3,12472.462697181545,-12408.162697181546,580
-1830000,180000,116.0,12273.359224149712,-12157.359224149712,580
-1830000,190000,417.0,12240.670698338945,-11823.670698338945,580
-1830000,200000,110.7,12215.594426924472,-12104.894426924471,580
-1820000,10000,308.3,11062.89033367799,-10754.59033367799,580
-1820000,20000,321.5,9490.412582959634,-9168.912582959634,580
-1820000,30000,196.7,8932.307316249446,-8735.607316249445,580
-1820000,40000,295.8,9264.669934700198,-8968.869934700198,580
-1820000,50000,187.6,9596.977688926867,-9409.377688926867,580
-1820000,60000,584.9,9094.83466606619,-8509.93466606619,580
-1820000,70000,80.3,8197.131650940999,-8116.831650940999,580
-1820000,80000,99.5,7653.869511822412,-7554.369511822412,580
-1820000,90000,304.0,7673.187122904567,-7369.187122904567,580
-1820000,100000,133.1,8308.831744245177,-8175.731744245177,580
-1820000,150000,28.0,12896.249223383575,-12868.249223383575,580
-1820000,160000,47.8,12876.528347732536,-12828.728347732536,580
-1820000,170000,239.4,12560.720754686155,-12321.320754686156,580
-1820000,180000,150.8,12327.633518174289,-12176.83351817429,580
-1820000,190000,136.4,12242.647940472783,-12106.247940472784,580
-1810000,10000,42.3,11370.925273696865,-11328.625273696865,580
-1810000,20000,125.7,9992.009925285083,-9866.309925285082,580
-1810000,30000,234.6,9476.278022837734,-9241.678022837734,580
-1810000,40000,380.6,9909.201214229557,-9528.601214229557,580
-1810000,50000,173.4,10094.734011151131,-9921.334011151132,580
-1810000,60000,84.2,9839.0676170489,-9754.8676170489,580
-1810000,70000,3.6,8980.9206746527,-8977.3206746527,580
-1810000,90000,137.4,8402.70235380048,-8265.30235380048,580
-1810000,100000,154.2,9132.95173007288,-8978.75173007288,580
-1810000,110000,63.2,10268.951030606038,-10205.751030606038,580
-1810000,160000,22.4,12864.102689894498,-12841.702689894499,580
-1810000,170000,86.9,12431.616894724195,-12344.716894724195,580
-1810000,180000,273.6,12240.341622273238,-11966.741622273237,580
-1810000,190000,89.0,12187.54715680794,-12098.54715680794,580
-1800000,20000,194.8,10743.546108553026,-10548.746108553027,580
-1800000,30000,226.5,10271.639906963896,-10045.139906963896,580
-1800000,40000,364.2,10341.348828288008,-9977.148828288007,580
-1800000,50000,23.9,10359.647261405866,-10335.747261405866,580
-1800000,60000,285.5,10161.479652065573,-9875.979652065573,580
-1800000,70000,7.7,9669.512305696508,-9661.812305696507,580
-1800000,90000,140.4,9465.593653420034,-9325.193653420034,580
-1800000,100000,188.0,10299.200874922466,-10111.200874922466,580
-1800000,110000,133.6,11420.040107253757,-11286.440107253757,580
-1800000,160000,39.0,12924.67711003157,-12885.67711003157,580
-1800000,170000,199.0,12395.954507289207,-12196.954507289207,580
-1800000,180000,423.0,12151.18428665486,-11728.18428665486,580
-1800000,190000,130.0,12099.045328611426,-11969.045328611426,580
-1790000,20000,105.2,11698.749007600187,-11593.549007600186,580
-1790000,30000,184.0,11089.118353101334,-10905.118353101334,580
-1790000,40000,113.9,10831.547482493825,-10717.647482493825,580
-1790000,50000,229.2,10641.086929053074,-10411.886929053073,580
-1790000,60000,271.8,10434.270564697137,-10162.470564697138,580
-1790000,100000,11.9,11543.634470207082,-11531.734470207082,580
-1790000,150000,2.0,13283.167400137221,-13281.167400137221,580
-1790000,160000,248.0,12878.592084435266,-12630.592084435266,580
-1790000,170000,113.0,12362.826056485006,-12249.826056485006,580
-1790000,180000,291.0,12086.917970996563,-11795.917970996563,580
-1790000,190000,246.0,12016.112459070206,-11770.112459070206,580
-1780000,150000,33.2,13435.639138608653,-13402.439138608652,580
-1780000,160000,285.2,12902.86827245401,-12617.66827245401,580
-1780000,170000,247.0,12328.285750401445,-12081.285750401445,580
