x,y,curie
-2100000,90000,10.220941846659594
-2100000,95000,10.321275808999799
-2100000,100000,10.429494447647008
-2100000,105000,10.547459683719088
-2095000,95000,10.24498358740712
-2095000,100000,10.351917583182274
-2095000,105000,10.46561563237976
-2090000,95000,10.18106613464564
-2085000,105000,10.337603774025428
-2085000,110000,10.45070438951047
-2075000,110000,10.350469993456482
-2070000,110000,10.316407200967623
-2070000,115000,10.41972774947059
-2060000,115000,10.355704695210434
-2060000,120000,10.467807957536227
-2060000,125000,10.590612206073677
-2055000,115000,10.322987481583649
-2055000,125000,10.560125477815191
-2055000,140000,10.979753501693217
-2050000,115000,10.288323793022075
-2050000,135000,10.809320088471777
-2045000,-120000,9.189602966243736
-2045000,-30000,10.09190284750908
-2045000,145000,11.074436997312837
-2040000,-30000,10.109554996482334
-2035000,-25000,10.119410524078802
-2030000,-165000,10.608783901943807
-2025000,-165000,10.718351279026619
-2025000,-20000,10.140642827366648
-2020000,-20000,10.176497319966334
-2020000,-15000,10.071629067450486
-2020000,130000,10.658234041026358
-2015000,-20000,10.210843165283169
-2015000,130000,10.680679044448054
-2015000,135000,10.828176826143947
-2015000,145000,11.106677849383553
-2010000,-190000,12.087538108123942
-2010000,-185000,11.942707831842116
-2010000,-180000,11.771882629061095
-2010000,-135000,9.797335323686767
-2010000,120000,10.372685463468807
-2010000,140000,10.99549493364966
-2010000,225000,12.563105742742348
-2010000,230000,12.531349613920035
-2010000,235000,12.493141727756354
-2005000,-195000,12.416667579440954
-2005000,-190000,12.289379418956191
-2005000,-185000,12.134261806297213
-2005000,-180000,11.956927429569403
-2005000,-175000,11.76036249755215
-2005000,-70000,9.7186175200831
-2005000,55000,7.3739602549447785
-2005000,65000,7.442837458587826
-2005000,90000,8.469769509758672
-2005000,95000,8.883375032999679
-2005000,100000,9.26850603904923
-2005000,140000,11.020592839709703
-2005000,230000,12.535086634318132
-2005000,235000,12.493413826426963
-2005000,240000,12.44684851017066
-2005000,245000,12.398168638392836
-2000000,-195000,12.63273429387572
-2000000,-190000,12.494929689891581
-2000000,-185000,12.332217192994593
-2000000,-180000,12.147481276854892
-2000000,-175000,11.943749547085167
-2000000,-85000,9.229981803244458
-2000000,-80000,9.332864898579512
-2000000,-75000,9.470145057762576
-2000000,60000,7.324936196632319
-2000000,85000,8.02791631685709
-2000000,90000,8.391063555243521
-2000000,95000,8.814669409726669
-2000000,100000,9.23403260493325
-2000000,105000,9.627328347566145
-2000000,110000,9.97402483463587
-2000000,120000,10.422406950654214
-2000000,125000,10.594883776144572
-2000000,130000,10.752396201137875
-2000000,135000,10.901823246450846
-2000000,140000,11.04137628392361
-2000000,155000,11.427672099845399
-2000000,235000,12.496914371399683
-2000000,240000,12.446271431224815
-2000000,250000,12.337860751759568
-1995000,-195000,12.851123469969755
-1995000,-190000,12.703219247888734
-1995000,-185000,12.532749686348687
-1995000,-180000,12.340042849861993
-1995000,-85000,9.178960151523183
-1995000,-80000,9.255345697976724
-1995000,-75000,9.37406389936016
-1995000,20000,7.707954084633252
-1995000,65000,7.283012363216576
-1995000,70000,7.359424843071278
-1995000,75000,7.488834658699864
-1995000,80000,7.677838872951614
-1995000,85000,7.934987262720817
-1995000,90000,8.30349872113043
-1995000,95000,8.760598025976673
-1995000,100000,9.208239661113396
-1995000,115000,10.233871471399743
-1995000,120000,10.443205914391639
-1995000,125000,10.613845411684686
-1995000,130000,10.76535997386656
-1995000,135000,10.90772501940601
-1995000,240000,12.450079728156709
-1995000,245000,12.391887453735166
-1990000,-190000,12.91111890069018
-1990000,-185000,12.732795099124953
-1990000,-90000,9.124871912596346
-1990000,-85000,9.126761026937421
-1990000,-80000,9.167740733528845
-1990000,-75000,9.25466911649077
-1990000,-70000,9.396785532205048
-1990000,-35000,10.2725963732299
-1990000,-30000,10.28223865511713
-1990000,15000,7.874924708791447
-1990000,20000,7.7006342390451135
-1990000,25000,7.568834979093794
-1990000,30000,7.459973957450893
-1990000,65000,7.181916658893253
-1990000,70000,7.251369898027771
-1990000,75000,7.383288396909369
-1990000,80000,7.58588671520337
-1990000,95000,8.711581523016276
-1990000,105000,9.616437549163596
-1990000,110000,9.985524133691442
-1990000,115000,10.251895958037636
-1990000,120000,10.462821202503681
-1990000,125000,10.63116036893862
-1990000,130000,10.776134629442716
-1990000,135000,10.911786503010612
-1990000,140000,11.041372207967939
-1990000,245000,12.394671397579728
-1990000,250000,12.331477544286896
-1990000,255000,12.268255752572765
-1990000,260000,12.206530975505617
-1985000,-90000,9.114302045349602
-1985000,-85000,9.079021833440141
-1985000,-80000,9.075711344625
-1985000,-75000,9.114643628782508
-1985000,-70000,9.226354560080884
-1985000,-65000,9.395329135195434
-1985000,-40000,10.14141206418133
-1985000,-35000,10.173440475703817
-1985000,-30000,10.181945247900892
-1985000,0,9.17953402387422
-1985000,5000,8.674484922745085
-1985000,15000,7.902980563788108
-1985000,20000,7.717537911591979
-1985000,25000,7.570692309364324
-1985000,30000,7.446681785011688
-1985000,35000,7.3411006246016015
-1985000,70000,7.129363492348854
-1985000,75000,7.260156094334459
-1985000,80000,7.480156970485515
-1985000,105000,9.614753535659132
-1985000,110000,9.997481440583552
-1985000,115000,10.268260729686379
-1985000,120000,10.481342336431572
-1985000,125000,10.648653752163964
-1985000,130000,10.78818042438904
-1985000,135000,10.915209764644887
-1985000,255000,12.266976332812357
-1985000,260000,12.202666801031313
-1985000,265000,12.139792292144797
-1985000,270000,12.079101623540858
-1980000,-90000,9.112599516263371
-1980000,-85000,9.04238884540926
-1980000,-80000,8.995042998914437
