x,y,Temp,pH,Na,K,Ca,Mg,Cl,SO4,HCO3,anion
-2417907.0,-499575.0,31.071999999999992,7.9910000000000005,1045.97037,48.94587875903637,61.64826216096572,52.01974600108995,1564.194699085068,280.63752888769903,334.3439352322933,0.36553573480653934
-2109514.0,97650.0,50.65080000000001,7.225199999999997,1024.4894,31.11675568539801,491.49797553475037,139.4797947274004,1591.3477231239174,280.5123444306519,125.16915245446116,0.48404138543631675
-2109377.0,97252.0,52.86180000000001,7.3691999999999975,1165.3083,31.553031900923155,492.6542722834347,139.95636275338998,1588.4181069789029,280.6101317752342,124.54737470963266,0.48768412448033416
-2109228.0,101894.0,42.7448,7.137799999999996,1732.1995000000002,26.16936110980971,419.0038485475142,136.42400441235566,1591.1004201522233,273.70374519712226,130.2907842632448,0.5173497578240461
-2109127.0,101439.0,44.02179999999999,7.228799999999999,1954.3564999999996,26.262199209774018,451.3823430939345,136.89994258011998,1593.8069425708068,260.5164034778419,128.53640344093463,0.5091329421389567
-2108603.0,100627.0,47.3798,7.160999999999993,1193.0330000000004,26.059623118169267,447.8960017546512,138.14413545001196,1592.3906560220437,206.94352750992638,124.22165539002287,0.527053565852359
-2108300.0,98890.0,39.76500000000001,7.581999999999997,968.9807100000003,27.631082048631274,185.1257688435501,139.8936327172901,1591.007676413011,263.33648879172466,120.26251959898482,0.4415447413112761
-2107381.0,99947.0,51.116800000000005,7.436999999999997,1961.6974999999998,25.065729027047563,479.00016902847915,140.10195323894578,1543.2474431947605,244.26823400576714,117.93976947514457,0.5075136581912593
-2107125.0,99498.0,50.711800000000004,7.467999999999998,2179.4584999999997,25.31745176462874,511.52673586086877,140.76773756360228,1536.3275105702057,264.9628989937829,116.31701960839384,0.48218138529747273
-2106040.0,98954.0,50.42980000000001,7.446999999999998,998.0922999999999,24.971479852206333,420.51522904342,142.49436410811984,1487.7882104990856,280.30380291485983,112.04977254760723,0.5019874684719404
-2104486.0,102049.0,35.87200000000001,7.7034,304.7781999999999,20.352186005710916,194.5614972286572,141.7336995535558,1254.4355798332228,277.89080675231463,114.04549470883947,0.4108809779427147
-2103806.0,103267.0,34.655,7.5474,476.9468599999998,19.538301247972885,190.02365318014395,141.49858676328077,1217.8347090321342,273.37001177238665,116.76853035036689,0.4499239308214017
-2103613.0,97749.0,35.852000000000025,7.651300000000005,367.93319999999994,25.707125576001747,373.73935337890083,146.43341570235228,1745.6198395319889,280.6375079518603,105.5797645550657,0.4080223975443623
-2096516.0,105988.0,27.111000000000022,7.333000000000006,1192.9923999999999,24.97370504238739,524.289171074676,147.72260678233013,1548.1118872144548,280.6375288876989,123.40245446143545,0.4906261745767242
-2000670.0,130469.0,20.729,7.168999999999995,1047.2939,73.51070868645591,229.09659811235275,155.02938338300694,1565.2778107886695,280.6375288876991,326.5712828188676,0.408057441951025
-1998070.0,152449.0,20.485999999999994,7.382799999999998,646.0228999999996,18.837813231036918,607.3221277394623,153.56210935871556,1564.194699085068,280.63752888769903,193.5701351038929,0.39856169794253477
-1997892.0,234756.0,35.66610000000001,6.618099999999993,1514.9050200000001,52.12918979993212,387.3883901085245,183.42158460385588,1564.194699085068,280.63752888769903,429.50642295927975,0.3797752752122662
-1991407.0,13064.0,28.06200000000003,6.801999999999998,1148.5419999999997,72.8365640350478,434.0989172891956,183.55623618287703,1564.194699085068,280.63752888769903,411.7242916634271,0.47916534904021224
-1990073.0,-70798.0,46.10499999999999,7.317000000000005,1378.1089999999997,33.061371753410604,312.08109608551973,148.06064380031262,1564.194699085068,280.63752888769903,224.55113381091346,0.49896321762126605
-1989210.0,78371.0,32.207,7.921000000000003,1181.6951799999993,107.50107649501268,180.4721423022171,172.59606005423922,1772.1528832823801,280.6375288877005,173.52497402116077,0.43272270656691014
-1988929.0,-73868.0,48.37200000000001,7.560000000000003,797.3549999999996,33.823805133109296,187.82319185548238,147.2746444139936,1564.194699085068,280.63752888769903,213.3798875997763,0.41980726776814725
-1988179.0,106575.0,26.390000000000008,6.868999999999997,1407.8221999999992,9.17364660611517,261.6904581192595,145.8012390998361,1477.619502694171,280.6375578504811,475.28599391929833,0.40833260670872734
-1987601.0,113939.0,21.16099999999999,7.598000000000001,192.96999999999997,15.944420929827489,157.0658606477347,140.05132072807584,1395.033492554292,280.63785132684546,558.0459555476162,0.3697346902936496
-1987229.0,-37398.0,40.181,6.567000000000002,2132.007380000001,73.43249970494479,493.3727367158105,137.04954936749124,1564.194699085068,280.63752888769903,417.09363464056423,0.4289474638927734
-1984536.0,101505.0,37.146,7.951999999999998,215.93889999999996,19.999837486666156,124.90791556036247,141.64403643361942,1714.8865019129164,276.93914993309056,435.17526976751924,0.291762763322211
-1983266.0,-46307.0,40.19399999999999,6.644000000000001,2965.89,33.75486356348176,348.94673474827493,127.04276106602643,1476.9331426412189,280.63752867595923,304.2466700093299,0.46649042586504874
-1982179.0,-79069.0,53.606000000000016,7.676,1485.4372999999996,22.220324396365875,119.02690217465178,135.652865828068,1564.194699085068,280.63752888769903,163.6608400461854,0.4354877258063122
-1981420.0,-32001.0,35.28699999999999,8.114000000000006,151.95165999999995,51.386186814372124,90.6573497909189,126.41450060423992,1744.6918249609118,280.61361791331086,368.3988101914927,0.45021011242659364
-1981008.0,-43201.0,46.02899999999999,7.6480000000000015,193.19600000000003,36.200486086359355,245.87342798789044,122.43234908158479,1526.7711028246106,280.63752888767095,309.618789737298,0.4235119078375128
