x,y,Temp,pH,Na,K,Ca,Mg,Cl,SO4,HCO3,anion
-2100000.0,90000.0,36.95097603422591,7.119567692982276,1893.8189439275397,76.27544191447745,654.4897324487373,183.6512770695765,3950.602713832066,587.7134548069956,243.50809159012476,0.48772422894362605
-2100000.0,95000.0,36.346207979384445,7.152905413590894,1176.3373093447572,44.51961684323801,368.34785933864714,98.32137675884213,2122.639983775296,394.9882802885138,441.2804100066936,0.4869064972315296
-2100000.0,100000.0,33.54557460676771,7.432720450076347,542.042816080898,34.85577005768101,265.0137431188316,80.30540713981877,993.2934719530379,266.0530949103826,322.22734046114005,0.4490332742894695
-2100000.0,105000.0,32.29934720531029,7.223436766248553,1848.5287704408793,44.09698772646894,478.8552261955414,204.49043994212195,2805.4685766443044,388.04545709008875,325.2576823124233,0.4763343986032195
-2095000.0,95000.0,37.120926686957425,6.317825300420945,1241.7821995029722,87.38005768639326,357.3601611147594,118.80288266405564,1917.5416727615868,329.11352568961445,260.0109745801225,0.4951217477521656
-2095000.0,100000.0,35.9513605624887,7.152323625983444,917.9066052520343,57.667791360114094,382.17132284439185,104.0802948106854,1569.7195750706023,357.11347967272536,491.56398123505636,0.46595444600547625
-2095000.0,105000.0,30.296040055017407,7.41567076379603,655.585742145435,31.638350590594513,234.89661456169173,60.018032813154804,1071.6003750376697,207.20403065898864,266.502644472701,0.4419901367413938
-2090000.0,95000.0,41.73624097534868,4.825681101491534,866.1777800817408,59.38611155074603,284.7607526455354,129.92431319538593,1433.2303087824446,1386.5480427181865,339.497247723618,0.5387454680543555
-2085000.0,105000.0,30.04602044783889,7.360085283719163,914.2166467457317,48.281362612596595,366.6919251050142,126.91469549568937,1612.376020543111,286.6278962017235,259.74979649872813,0.43861767089572135
-2085000.0,110000.0,37.34317894337649,7.423798960854722,898.4282388957514,53.84255653760997,274.96394705345347,77.73879999408007,1953.8687690746722,208.6600119134233,410.5770332727176,0.4432633919018732
-2075000.0,110000.0,33.33537012379705,7.431618276286635,677.4859382326489,23.117634058954323,372.6253471347492,92.73899504747548,1372.2910594583711,249.58998074551278,327.7315557665706,0.4743508367833896
-2070000.0,110000.0,32.81090466044561,7.356522243233896,674.2103276760627,22.925427222983178,293.3567334367358,93.48129821938892,1668.976567568548,239.18256567168683,309.14980581505415,0.43784536851799355
-2070000.0,115000.0,32.16997994884064,7.558455541824771,617.5249765370696,20.597285517265963,268.69069582079055,85.37886337446368,1327.2949928537703,210.1787076807609,327.84094944025617,0.42864021642434486
-2060000.0,115000.0,30.148934567731324,7.716392830570622,572.5463955024529,25.340955055564287,266.54786741560304,92.91760862354899,1093.120913729789,178.653359971729,339.13442149099006,0.4186119498107635
-2060000.0,120000.0,31.34905036341815,7.633208727614885,728.5904760344878,21.767148313206068,409.21872953528543,82.00344363890403,1552.1029130404775,211.84654639611142,390.6329395637912,0.44281477829947724
-2060000.0,125000.0,31.026606049641636,7.644435417509501,793.132497432214,65.62147977918272,400.76177063464525,76.20415227351006,1649.118753330639,184.15103566610438,380.5295040527152,0.4541796762787356
-2055000.0,115000.0,30.962658332631314,7.7650351343590875,569.6539134311945,21.147737589680986,309.9869791144894,89.12987001655142,1074.7618273298942,176.68914245854694,360.86881178323597,0.41518591860928106
-2055000.0,125000.0,27.88389559209964,7.454857847935588,979.2956656577177,24.179371158155195,316.9843202054807,122.45369382000021,2006.1322283830839,275.111793874583,307.43146513740476,0.44100882401201447
-2055000.0,140000.0,23.937012915159123,7.56405528505954,739.6261947605394,27.956126520824235,246.39526389038153,82.01185618882427,1411.5188774813178,92.29168251561666,343.9689895445177,0.40462972289408056
-2050000.0,115000.0,32.06271953183454,7.7693073759584275,678.0202591383837,23.96487832449302,324.3912394646495,86.18614090522841,1262.1534411865161,184.39105681299702,359.1338132096729,0.45233612106702326
-2050000.0,135000.0,23.29263897242778,7.621514500047831,619.0971043680933,17.445446238581617,233.50663107085634,66.55957905536478,1119.5509341658596,75.01631844052835,292.32029187369943,0.4132742039697242
-2045000.0,-120000.0,37.29096204448497,7.707788634810128,780.651984249757,37.83324892467487,236.7777256893789,142.5995266322571,1399.8912494448236,212.8409116494449,456.36182239350575,0.45634803285985853
-2045000.0,-30000.0,29.392125137412165,7.461991451021181,571.6933712407634,19.709378177647146,206.9084341802072,99.80301420264159,923.3501358957403,416.98375238553535,415.98080021459964,0.3729681106580525
-2045000.0,145000.0,23.011989448536085,7.305333494162475,858.2611000453395,25.414961955131645,311.2255889621681,116.49378224629392,1616.9211503818165,173.28301371783894,313.9300501803082,0.4010183176038105
-2040000.0,-30000.0,28.97935816790976,7.465254490954435,551.7529665372452,17.930477166053716,194.23711923709536,100.39247941028223,933.5339847615207,497.968094852857,436.4635852478301,0.3854787467853151
-2035000.0,-25000.0,29.650840603550094,7.6324470058547025,577.5184156465276,18.594042420921323,252.58188651940955,95.07416398457913,956.6933019687945,522.1022382297285,392.0851622455498,0.39463968388892123
-2030000.0,-165000.0,52.971642023626195,4.971027646817025,1038.7973484229647,115.31321034759375,297.1142547988853,90.79820666468531,1810.6476152781122,1338.6933850107011,205.60496831789987,0.5823043270922081
-2025000.0,-165000.0,53.97759147272637,4.887545193664403,888.911885717596,91.1640614782498,210.49990820341247,98.52192863263413,1467.98829242418,1179.3327115286688,193.61844020136652,0.5842272962789294
-2025000.0,-20000.0,28.848116686457175,7.0622058788548765,2536.7477049491013,81.59147113549452,368.08349354411155,267.2460212830227,3631.154482282848,926.1792408224011,449.0713460407125,0.4206921376891897
-2020000.0,-20000.0,29.142007259403986,7.040174114325492,1881.5036848411823,70.4817876271756,343.8575458746899,151.4939840141032,2615.0125819560117,918.9499664802743,399.9368797048017,0.4193846563927588
-2020000.0,-15000.0,29.358228704600243,7.3752735315571885,875.5474461696907,30.284936413204374,239.77094398410006,98.58430180679404,1199.1354798159282,1088.2878322443812,470.6325601467947,0.4154204817512726
-2020000.0,130000.0,21.654965237623365,7.706013627545068,522.2111398534768,19.658128555607487,149.8369186663928,63.997709145885665,837.4434812635465,191.62322170281982,319.82472370600703,0.4060893390843619
-2015000.0,-20000.0,30.616137025321628,7.312087444939472,624.8865278022055,26.2614642571694,164.40250297372367,93.52517721452135,1075.3591432815217,726.0564183974303,419.98665390008284,0.40223066019209225
-2015000.0,130000.0,20.89506894869956,7.402067338113727,984.0391436336498,37.73743059327565,260.4999010113936,145.64694463369142,1728.8338266245344,364.1181046548645,421.8297878576269,0.44301504118947926
-2015000.0,135000.0,21.767405205241246,7.73077976061792,505.1582460482431,16.32318250175456,179.099580240222,72.55749199920815,762.3853670836396,145.03619984901334,258.25865118384485,0.36874079486396655
-2015000.0,145000.0,20.734652459647435,7.513954841257561,521.6898693117749,14.298922963549725,193.67072589613562,86.28592853580737,924.8324372806658,149.48572205699398,244.58027724441314,0.4090689728118208
-2010000.0,-190000.0,35.20396549696476,7.020452501284029,405.4724749102577,14.034117103310225,117.15837536444482,42.08964479361697,648.2587242284868,410.3820580940797,285.0600955013415,0.4433042181590516
-2010000.0,-185000.0,35.87960113977539,6.6768137224223425,467.6238202800387,10.28834180515016,135.86913185400786,46.11026177963353,758.7996722138945,429.45292605117237,277.1444692905914,0.4715154417685718
-2010000.0,-180000.0,36.09951035367782,6.060650173547727,454.9718709152089,25.566144969582915,146.33580982358075,58.00869530603907,769.2770249368444,462.3758987043187,310.27247651291617,0.44791183425667846
-2010000.0,-135000.0,58.219700685594,3.3933516527504985,1180.1423312467432,106.09877616514535,254.88828972865932,121.45698252397754,2211.851764003557,3009.1313308479234,186.6077449441761,0.5821252390136744
-2010000.0,120000.0,23.721214833315443,7.764975120592461,505.5268303092779,20.01725304967869,154.17090127896313,83.51792585977421,915.9782421162595,353.52658028433575,341.7227019587276,0.36550391216659833
-2010000.0,140000.0,21.6724984766541,7.662926502303926,503.34803099596036,49.6524107135623,203.58766777799835,80.17336706316213,839.8713001070568,279.22902673592785,276.018124028353,0.3674474215496398
-2010000.0,225000.0,35.78365635997934,7.225715288334909,912.145802512628,28.561012343325157,317.22490630970117,195.97634916618784,1623.296306722802,448.5859396050528,388.04559976147044,0.4359076823212915
-2010000.0,230000.0,35.47027485861297,7.140895047357948,978.7932875708156,34.433763196644115,253.31906167062985,190.40558075275237,1702.8498817221443,447.39558951402574,390.41913965696665,0.4426734495066376
-2010000.0,235000.0,31.848555159452047,7.268147461696078,929.4727076604497,29.027755474927474,311.456572023228,185.72107975702,1498.8293482813776,528.869057373802,388.6532747877733,0.46281050407790764
-2005000.0,-195000.0,41.36651442692692,7.716111344075528,531.9614555213178,22.128640994574102,157.21397467573948,49.75996157991702,616.0566552437251,146.1888079520194,213.11988635929373,0.4735873814194084
-2005000.0,-190000.0,34.93278498233901,6.851644020729453,438.6396422497005,30.80326355208627,113.9037154455522,52.03544329259117,699.2933037315438,428.8357569322452,246.46588217339286,0.4410785655343739
-2005000.0,-185000.0,36.81195179371183,6.514459708163792,443.9701929700716,27.196607396279873,129.13257807500787,55.63515261993024,768.5031728739136,516.574302016305,256.503379293907,0.4456472634473712
-2005000.0,-180000.0,35.255961022747464,6.189733701808826,480.76762974453504,24.943490256213316,126.54770050125498,53.61754501534987,771.4574994728598,467.8161543449759,274.7702670189164,0.4679056403370144
-2005000.0,-175000.0,37.64005576545329,7.21568016735882,498.81410248016584,27.869238160082467,131.66392192457275,65.59127887720219,803.4631486248711,377.4800416783231,332.7069702554322,0.46137559551596535
-2005000.0,-70000.0,39.433369691227135,7.710686112986905,675.3785678737344,21.506094586366423,159.87435986283677,105.90868929824974,1185.6781455843116,556.4005687146179,407.332952987043,0.4322635037761471
-2005000.0,55000.0,27.08710825873489,7.1052846430029,1963.9007512485928,60.51800559655714,519.4301682268473,350.6161494495332,3553.9176111539336,563.7964953431007,394.9045084674208,0.45616897588139155
-2005000.0,65000.0,27.068964968833157,7.059539689171652,1685.3650948794984,63.26987667379658,529.6928796819406,396.6275062651841,3373.7327057484354,637.7515920850716,362.17845132100774,0.4750657722517884
