神津島 （Kozushima） [319],レベル１（活火山であることに留意）,34.219333,139.153,572
三宅島 （Miyakejima） [320],レベル１（活火山であることに留意）,34.0935,139.526,775
八丈島 （Hachijojima） [321],レベル１（活火山であることに留意）,33.136833,139.766,854
青ヶ島 （Aogashima） [322],レベル１（活火山であることに留意）,32.458333,139.759167,423
ベヨネース列岩 （Beyonesu Retsugan） [323],活火山であることに留意（海底火山）,31.918333,140.021667,-50
須美寿島 （Sumisujima） [324],活火山であることに留意（海底火山）,31.439667,140.0505,136
伊豆鳥島 （Izu-Torishima） [325],活火山であることに留意,30.483833,140.303,394
西之島 （Nishinoshima） [326],入山危険,27.243833,140.878333,142
海徳海山 （Kaitoku Seamount） [327],活火山であることに留意（海底火山）,26.126667,141.101667,-95
噴火浅根 （Funka Asane） [328],活火山であることに留意（海底火山）,25.455,141.238333,-20
硫黄島 （Ioto） [329],火口周辺危険,24.7505,141.289167,170
北福徳堆 （Kita-Fukutokutai） [330],活火山であることに留意（海底火山）,24.416667,141.416667,-73
福徳岡ノ場 （Fukutoku-Okanoba） [331],周辺海域警戒,24.284667,141.481,-29
高原山 （Takaharayama） [333],活火山であることに留意,36.9,139.776667,1795
横岳 （Yokodake） [334],活火山であることに留意,36.087167,138.320167,2480
アカンダナ山 （Akandanayama） [335],活火山であることに留意,36.200167,137.572667,2109
利島 （Toshima） [336],活火山であることに留意,34.520167,139.279167,508
御蔵島 （Mikurajima） [337],活火山であることに留意,33.874333,139.601833,851
孀婦岩 （Sofugan） [338],活火山であることに留意（海底火山）,29.794167,140.341833,99
海形海山 （Kaikata Seamount） [339],活火山であることに留意（海底火山）,26.709167,141.074167,-449
南日吉海山 （Minamihiyoshi Seamount） [340],活火山であることに留意（海底火山）,23.5,141.935,-107
日光海山 （Nikko Seamount） [341],活火山であることに留意（海底火山）,23.078333,142.3255,-392
男体山 （Nantaisan） [342],活火山であることに留意,36.765,139.490833,2486
