x,y,depth1000
-2100000,90000,60.80329290279394
-2100000,95000,57.21760821745428
-2100000,100000,55.081188161623125
-2100000,105000,55.73571088468782
-2095000,95000,59.5321050695363
-2095000,100000,56.97991651574779
-2095000,105000,56.53590317772764
-2090000,95000,62.464207788098136
-2085000,105000,63.12526517967454
-2085000,110000,63.572642952380576
-2075000,110000,65.9001988932132
-2070000,110000,66.06405922927374
-2070000,115000,66.07620967421909
-2060000,115000,66.09462613200466
-2060000,120000,66.09471309087877
-2060000,125000,66.09475715310415
-2055000,115000,66.09476701167515
-2055000,125000,66.09477361357996
-2055000,140000,66.09477448558098
-2050000,115000,66.0947742305966
-2050000,135000,66.09477448635923
-2045000,-120000,66.09477448758413
-2045000,-30000,66.09477448757583
-2045000,145000,66.0947743500515
-2040000,-30000,66.09477448700243
-2035000,-25000,66.09477447422194
-2030000,-165000,66.09477448758413
-2025000,-165000,66.09477448758413
-2025000,-20000,66.09477065986019
-2020000,-20000,66.09471170714009
-2020000,-15000,66.09472935759453
-2020000,130000,66.09204526426252
-2015000,-20000,66.0940362034827
-2015000,130000,66.08066028837038
-2015000,135000,66.04599157259064
-2015000,145000,65.77223046617746
-2010000,-190000,66.09477448758413
-2010000,-185000,66.09477448758413
-2010000,-180000,66.09477448758413
-2010000,-135000,66.09477448033023
-2010000,120000,65.92328945707558
-2010000,140000,65.63934145624171
-2010000,225000,64.86368965657557
-2010000,230000,63.949144398431024
-2010000,235000,63.544608992489685
-2005000,-195000,66.09477448758413
-2005000,-190000,66.09477448758413
-2005000,-185000,66.09477448758413
-2005000,-180000,66.09477448758413
-2005000,-175000,66.09477448758413
-2005000,-70000,65.52753216196585
-2005000,55000,66.07555439945655
-2005000,65000,65.77481232434756
-2005000,90000,65.52540465697642
-2005000,95000,65.56295608942744
-2005000,100000,65.2281580329831
-2005000,140000,65.15499038012476
-2005000,230000,61.61735999739664
-2005000,235000,60.77319179826839
-2005000,240000,61.78156081870536
-2005000,245000,63.71076612473966
-2000000,-195000,66.09477448758413
-2000000,-190000,66.09477448758413
-2000000,-185000,66.09477448758413
-2000000,-180000,66.09477448758413
-2000000,-175000,66.09477448758413
-2000000,-85000,65.33452603550164
-2000000,-80000,64.71886875477907
-2000000,-75000,64.31061697607855
-2000000,60000,65.8321168453169
-2000000,85000,63.52662539073183
-2000000,90000,64.49006044510308
-2000000,95000,64.52981683336934
-2000000,100000,63.48505088235532
-2000000,105000,62.12479089402224
-2000000,110000,61.55379917852217
-2000000,120000,63.70306489873874
-2000000,125000,64.99753033659948
-2000000,130000,65.65193042239446
-2000000,135000,65.59595047920368
-2000000,140000,64.76843385709861
-2000000,155000,62.001291265182836
-2000000,235000,58.52191483692148
-2000000,240000,59.95687084787942
-2000000,250000,64.81604019204941
-1995000,-195000,66.09477448758413
-1995000,-190000,66.09477448758413
-1995000,-185000,66.09477448758413
-1995000,-180000,66.09477448758413
-1995000,-85000,64.18317905940248
-1995000,-80000,62.899307026451666
