x,y,depth0,depth500,depth800,depth1000
-2100000,90000,23.304952570325312,36.576437728483825,48.78851568747511,60.804421030653074
-2100000,95000,25.411140253192826,35.61546183785029,61.01476499384856,77.01658978199183
-2100000,100000,30.36187474092072,38.36896812063778,54.404315781230565,67.9467031058232
-2100000,105000,22.714224389801743,33.33718927506532,47.18884718305921,56.82055755101602
-2095000,95000,28.478689160557863,40.034272147288476,60.78781349351564,81.97834405867106
-2095000,100000,24.949476539026428,34.51993473168806,47.7083612916565,61.90514098044481
-2095000,105000,26.286014865840585,35.39596286841381,51.330535641404396,67.49946033270972
-2090000,95000,31.45333857736925,55.282287142815704,77.64248555425758,117.96250730434495
-2085000,105000,24.42697085879412,33.39952531008158,43.93196455593365,46.26293743482262
-2085000,110000,23.724313089916947,35.007196129148596,44.81042240542294,45.764300593464085
-2075000,110000,24.961356880368058,33.68341236804245,47.802646404005515,60.795968283663484
-2070000,110000,23.88214627814955,33.38259657995415,40.318532083251476,39.194402031103074
-2070000,115000,25.273646044397573,33.554138130477895,37.01620101569716,48.43319400860122
-2060000,115000,28.07466818177265,35.84431605565132,43.81712339977898,54.2460766576987
-2060000,120000,23.793685826424124,33.37167607175987,37.056050860804525,36.99200490254072
-2060000,125000,24.14043539070901,33.462372788668176,35.524210836465535,35.114126226993946
-2055000,115000,30.295168194901628,36.248099135582734,42.990842152049275,54.378016256679835
-2055000,125000,24.229747341098843,33.19974850566284,36.16159743029685,34.36265102925902
-2055000,140000,23.1869626159326,32.28663552269521,35.945717943088624,29.52675991070054
-2050000,115000,25.586462696106885,33.64277363516487,37.66237707601975,47.496540767163495
-2050000,135000,23.76003795260017,32.63906209280822,34.274980987283584,30.65721600027095
-2045000,-120000,37.04481538134891,41.59074307100866,52.081931581956596,62.06071200937798
-2045000,-30000,32.449201155987026,36.96791710055607,44.66226387016238,58.87189581093748
-2045000,145000,24.374028901136498,32.77019974812022,34.34757886043846,30.023180858216733
-2040000,-30000,33.7379727295577,42.924877268578896,44.28728788336687,58.94523137450794
-2035000,-25000,31.51773850638618,40.707590766909235,44.14179998459835,56.044795646370375
-2030000,-165000,44.44047116505746,71.91437072011155,81.1118186893924,128.44132994884993
-2025000,-165000,43.157811879586276,63.1036580065678,85.55409146962849,145.26092661458776
-2025000,-20000,20.239735211731926,32.94555413636935,35.75036575112733,45.15912055727888
-2020000,-20000,21.691896123991263,33.54656408326158,36.02458855427729,44.573697414224036
-2020000,-15000,22.601584232866436,33.12544384526815,38.281998666275925,37.0169548483759
-2020000,130000,24.23933330257904,32.12259356408395,34.14535520468886,31.971091820723856
-2015000,-20000,23.400627133025893,33.63624710985484,36.35214203817024,38.63651816167788
-2015000,130000,24.21797663791844,32.219384650962816,38.24087552100684,29.53292573559969
-2015000,135000,24.27210635955261,31.932940746030624,34.926224516533,41.84983035795153
-2015000,145000,25.534615571145125,31.51273147822026,34.22154850749695,29.6171342425966
-2010000,-190000,50.18838548059941,70.98407923800684,98.24760479532385,118.35434495386633
-2010000,-185000,51.62859829791394,78.84601366109987,115.12218697189851,172.6676910387675
-2010000,-180000,78.22835356861907,125.03745810727543,132.03665978759028,206.96144270503376
-2010000,-135000,44.53593064477531,75.37873936155604,85.83496801411785,139.710116362698
-2010000,120000,24.512671450870663,31.32326868064277,37.90379931223449,48.13303526669071
-2010000,140000,29.644920840917635,41.09170348268921,45.671579165363866,61.43164103447384
-2010000,225000,24.261095518622895,33.88412430591906,40.53691719795224,42.46236796992734
-2010000,230000,24.540680351969037,32.863905727938615,41.476672469699395,48.07092401345017
-2010000,235000,24.397913735678543,33.20762809545592,38.97869740101465,53.08640359249889
-2005000,-195000,38.794086618234445,47.27000587745147,44.660603835965645,61.8313390187227
-2005000,-190000,81.50518160937418,77.24933014072097,100.0700124717288,160.79906965234682
-2005000,-185000,83.73343846810057,105.17660429698932,115.52397701910647,175.1943397208229
-2005000,-180000,71.0836116781035,121.36618216278455,132.3817836676845,206.53006644490762
-2005000,-175000,54.120774492000024,44.437257085149895,63.2532215917967,91.15354384076495
-2005000,-70000,35.2024260907296,52.64130464360866,55.970520467929134,63.677406943517
-2005000,55000,29.25007468826854,34.15110805453999,33.320673326415665,39.36557571624712
-2005000,65000,28.573323651589554,35.811689047563846,37.11319069306384,45.53363247973267
-2005000,90000,21.506907702033033,33.84124681972382,34.8518918703287,38.6206730663406
-2005000,95000,23.770572986179445,33.739078413589795,36.63042054678816,39.78829012544146
-2005000,100000,24.295721758953647,33.7814409261635,36.91488633141741,33.84678972396863
-2005000,140000,25.024862655722742,31.47162221939793,37.66930994467526,45.671117187638515
-2005000,230000,42.517928279443886,63.507198450735345,79.12672514462885,74.86878179094909
-2005000,235000,24.477969850047614,33.3440698870013,39.36783722361786,39.87628603166105
-2005000,240000,34.030006448744025,38.357682352786505,50.63862100085571,59.57471880724333
-2005000,245000,23.185082562552694,38.08120699266007,43.15044234445678,48.95136270014816
-2000000,-195000,52.352506529895834,60.60331760676267,67.52905715523669,94.68644007705313
-2000000,-190000,75.96121894665268,79.17796634515334,101.02119994996585,153.17068255174215
-2000000,-185000,76.03160654144973,74.7104166006304,100.00948362125877,129.84284016755882
-2000000,-180000,54.86313553875311,49.77562775712144,57.79794476889174,82.14063969336306
-2000000,-175000,49.7888480714962,60.99739107843112,69.61650917426883,88.78908363518163
-2000000,-85000,28.231354349828756,54.37633135697888,57.88588038304235,74.11959054011133
-2000000,-80000,36.14186509451357,59.11380470654038,74.38472465115905,76.02880844857779
