x,y,depth0,depth500,depth800,depth1000
-1834181.0,71510.0,25.430165446513485,61.51007534839209,89.7835952973924,89.7290850428484
-1831964.0,72674.0,44.97260063464975,74.85277978333514,99.69648959914264,116.02808739607566
-1831532.0,68066.0,22.94078556656214,71.21271296906639,97.93856292268197,97.34477955250505
-1831387.0,67682.0,24.11917264847611,69.28674587613689,97.1740745512703,94.86666159271522
-1827775.0,70585.0,23.109796862064677,62.12069017582607,79.13212209905066,109.84288637330799
-1827649.0,70140.0,22.620222503915386,64.56090869669548,80.77918179477149,106.36983860836628
-1827635.0,69387.0,26.51315308272953,66.72405358245392,93.42895918173974,96.84628916398972
-1827624.0,76128.0,54.689000077965105,130.4779315379195,147.23658257166682,138.35316354498514
-1827358.0,73513.0,33.391825599940006,77.53360146272622,94.52401030571366,94.90005398941415
-1827227.0,73106.0,32.33879730571556,77.55336844016638,94.3521145954872,102.08495471615637
-1825845.0,95440.0,29.90969896712842,58.05717241932285,78.78627941110214,85.62022747219098
-1825213.0,82089.0,82.64481154225035,132.2476790106566,146.99738945912756,193.28671341690355
-1815057.0,103883.0,22.86020184489984,24.614741618217188,43.65807553448633,46.84260554468592
-1805019.0,113697.0,25.559750256516267,33.913982264795436,38.1389956002448,51.6662613069733
-1801204.0,106123.0,26.073170996247967,39.949653637896844,46.734700223952814,68.31427781770981
-1789118.0,28342.0,12.727401242084838,38.42064321145817,45.193698583878046,65.01200578368201
-1788386.0,96423.0,25.56841227843246,21.178747253825662,37.24959907011926,37.581849670261285
-1783209.0,157997.0,13.913720885045183,35.239097295144404,38.40810160391824,40.163528617296876
-1726221.0,31672.0,26.08725761879468,33.34402087068105,33.04192156481881,37.743420741154175
-1721407.0,39169.0,24.176485075118123,33.04208970271695,36.65935395383815,35.435209100612546
-1719979.0,155611.0,25.413195272817198,32.980688798163655,35.9567367133932,41.22572114147168
-1703217.0,218614.0,27.178324458509252,41.74044972228441,51.08046684410235,76.30163840516738
-1688426.0,83654.0,16.044541889371175,17.499391620100127,35.45463655705187,35.012960463881306
-1686968.0,212184.0,29.25781314522191,40.89624884727735,56.234066746797026,71.29852712826533
-1685824.0,200331.0,38.49891359818794,55.582140329182266,86.7657323740345,90.12209227329765
-1682801.0,79111.0,37.41194163003614,50.40937038429611,87.85508416759568,69.22621892870161
-1676550.0,113306.0,26.328132097154395,33.631767405047114,35.27673526168522,43.35610442988491
-1669834.0,86425.0,28.10399428902477,39.99990833943192,48.775544258866105,54.316480999626336
-1648418.0,176356.0,35.4028600486282,50.49317525377214,74.47644547871255,60.807691236815984
-1630216.0,179062.0,19.56992888777414,45.381058702785865,54.1338220021278,71.26864251496713
-1612261.0,256156.0,27.53262412074259,36.693018593775456,57.51595185233491,74.84586686831986
-1602816.0,242573.0,28.10148619797951,50.00516456502886,54.91473666916045,75.10599364305844
-1601285.0,243678.0,23.70103726106865,45.71897424283894,50.28215912278367,64.17049924710368
-1592471.0,256595.0,26.705439336121515,35.32118283733317,43.684121396138565,58.625258032374035
-1590657.0,319443.0,24.02663048417324,32.86189049405196,36.683466305765705,35.99029089531857
-1587213.0,103317.0,24.433588596526143,32.51970027043024,34.462612345099004,33.74965776447636
-1585397.0,237774.0,26.76992426354954,51.67043368621303,66.20345262348376,73.53095884612462
-1580475.0,174938.0,12.781534306623364,13.322177971626857,20.4314265930812,60.6012796199831
-1575402.0,238517.0,46.46278506094289,94.20801724274193,107.08674824743952,112.3776339176669
-1570278.0,240212.0,59.17184016475008,85.98815681625429,105.64286511106968,97.63730150160586
-1562950.0,151339.0,25.593267954626633,13.236897254671945,19.101119361956535,29.505519724403776
-1548394.0,228540.0,28.457575246915198,43.51049714446995,65.67790332099062,76.2328747657215
-1548358.0,228681.0,25.31248329504703,36.926114567348456,51.31110663536414,58.71737988634246
-1531242.0,105332.0,11.7980220327131,31.365342321779224,34.34829809696634,35.17833015519956
