x,y,depth0,depth500,depth1000
-2417907.0,-499575.0,30.216094203335295,33.347276901985964,43.946831721954936
-2109228.0,101894.0,19.737807429252335,43.99354851815849,65.34177720078576
-2108300.0,98890.0,13.541038103663286,22.51755314002024,53.374881956805865
-2107381.0,99947.0,17.421694535189534,42.13138020212319,73.89286075570531
-2104486.0,102049.0,17.044305724128755,35.64029440064809,54.187270069531365
-2103806.0,103267.0,11.7789401602078,36.86744642458859,52.84141210538944
-2103613.0,97749.0,23.34216944613486,37.43000639862619,55.63120304643518
-2096516.0,105988.0,22.438551716287733,37.26592655724029,58.018058071662544
-1998070.0,152449.0,21.0706784129289,33.74678903066564,54.58789316758552
-1997892.0,234756.0,20.97337095921442,34.21298195125228,55.25923588790187
-1991407.0,13064.0,19.45142131538809,34.803063847331,59.15254814339092
-1988929.0,-73868.0,25.510860871064047,43.113153916447274,84.0412470470002
-1988179.0,106575.0,4.434316525801439,20.20658482773549,55.34958802142912
-1987601.0,113939.0,23.456534734295282,32.24497110378786,42.79090376603568
-1987229.0,-37398.0,21.723309715630393,40.33754146453035,56.91721276067406
-1984536.0,101505.0,23.030322795336204,32.55218754450742,50.54620224645685
-1983266.0,-46307.0,6.741695822529497,34.65870781534008,72.20878304773308
-1982179.0,-79069.0,25.430967006885638,44.09896836504741,88.50351007937766
-1981008.0,-43201.0,24.582559205209108,46.675271278883784,81.4938442500473
-1972426.0,87160.0,23.20531664100789,35.36858604420678,54.713468645212174
-1971313.0,-59143.0,16.815412858239064,25.700872513898837,91.2057405008408
-1970714.0,-105137.0,20.351817959573474,58.187799417429474,96.6147523782899
-1970355.0,-101788.0,21.529997163885724,25.630125242735446,111.24040848662115
-1969708.0,-97183.0,15.472183020856939,26.338656010957074,106.04269471005092
-1969059.0,-103273.0,21.79808000255761,37.700869392361334,116.30936843469823
-1968968.0,-103701.0,18.680722661880353,35.1252627503052,110.89676222202672
-1966805.0,-104257.0,21.020662811499747,117.2983799847134,106.62749933342727
-1966586.0,-101391.0,24.003780023843966,64.56883636953789,112.2895348283958
-1966525.0,-104525.0,18.56949939959202,118.26573937279808,104.10928846886696
-1966401.0,-101939.0,21.56612710089216,94.331073648152,120.96482903207402
-1966202.0,-104443.0,16.499898699789174,139.52440969979585,99.40283154322931
-1965729.0,-98625.0,52.44036018929901,105.25486411042974,116.28759987156377
-1965626.0,-98307.0,46.76521107611823,99.18628586325957,116.53747243016689
-1965597.0,-104417.0,34.847708139260625,116.29746310165167,105.45683036155759
