x,y,depth0,depth500,depth1000
-2100000,90000,22.068242589203706,38.11814763839844,49.189027229205806
-2100000,95000,25.3579307348665,39.872737304317894,53.09124486096772
-2100000,100000,31.753220306629864,47.17549159901,57.24137605095612
-2100000,105000,22.32876052486713,37.72272266647093,48.80338752837956
-2095000,95000,25.780888259509325,40.23222140226375,50.01750123691647
-2095000,100000,25.175477898149552,37.2513172308814,53.05382437107397
-2095000,105000,27.902394247469765,42.72205943111291,57.94458184135223
-2090000,95000,40.95696828878813,52.50736538635485,86.13098439131343
-2085000,105000,24.211826453809017,35.70274422628202,44.27027279835741
-2085000,110000,24.996503976965023,36.237542879565524,48.521669124921374
-2075000,110000,24.895852251199415,37.58527573133489,47.51613074154719
-2070000,110000,24.325773133334543,36.19585249457549,44.86191860670547
-2070000,115000,24.206999166055482,35.91586014829004,42.32546409642384
-2060000,115000,28.136936339423464,43.29167551021172,54.340867067478484
-2060000,120000,23.36891500729311,35.887207878509855,41.01942477475944
-2060000,125000,23.984642751249453,34.66521124364412,40.55180875989575
-2055000,115000,31.282888319790345,44.58004588269198,55.703213963870894
-2055000,125000,23.13956537694719,35.32847744325804,43.25444456763853
-2055000,140000,23.32481509038074,33.85342796902849,36.63210884725292
-2050000,115000,24.56262387159174,36.57609850641613,44.486489616152625
-2050000,135000,23.351963353589376,34.093485819916225,37.28261929645643
-2045000,-120000,39.09414461589017,51.19890645057916,58.92697094568254
-2045000,-30000,34.515363222476594,46.233980164380114,58.06667311121336
-2045000,145000,24.142500410135682,35.27521432590943,50.94037575347241
-2040000,-30000,35.05709951168865,49.2326783397953,57.23588277473621
-2035000,-25000,32.96192253237271,45.33023544468145,55.53061622993691
-2030000,-165000,46.721350274175435,74.51843662811176,79.86985046750256
-2025000,-165000,45.374877992747244,64.02895845043957,91.96468261159208
-2025000,-20000,20.877723177023206,35.70641356838469,47.03948348965477
-2020000,-20000,21.156711196616335,36.29208788973105,49.17670397184594
-2020000,-15000,22.89673221393206,35.85353599275487,44.52419625188165
-2020000,130000,23.167111262588378,33.925743825043185,40.59005663072949
-2015000,-20000,23.431135845776545,35.861103142762644,51.16983729482327
-2015000,130000,23.337948103487506,34.791093828788775,41.7911737577526
-2015000,135000,22.926548485466675,34.042761235196366,38.103724974337695
-2015000,145000,23.193752709571868,33.849694116434335,42.15262454318807
-2010000,-190000,49.417734554932636,78.18114005499947,68.76972024626859
-2010000,-185000,46.96623004714204,91.66094211076359,71.75831696299363
-2010000,-180000,66.36658637693138,116.72085502789253,72.63871545583598
-2010000,-135000,45.881687136948514,74.33324377746692,86.04657515606108
-2010000,120000,22.96573979355683,34.25365595625637,41.194589561217356
-2010000,140000,31.96572415385174,46.36150795541762,54.566980054982224
-2010000,225000,23.12969964017362,36.49853474895838,51.413833801258704
-2010000,230000,23.127713831525455,35.662343878938145,48.17411199958944
-2010000,235000,23.301755835545663,36.09659313307853,51.89663963437782
-2005000,-195000,30.314467100016365,49.83504642109881,50.54312072518762
-2005000,-190000,83.25879911690627,94.47869900930317,72.52526317108038
-2005000,-185000,82.65376906991214,104.67382504938871,73.05769417159141
-2005000,-180000,63.718980276697195,109.24281424252223,72.05784066654536
-2005000,-175000,45.07972188974037,54.15874969963056,68.634687857809
-2005000,-70000,36.22559819970368,56.53835452572878,62.063707982605536
-2005000,55000,33.07154473117434,37.44555016812386,43.17399910122431
-2005000,65000,32.462390822330995,38.554201365887934,45.25176172584557
-2005000,90000,21.732219520280665,36.186594408249135,46.15519353358536
-2005000,95000,23.31590994990171,35.21686869600025,42.416387272802226
-2005000,100000,22.727665938806716,36.16430434576847,43.05484396694459
-2005000,140000,23.142569601483785,34.49147263012853,43.2307041980668
-2005000,230000,39.17617426730002,61.08291516215613,59.14856925766772
-2005000,235000,23.205923066317816,35.79474000022705,48.60314115793844
-2005000,240000,34.63155899205029,48.794811613094254,58.41996558658134
-2005000,245000,22.695427680984764,35.91993245358759,48.48877840777661
-2000000,-195000,46.98968640596272,67.02729127164596,68.33171983466491
-2000000,-190000,80.76865948482076,94.71286094401029,76.00076537246508
-2000000,-185000,81.02660049184969,91.79092902466489,74.98816801479973
-2000000,-180000,49.88718118814384,57.35650425174515,59.86142881713964
-2000000,-175000,45.9547789971478,66.75750255417262,60.180936076229756
-2000000,-85000,29.726949914619844,55.16327642310388,97.10568497852353
-2000000,-80000,37.468546099107826,59.613271624768046,67.00947149325265
-2000000,-75000,27.191194460476474,53.224406544875364,79.54184864414582
-2000000,60000,25.65503400202374,43.658696068275916,55.496448557909346
-2000000,85000,33.44168090086706,45.77321908189026,57.980802124457966
-2000000,90000,33.55250622560804,48.68183462149452,58.57829983603855
