x,y,depth0,depth500,depth1000
-2100000,90000,23.84504666724669,36.38563629964961,54.18842062514089
-2100000,95000,27.854245194608637,37.599438277087884,59.704604165753835
-2100000,100000,32.17034412410576,38.571438736121976,54.47137172557019
-2100000,105000,22.798972869556472,35.17599357774155,50.911710938787
-2095000,95000,29.036422768220397,36.8736815500193,55.44331591179797
-2095000,100000,26.113479210832516,35.834634240052914,55.275767972391336
-2095000,105000,27.45723937865025,36.82924581375296,52.803078307196984
-2090000,95000,38.44274092416824,56.007880424970594,79.39063723495467
-2085000,105000,25.449969109996296,34.622727456218236,50.878447710648764
-2085000,110000,25.19203490340564,35.480931232651244,52.13300936392053
-2075000,110000,26.29726874308406,35.47035479287479,50.634238210983696
-2070000,110000,24.89049291242582,34.53887990817712,49.18744641701598
-2070000,115000,24.557240321565523,33.8757719745459,44.379272943096574
-2060000,115000,28.70069664188221,36.0600880047493,41.78034885280604
-2060000,120000,24.437800138272316,34.23761193670427,41.264886681466365
-2060000,125000,24.574104696866122,33.71401239971808,40.70727973292629
-2055000,115000,31.30598599519908,35.9759887714317,42.03816235482058
-2055000,125000,23.72023172725325,34.03633284218555,41.78302181017498
-2055000,140000,24.304269631438743,33.345643438539156,37.70482294915861
-2050000,115000,25.332841980471628,34.154279724178224,39.523368031027935
-2050000,135000,24.581132323586864,32.82522141915575,39.62682217132587
-2045000,-120000,36.831922752514,40.66153868358457,42.66362645912635
-2045000,-30000,35.45503541516518,36.513575870386234,46.920420442765405
-2045000,145000,24.417401021203823,33.52587206019867,41.19100641334115
-2040000,-30000,36.25712735137241,39.01851191148789,47.87268534432975
-2035000,-25000,32.99069708610993,36.61348763330997,43.927489768574134
-2030000,-165000,34.969876197904085,63.4461567592884,73.40041446759159
-2025000,-165000,37.75034386485039,59.794997580015476,105.44266776900349
-2025000,-20000,21.23533799119211,33.23239634379333,50.88171207162868
-2020000,-20000,22.243629151376318,34.18456719576242,50.96969184937058
-2020000,-15000,23.992757314185,33.83870319534937,47.40293875314215
-2020000,130000,25.04362233031224,32.926039408082545,40.79085988457676
-2015000,-20000,24.684873093010154,33.9904593331634,46.86857085833142
-2015000,130000,23.57537643639209,33.31557135850337,43.45644084344243
-2015000,135000,24.9957395771512,32.582210885894774,40.1072890714197
-2015000,145000,24.809922112680333,32.030958188033566,44.16635963586368
-2010000,-190000,46.17439665710964,75.34290591281125,70.75923315565481
-2010000,-185000,46.330931067201355,78.81745606215294,75.70697803861283
-2010000,-180000,79.06575486691597,122.41831230243882,97.74979307835237
-2010000,-135000,38.14498744821601,63.68722449499708,99.47629963711273
-2010000,120000,25.15468896537864,32.41589774427417,39.77336480557534
-2010000,140000,31.288430210531423,36.72845659640048,40.82344966333264
-2010000,225000,23.911992962801904,32.89969290494044,53.84894993501809
-2010000,230000,24.159943919342503,32.73736423014565,51.014424888089785
-2010000,235000,24.96543002707442,32.8727823089148,52.87580554123849
-2005000,-195000,28.643788281282262,46.73108641337252,55.37746253086509
-2005000,-190000,81.50097479480715,77.88799441887662,91.66027748269234
-2005000,-185000,85.81570685047063,107.14655142955785,91.58710430194637
-2005000,-180000,68.00591461279959,122.07948124894874,93.39700182350789
-2005000,-175000,37.763720655497835,42.057470213935645,56.01593485318321
-2005000,-70000,37.19526762563894,48.1438206528823,45.560392281998666
-2005000,55000,22.54518975786703,35.0932467563749,47.84953275585592
-2005000,65000,22.87224792511151,35.97049772703323,47.83693719132774
-2005000,90000,23.11393527663919,35.033420135488285,47.826636117403275
-2005000,95000,25.41433680483427,35.02573644327882,43.41042947106327
-2005000,100000,23.610598367599067,34.93082101485162,45.12523302541709
-2005000,140000,25.25121722307334,32.383807127354736,39.257798212945524
-2005000,230000,43.00260848240111,68.45849252453849,50.19680682675538
-2005000,235000,25.048715386775193,32.93242430752569,48.50226612185989
-2005000,240000,33.24660028953704,37.10378414682194,52.67845384610747
-2005000,245000,23.56862765798924,37.28698726894902,51.93915014921868
-2000000,-195000,44.05614725588429,67.63070833793734,61.5019447645374
-2000000,-190000,85.68856414779594,79.32849746675687,89.11613192481886
-2000000,-185000,80.75582684523917,76.69952324707386,89.9685262946639
-2000000,-180000,39.345809640375506,53.28761283340279,53.83483284761684
