x,y,depth0,depth500,depth800
-2100000,90000,23.304952570325312,36.576437728483825,48.78851568747511
-2100000,100000,30.36187474092072,38.36896812063778,54.404315781230565
-2070000,110000,23.88214627814955,33.38259657995415,40.318532083251476
-2060000,120000,23.793685826424124,33.37167607175987,37.056050860804525
-2040000,-30000,33.7379727295577,42.924877268578896,44.28728788336687
-2020000,-20000,21.691896123991263,33.54656408326158,36.02458855427729
-2020000,130000,24.23933330257904,32.12259356408395,34.14535520468886
-2010000,-190000,50.18838548059941,70.98407923800684,98.24760479532385
-2010000,-180000,78.22835356861907,125.03745810727543,132.03665978759028
-2010000,120000,24.512671450870663,31.32326868064277,37.90379931223449
-2010000,140000,29.644920840917635,41.09170348268921,45.671579165363866
-2010000,230000,24.540680351969037,32.863905727938615,41.476672469699395
-2000000,-190000,75.96121894665268,79.17796634515334,101.02119994996585
-2000000,-180000,54.86313553875311,49.77562775712144,57.79794476889174
-2000000,-80000,36.14186509451357,59.11380470654038,74.38472465115905
-2000000,60000,24.352193696745296,36.649645548688255,41.610544494535745
-2000000,90000,32.24862630032433,45.729528119971846,53.93652344781421
-2000000,100000,30.14000757062376,41.98327181063708,45.090825569096395
-2000000,110000,22.87978611194483,32.33065295100778,37.8691387063878
-2000000,120000,22.001856583570977,34.01260224262935,35.55199844259904
-2000000,130000,29.5944602412643,37.44205868192907,41.09001112030503
-2000000,140000,25.23214538782093,31.90943198051373,37.669376936225945
-2000000,240000,24.129329881072138,33.44046709884786,41.08107758242214
-2000000,250000,23.135596786928538,38.21551719959476,43.40879970584224
-1990000,-190000,37.736301370228475,36.877839468162165,45.864297284755224
-1990000,-90000,24.54155704339093,44.813848900191616,58.76658747303617
-1990000,-80000,30.108974752863645,63.031626324732684,81.93645123804617
-1990000,-70000,24.17690466025153,46.911283368131606,57.237221639792935
-1990000,-30000,24.661252298312718,34.90194981882354,44.81885863594022
-1990000,20000,23.21992627206899,34.48295203528231,37.447286869592375
-1990000,30000,23.653614196733237,38.50123488598046,41.44260716540793
-1990000,70000,22.008707181850617,34.16009063464787,37.73948014365527
-1990000,80000,30.579390532761053,35.78981500036781,41.755833324993404
-1990000,110000,20.349959965004025,33.470060398457896,38.982744789566
-1990000,120000,24.218039968258438,33.631821771202155,37.19679265820987
-1990000,130000,24.831683221007623,33.327652907910874,35.72321581719631
-1990000,140000,23.142439387709935,31.65830843952501,38.530546041551354
-1990000,250000,24.996973347014546,39.54475734425174,47.53016648865608
-1990000,260000,24.661028272284454,40.30172290103016,45.90283923426483
-1980000,-90000,26.47618539662122,53.61235302827562,79.29934085863603
-1980000,-80000,32.906989258695766,77.92168951670831,92.93331451384705
-1980000,-70000,41.26706515985741,74.1016870915285,73.83803343095744
-1980000,-60000,26.23984504522393,45.53485598850908,56.80264071294539
-1980000,-50000,31.57441350879293,58.93063506323372,79.01903675633542
-1980000,-40000,24.964490593658745,43.120365311941924,49.64511446109651
-1980000,-30000,25.59988151682778,43.007288909740595,47.695840449849726
-1980000,-20000,27.065401946851836,41.27910991054165,48.89313803762978
-1980000,-10000,23.12569309239958,40.71110795043725,43.63015976606623
-1980000,10000,24.900525679481518,34.70925552732384,36.187121970200465
-1980000,20000,24.779301512391307,36.607446150892216,40.595926780388915
-1980000,30000,36.20726301468843,55.98446924261617,60.449349437300896
-1980000,40000,24.240676045907854,34.85623187187045,38.10424080023518
-1980000,70000,24.840248930469727,34.29534548760113,37.56898328518738
-1980000,80000,22.88334430715784,34.33681386142691,37.522196321875
-1980000,110000,25.70497392425618,32.47033889827799,35.6209227229559
-1980000,120000,29.017210219430915,35.71027822984967,44.20533183260744
-1980000,130000,25.087703300398296,33.08221322906044,34.83508383343279
-1980000,260000,34.92271918052193,44.72851140397101,53.76011564806015
-1980000,270000,23.95386638163602,39.71638652859056,47.184923241872326
-1970000,-100000,18.410128503177514,30.839801471996694,73.14210278941371
-1970000,-90000,38.91819313420332,77.6989214877816,98.73590701182971
-1970000,-80000,34.92551670907211,57.26015362829348,61.967837548670786
-1970000,-70000,27.18245352567086,48.38566591323509,55.10759122962992
