x,y,grad,grad_max,grad_min,grad_max_h_z,grad_min_h_z
-820951.0,569592.0,53.84341483537104,86.75757575757594,14.333333333333362,400.5,500.5
-820685.0,564376.0,76.22000697107018,103.33333333333356,44.14141414141406,580.0,-720.0
-820579.0,578796.0,156.87947019867593,220.99999999999994,86.16666666666652,250.0,850.0
-820428.0,564049.0,79.68536075287558,115.19191919191906,63.01010101010089,480.0,-520.0
-820395.0,564104.0,96.19333391654261,109.05050505050524,62.43636363636368,460.0,-40.0
-819967.0,533612.0,24.69922480620153,32.99999999999999,22.333333333333357,-940.0,-240.0
-819616.0,814639.0,38.445660508888075,230.71717171717236,-2.232323232323381,-82.0,-1082.0
-819562.0,811530.0,63.13240418118465,69.03030303030302,40.83333333333332,-100.0,-200.0
-819419.0,656792.0,117.97448588358345,138.44444444444488,-11.666666666666693,295.0,595.0
-819296.0,811245.0,104.64285714285721,105.35353535353536,77.05555555555553,0.0,-200.0
-819233.0,563643.0,89.84621819449282,152.66666666666686,33.854545454545494,710.0,-690.0
-818754.0,582557.0,134.121679026568,200.53535353535355,57.58585858585848,590.0,-110.0
-818666.0,578209.0,154.348238482385,226.9797979797982,71.20202020202034,191.0,491.0
-818513.0,576833.0,103.54874438863955,125.18181818181836,67.16363636363643,-390.0,-890.0
-817947.0,882728.0,49.047066141405665,54.68686868686867,38.05555555555563,-142.0,-42.0
-817879.0,814205.0,130.63343040186376,184.8181818181817,46.166666666666664,91.0,191.0
-817604.0,583886.0,270.19999999999993,270.2,270.2,737.0,737.0
-817540.0,583375.0,46.75824175824174,250.0,-10.0,544.0,-156.0
-817345.0,643708.0,53.16820034944671,103.94444444444458,23.111111111110862,174.0,-726.0
-817268.0,583544.0,286.1623049219688,409.39393939393966,151.33333333333323,822.0,922.0
-817199.0,562970.0,206.04368083867266,604.8989898989895,-416.49999999999983,665.0,-35.0
-817082.0,643360.0,57.3838994407722,166.2777777777775,34.93650793650792,175.0,-725.0
-816976.0,582350.0,100.62633565873239,597.8181818181791,-277.97979797979696,935.0,-1165.0
-816804.0,582788.0,44.75173844089306,390.0,-200.0,565.8999999999999,365.8999999999999
-816746.0,812923.0,120.15404322063468,159.49494949494962,62.75454545454583,138.0,-1162.0
-816738.0,583590.0,104.87748685874004,315.4191919191917,-14.15151515151517,-170.0,730.0
-816511.0,814698.0,156.17815126050408,175.03030303030312,53.19999999999998,0.0,200.0
-816097.0,583709.0,109.30243024302412,473.84444444444466,45.944444444444656,707.0,-193.0
-816070.0,583018.0,143.56861686168628,351.444444444445,5.844444444444434,647.0,847.0
-815864.0,813699.0,97.78451014915116,259.90909090909065,-3.979797979797882,-125.0,-1325.0
-815725.0,646346.0,118.27836528407123,184.38383838383822,-14.222222222222186,84.0,384.0
-815687.0,815573.0,121.11888632976529,171.6666666666667,42.861111111111306,178.0,-922.0
-815673.0,640044.0,50.844117647058845,143.00000000000003,19.000000000000057,306.4899999999999,-593.5100000000001
-815640.0,585924.0,252.39999999999995,252.4,252.4,312.0,312.0
-815591.0,647501.0,153.13305922491472,180.31313131313127,20.24444444444446,-65.0,335.0
-815480.0,645951.0,118.27821540606469,184.38383838383822,-14.222222222222186,85.0,385.0
-815463.0,816691.0,12.48432055749129,28.69444444444444,-42.11111111111109,-149.0,151.0
-815367.0,814570.0,86.34375569182168,179.83333333333283,0.5555555555554292,130.0,-1570.0
-815321.0,585514.0,195.2542986425341,270.44444444444474,94.2363636363635,520.0,120.0
-815206.0,816408.0,53.576655052264826,99.16161616161618,-14.88888888888887,51.0,151.0
-815093.0,814220.0,93.54843866998593,331.33333333333417,-2.7777777777774304,130.0,-1570.0
-814887.0,855049.0,72.9516614098144,77.5,45.0,-246.0,-146.0
-814850.0,855224.0,40.8122306348282,69.72222222222238,30.121212121212046,-42.0,-242.0
-814350.0,813388.0,156.01911764705886,604.0000000000001,-108.00000000000009,-734.0,-1034.0
-814324.0,647610.0,111.65370545996483,132.9898989898992,47.41666666666637,102.0,-798.0
-814185.0,584211.0,249.73493397358968,342.6060606060602,136.01818181818177,719.0,419.0
-814170.0,856061.0,43.46622032866707,54.6666666666667,23.999999999999993,-643.0,-43.0
-814012.0,652667.0,77.80452488687789,98.4545454545454,57.055555555555614,-100.0,200.0
-814005.0,647301.0,109.58460913155417,145.35353535353548,57.69444444444427,-250.0,-1050.0
-813716.0,583077.0,131.5128964796095,377.5555555555552,2.9999999999998295,745.0,945.0
-813699.0,814560.0,171.45454545454547,490.0,-10.999999999999943,-131.0,-431.0
-813660.0,644953.0,73.911868310527,102.35353535353532,49.722222222222335,265.0,-635.0
-813528.0,583394.0,138.6013570004501,417.49999999999994,44.33333333333345,713.0,313.0
-813398.0,644608.0,77.01727408210274,191.47474747474791,51.33333333333331,365.0,-635.0
-813330.0,813632.0,152.375,524.0,23.000000000000114,59.0,-1341.0
-812859.0,856908.0,72.57735401053651,75.73333333333326,48.60000000000001,-247.0,-447.0
-812850.0,566338.0,138.21999999999989,381.4,-43.599999999999994,-1080.0,-80.0
-812797.0,566181.0,302.3999999999999,302.4,302.4,427.0,427.0
-812565.0,652613.0,77.35565610859737,98.77777777777773,66.13131313131315,205.0,105.0
-812441.0,584840.0,214.99999999999994,215.0,215.0,473.0,473.0
-812368.0,565845.0,65.02755780804569,349.24999999999994,-42.5,576.41,-273.5900000000001
-812194.0,565670.0,50.42888537875138,319.00000000000006,-18.333333333333428,585.1499999999997,85.15000000000003
-812157.0,584415.0,233.57839721254354,237.35353535353528,162.88888888888894,485.0,385.0
-811584.0,646090.0,222.2937625754529,474.77777777777766,-0.18181818181801646,300.0,-100.0
-810684.0,646643.0,119.46917044266267,169.42424242424278,14.666666666666684,40.0,540.0
-810522.0,576458.0,190.39999999999998,190.4,190.4,990.0,990.0
-810457.0,646381.0,118.84632276054386,214.7474747474742,33.25454545454559,150.0,-850.0
-809991.0,603345.0,16.635878678628323,61.666666666666735,11.000000000000005,-1021.0,179.0
-809963.0,576170.0,141.39622641509416,531.0808080808084,-109.5909090909091,1085.0,785.0
-809802.0,572853.0,98.4750209164294,152.7209523809524,38.322499999999806,1010.0,-190.0
-809586.0,574706.0,-109.76480836236908,93.90909090909086,-1227.1999999999991,-98.0,-298.0
-809551.0,646757.0,114.34082702387907,178.18181818181822,6.000000000000001,-105.0,595.0
-809488.0,572602.0,105.77453365774505,165.05050505050522,38.33333333333338,910.0,-190.0
-809440.0,646238.0,159.62830518345973,202.161616161616,35.388888888888815,195.0,595.0
-809438.0,575927.0,165.76005961251903,449.94949494949617,4.141414141414104,1100.0,900.0
-809274.0,574268.0,146.93910770303276,352.25252525252466,-188.49494949494974,802.0,502.0
-809199.0,581716.0,203.62135230352348,304.3985437710436,124.5233333333332,970.0,370.0
-808984.0,581402.0,206.76377597109285,324.5050505050498,164.3333333333335,970.0,370.0
-808333.0,582862.0,89.86008571006333,312.72222222222075,26.777777777777715,-866.1000000000032,1033.8999999999965
-808297.0,582022.0,186.5938397863533,443.33333333333337,0.0,816.4,1116.4000000000003
-808282.0,581934.0,174.8275566684238,391.99999999999994,-0.9999999999999966,838.9000000000001,1138.9000000000003
-808139.0,565745.0,194.88517816014067,265.97979797979855,79.58585858585886,500.0,0.0
-808126.0,563412.0,178.0433842175919,242.92929292929324,88.21212121212024,338.0,-1162.0
-808107.0,564455.0,193.59946664296157,239.00000000000006,41.616161616161655,405.0,805.0
-807892.0,565292.0,228.69861807343133,330.90909090909054,79.46464646464645,500.0,100.0
-807641.0,574700.0,192.59276018099553,247.6262626262627,-3.333333333333332,665.0,965.0
-807251.0,469863.0,48.02727272727271,90.0,25.99999999999998,-945.0,-145.0
-807155.0,553750.0,115.75655212580072,145.99999999999997,28.828282828282802,-288.0,312.0
-807074.0,655551.0,83.06161910308677,116.02020202020189,50.464646464646556,65.0,-435.0
-806835.0,655135.0,100.27606290040781,223.2777777777775,21.969696969697,265.0,-335.0
-806815.0,409418.0,37.11812627291243,35.99999999999994,31.500000000000057,-1644.0,-1544.0
-806578.0,656916.0,73.28072218986587,88.10101010100999,53.52525252525266,15.0,-485.0
-806450.0,561080.0,84.69877693651706,119.16666666666656,21.50505050505052,-488.0,312.0
-806388.0,656571.0,96.70285381479333,116.17171717171728,64.00000000000001,115.0,-585.0
-806362.0,574682.0,105.48087314212223,140.4218892027416,-6.068465740740701,123.0,823.0
-806166.0,655901.0,153.8165666266505,182.00000000000003,79.03636363636357,368.0,-32.0
-806025.0,581629.0,138.59999999999997,138.6,138.6,764.0,764.0
-805949.0,574287.0,139.04263249854387,163.1717171717173,44.333333333333364,423.0,823.0
-805748.0,581343.0,188.9965156794424,291.4646464646466,74.88888888888883,750.0,950.0
-805427.0,577452.0,172.4457124342999,263.6767676767683,49.49999999999999,746.0,946.0
-805393.0,577485.0,173.24043747357072,246.75757575757595,42.055555555555635,746.0,946.0
-805172.0,573044.0,127.25474665113553,169.9393939393939,53.5,590.0,690.0
-804973.0,577559.0,164.56097560975624,198.56565656565652,55.11111111111112,755.0,955.0
-804963.0,426428.0,24.39097744360902,55.50000000000002,11.000000000000009,-946.0,-46.0
-804955.0,655063.0,111.16685256186808,126.39393939393963,8.777777777777823,-5.0,595.0
-804278.0,568827.0,155.51022896626458,195.92929292929324,-9.444444444444443,195.0,795.0
-804166.0,652543.0,120.1227722772275,136.67676767676727,59.66666666666673,-117.0,683.0
-803866.0,570649.0,95.17938264414684,122.68686868686872,20.722222222222353,-119.0,681.0
-803770.0,652907.0,127.6610840013942,180.80808080808106,53.969696969697004,483.0,-517.0
-803598.0,570317.0,121.28887765054371,159.01136363636388,2.666666666666657,-119.0,681.0
-803486.0,655296.0,132.08766120599495,174.97979797979838,17.000000000000004,360.0,660.0
-803290.0,651402.0,153.39282059551354,282.9898989898991,21.05555555555563,620.0,720.0
-803275.0,654157.0,166.3431566686082,180.36363636363615,82.16666666666679,-60.0,-760.0
-802981.0,798522.0,37.52669919832707,65.34545454545453,23.525252525252622,-1255.0,45.0
