,x,y,grad,grad_max,grad_min,grad_max_h_z,grad_min_h_z
3359,-600000,1090000,34.4136215575013,58.738330447330426,14.0489084872408,-228.27998500081617,-172.61099397522221
3360,-590000,780000,26.848052460246063,44.305511904761886,15.624713686879938,-218.20825607147353,-169.68101411224188
3361,-590000,790000,78.34006257421339,204.39969696969692,27.266445311378654,177.1509699170877,32.2083986900916
3362,-590000,800000,42.83137487306931,53.360231254055705,30.918240207156817,38.20135732331289,126.83668390685239
3363,-590000,810000,65.66865436147269,152.07444781144784,23.036145912160332,326.1046207210839,532.8926677844069
3364,-590000,820000,38.962432174976186,47.89608802308801,29.744337732558876,-73.5696548039825,-44.086797501584435
3365,-590000,830000,38.84351374322372,49.904262626262614,28.296975099513297,-31.86318645404798,-62.83478335769497
3366,-590000,840000,37.06793936655979,45.50964646464646,27.108633451199378,-78.49216471964436,-36.23170368248123
3367,-590000,850000,30.265832648683933,40.309891053391055,15.737860920363557,-181.76546172602653,29.70266950370671
3368,-590000,860000,28.891063896421546,36.93909235209233,15.194198070463315,-172.2684299942664,-35.60701103866847
3369,-590000,870000,26.110592004154096,32.36973160173159,14.269958434316804,-226.44334658796222,-190.59157004901795
3370,-590000,880000,25.338862277716466,30.888186147186147,17.175302037040506,-148.1858606597035,-179.11303462356912
3371,-590000,890000,26.104373641311078,36.60940909090907,10.743881729498876,-146.65283187914233,58.73062611271746
3372,-590000,900000,35.47705236420832,56.4354148629149,24.338940213329117,-9.561135629121225,42.391936337182024
3373,-590000,910000,80.48533767169268,105.65858838383838,29.89540489770164,91.77262218203938,203.3201720994985
3374,-590000,920000,84.34716975173112,120.91428282828285,30.644479772002548,-10.330089517379713,-25.651748657387763
3375,-590000,930000,100.78879266124873,160.28699999999998,38.23358506199261,195.67358269514637,343.5966432842018
3376,-590000,940000,115.1014029528084,288.72906568462383,15.058888218319238,612.5869629080648,903.9738541046312
3377,-590000,950000,115.06834456448078,263.4090221661056,28.618051930405834,677.0363811122417,1126.9427751740006
3378,-590000,960000,94.49477668112478,232.55931397453114,16.235915308112013,711.4259445153479,958.3044190780147
3379,-590000,970000,69.26651762159213,95.49733333333336,24.805105336868717,269.5631759571025,255.31427572686943
3380,-590000,980000,81.96866722314773,138.51831986531985,24.294309429573225,259.14771876529994,210.88065768945467
3381,-590000,990000,82.13653046068833,138.50233670033668,23.77914402110077,176.92564464229702,596.2477922281903
3382,-590000,1000000,41.091820990607516,56.77522727272727,22.360267496605946,-21.9435411351368,111.9296995963941
3383,-590000,1010000,40.0498245632442,58.11910101010102,21.173976088899515,-53.00921604839475,109.14050590956745
3384,-590000,1020000,39.113786198953775,51.04572438672438,18.150540467932945,-97.28330522575018,-85.610225084463
3385,-590000,1030000,41.60225742603182,61.02656782106782,29.38295272226155,-31.72706746609054,23.446582939149764
3386,-590000,1040000,53.630622184370246,114.14438720538719,20.668410674616,197.21899501430934,146.43636189579303
3387,-590000,1050000,39.7719096568229,61.51380519480518,23.64450083648504,-78.00356157940857,-92.34102819705205
3388,-590000,1060000,31.54178862161444,45.91198989898988,15.398491627849806,-154.15669611438528,-151.9417177741708
3389,-590000,1070000,32.831822305991764,44.19415151515153,20.514852961729474,-175.60597061406494,-243.1237537932777
3390,-580000,770000,29.646911541593063,41.17604545454546,12.759464925005629,-284.68682702093207,-156.5751014438374
3391,-580000,780000,66.24643684582081,110.6012767086012,26.013389082538176,182.68337083653086,179.89020990207044
3392,-580000,790000,44.79320969595398,56.1245923651668,31.1920351327729,63.263961546667744,102.11537712463053
3393,-580000,800000,51.84789436665814,69.96275145607589,28.075347170972993,107.58845823624358,132.7466605764696
3394,-580000,810000,31.701626531193906,53.77085227272728,17.88696131505779,-136.8437283270303,10.299144234975795
3395,-580000,820000,30.035472387678837,54.478180735930735,14.902765821397802,-136.17898576134505,-118.29473235062883
3396,-580000,830000,32.2056829100324,53.054704545454534,13.825106565745998,-110.44366483098594,-135.11566091453807
3397,-580000,840000,30.515383890641623,49.02621464646464,16.840803295916963,-169.8467774207152,-69.32466800401932
3398,-580000,850000,28.811445551029202,35.03072655122655,16.119413981835418,-134.88410329406992,-152.89012633400608
3399,-580000,860000,27.52331539169123,37.170424242424225,15.826432222835535,-198.75785447998342,-205.39094665496876
3400,-580000,870000,26.139397040405388,36.50056854256853,17.548206558614943,-168.40878011064964,-213.54501689878154
3401,-580000,880000,26.725858987425312,32.925259018759014,15.36004675507677,-142.7037509784209,-180.21035106814668
3402,-580000,890000,33.23725394221023,52.34976334776334,14.867819834449548,-145.87395252869638,-44.20481375489406
3403,-580000,900000,67.89060861347903,97.68102020202018,28.367076325792386,-5.088402962184666,-29.07047488960577
3404,-580000,910000,106.17533965642065,135.40709090909093,40.005618008066186,424.6326541190099,831.3368322694771
3405,-580000,920000,96.59029557522847,155.69905050505048,30.084854212545235,572.8341942948165,690.8099637928447
3406,-580000,930000,105.44905970092489,192.6938653198652,25.469135196360476,770.8233085891919,1011.7962923176184
3407,-580000,940000,103.33900123693552,224.5059001122334,24.763125686424978,637.7206043629509,1126.413247798747
3408,-580000,950000,103.1140035051302,142.82030303030305,24.554362952430306,424.9133097259278,575.1989308925248
3409,-580000,960000,102.15316146023387,190.75400505050501,29.108481174064494,449.6318255991655,640.9324117249372
3410,-580000,970000,91.26741475347104,143.97065824915825,24.250662880809013,379.26447787701005,664.0842258110382
3411,-580000,980000,81.79863213161862,141.32239730639722,21.161351013187108,236.9974157380224,431.76659951281346
3412,-580000,990000,40.69200172206648,59.97930808080807,18.968169955986383,26.12289570281791,143.74770924918275
3413,-580000,1000000,53.70951222477538,87.89897222222221,17.376782793671865,199.29020854542256,129.70922146843316
3414,-580000,1010000,38.90418613322832,55.38901515151513,27.158231773237016,-12.189196869967416,-150.11440479352441
3415,-580000,1020000,35.13978310151263,49.10609307359307,16.578011247451485,-134.33482408551302,-91.86042678154269
3416,-580000,1030000,39.20808243004892,53.97458585858584,22.66145341361845,-25.560125644042692,-173.20317471515372
3417,-580000,1040000,38.51918980525715,51.238290043290036,20.017925226424307,-144.7751074638512,-140.37583818096925
3418,-580000,1050000,34.170704768277666,49.731807359307346,17.480441225130832,-107.51876180164554,-295.00818055770924
3419,-580000,1060000,33.23525211747702,41.89682323232323,14.747290199743166,-219.28634617934722,-187.55114175777192
