x,y,grad,grad_max,grad_min,grad_max_h_z,grad_min_h_z
-2100000,90000,31.816374514394596,68.10013582251082,19.845480243887906,-704.9397857928639,-584.5744305598381
-2100000,95000,39.5360747714049,73.46459145021642,11.416245142196445,-426.9308066631103,-378.7158870554035
-2100000,100000,29.403159859739628,50.076344696969684,18.397693015959764,-561.1066865947366,-268.7983907342685
-2100000,105000,26.622642005178676,40.837548340548345,16.40231131935296,-746.3801913075449,-749.9707325569296
-2095000,95000,38.71170079571905,95.0171706349206,-2.08890926737166,-565.9912067927044,-488.1967973961468
-2095000,100000,34.85760042951629,61.00561219336216,4.842242446960394,-469.62596322046045,-488.3398555827819
-2095000,105000,27.484476658937403,41.44980663780664,15.390022151567425,-520.1502273707697,-255.1691216571172
-2090000,95000,52.27602768496944,121.81687193362185,2.849207216520535,-371.00256067281845,-461.91529819124423
-2085000,105000,26.001455789855108,30.817958513708508,15.66191292126797,-674.5091160840018,-504.88524819644573
-2085000,110000,31.53246749570023,55.53678661616161,18.124268702126656,-567.8257770310115,-495.14208844099835
-2075000,110000,31.936547021463333,46.765276334776324,18.306215807234857,-561.0421259432421,-406.79247528841927
-2070000,110000,33.16512049376132,46.14009776334775,17.27819792992055,-625.983751009132,-428.65187980771987
-2070000,115000,29.308426977254136,43.044623376623385,16.10599984489957,-612.00793913609,-374.04534105981367
-2060000,115000,30.31346889607881,39.464619047619045,13.523667371846127,-453.6394890532446,-205.83772625253596
-2060000,120000,32.45213446978719,43.17666666666666,19.639446276743804,-631.6777950469068,-339.1041916756269
-2060000,125000,29.455720764142633,41.04210822510822,21.78056856831711,-567.6959553269005,-407.447747915424
-2055000,115000,32.3513465134419,44.999316017316005,16.299187986883375,-384.1241398937277,-229.05820444072486
-2055000,125000,25.902846760426378,36.262046897546895,13.286881137299067,-614.0287153827819,-383.7445297876334
-2055000,140000,22.564278632463733,34.77927627927629,15.236158591534327,-818.5932067875037,-216.62052507836745
-2050000,115000,31.873546304787038,41.04625541125541,17.205925364897766,-548.4217781003176,-346.111728920426
-2050000,135000,22.97514513776629,41.46683405483406,12.69416368227547,-716.6045366422247,-280.55400745101645
-2045000,-120000,41.92439119735542,77.19900144300145,10.9620765228614,-473.96237064714745,-334.5866216279808
-2045000,-30000,35.05170375854412,43.38190909090908,16.075290191983136,-437.70425321955213,-244.7569207170746
-2045000,145000,22.734952223492648,37.55337296037296,13.340415092328882,-565.466198271411,-344.53353275921665
-2040000,-30000,33.097450609134185,43.36828282828283,17.086124728407558,-518.5994396657097,-321.64344321224684
-2035000,-25000,31.44501839531238,47.82085858585859,17.24618891779685,-450.4396170044886,-347.35845585489614
-2030000,-165000,87.60846763107246,205.55743434343455,-15.142978799590574,-392.5262664923431,-524.1410212387788
-2025000,-165000,75.5702919092454,198.73215151515177,-27.13101736914237,-365.70266734569736,-481.94525551703174
-2025000,-20000,28.57479508621231,52.60920634920635,17.53264109570333,-581.6165738966681,-656.2181266676636
-2020000,-20000,28.23742958894264,40.921583694083694,19.130212714291062,-624.7421191656799,-798.956876184691
-2020000,-15000,31.7091092106133,41.97760816960817,18.9734871611179,-503.03957713052966,-426.95641448763564
-2020000,130000,23.311311511860815,32.25946242646243,14.261213639940024,-643.221024369747,-313.78539990707674
-2015000,-20000,34.828346229437585,39.26385275835275,20.053969574841787,-474.2451518811354,-401.54261199856217
-2015000,130000,28.459204102872317,32.59451437451437,16.68147619748226,-478.15605967649583,-268.0837439982921
-2015000,135000,23.989905037964856,35.763192585192584,14.844382672300593,-636.2054507671892,-247.3096050789816
-2015000,145000,23.472071855319395,34.199564879564875,15.888856880729417,-609.6464148921971,-242.37117574840417
-2010000,-190000,44.966754538838515,74.23649134199131,18.98371833869364,-202.76104268647353,-127.8573625595871
-2010000,-185000,43.26054967564109,97.6786327561328,9.818755439279464,28.312740708150166,-56.958456029863115
-2010000,-180000,74.25840991435058,295.30274747474755,-10.775107245559626,133.65311218288875,386.9044540773639
-2010000,-135000,82.44161206726093,209.20308080808093,-16.55336255521437,-392.9183042891193,-547.8179738214338
-2010000,120000,28.67326451671781,44.27965578865579,15.859865276162639,-477.5367965702334,-304.69930737324773
-2010000,140000,23.652882625055643,30.030261849261855,15.123154478010848,-472.6381923343976,-322.88115004038195
-2010000,225000,30.242811051881997,57.231346320346304,20.704517300283136,-615.7041824597095,-519.1993327708499
-2010000,230000,30.601376421040765,48.62058874458874,20.683462863279665,-695.1018029481065,-520.7639984655606
-2010000,235000,30.725758442637115,42.86422871572871,22.71627529152034,-622.5564506039775,-486.883365609104
-2005000,-195000,44.56502722081429,90.52502164502168,14.762291778679765,-522.5453726393414,-658.5981475759893
-2005000,-190000,44.665118923641835,100.11034487734493,-9.986912576103498,457.61903734357634,663.034916343242
-2005000,-185000,72.20606298541666,278.0416767676767,-13.957671381638283,586.5568015290075,636.4370926583541
-2005000,-180000,71.91060919952724,283.94827272727275,-14.917713765879148,50.01432516896023,61.07743546066861
-2005000,-175000,45.93523846813147,78.29934992784993,12.120667222193031,-306.50053717519194,-450.6679858134909
-2005000,-70000,49.58505636277035,61.591525252525244,19.811145636241697,-386.4230855058142,-375.3569548147886
-2005000,55000,28.636689045491384,51.69719624819624,15.981404211557251,-780.689272825738,-534.0862374822347
-2005000,65000,31.09120933946533,50.522282828282826,23.69635816007611,-774.5123076198756,-853.0245098833688
-2005000,90000,28.605909059393717,47.7762085137085,19.371627389254662,-541.1090407043478,-517.0464134713083
-2005000,95000,29.029552116107883,40.8750036075036,14.304223742164513,-491.42133455180345,-368.43583486112664
-2005000,100000,28.376196017929768,43.08900793650793,15.806403902452862,-423.46488976600125,-442.48784027202373
-2005000,140000,24.65883266355541,31.002986235986235,12.425834565543973,-355.24156720621215,-207.0535505531629
-2005000,230000,31.16725826753135,39.351183982683985,21.82442199121256,-661.3013310399642,-129.35760449840865
-2005000,235000,30.503920366656565,45.04836562049059,24.264774288940536,-638.2830664107037,-494.36152541580924
-2005000,240000,32.32322980694495,43.81840909090909,26.490043794047814,-684.9252555761268,-555.0627197186462
-2005000,245000,33.217843343347845,47.67249639249638,22.56301741818502,-644.583086373663,-595.6077025954446
-2000000,-195000,59.29779081331555,107.67675396825403,8.7572697973007,-9.715381847913031,-304.41319568488746
