x,y,grad,grad_max,grad_min,grad_max_h_z,grad_min_h_z
-2100000,90000,37.808612933599804,73.43378535353536,18.57866034406904,-666.7488469715703,-440.0710652080957
-2100000,95000,41.98963790541501,71.26531385281382,8.432409710724919,-535.8864611823905,-419.30545495846616
-2100000,100000,33.00728031426166,57.28664141414142,20.019334862872284,-556.3902530557855,-271.8035532132125
-2100000,105000,31.586518057219898,52.00465945165946,17.748201815398865,-642.9718642186024,-495.0167369408164
-2095000,95000,36.00871215178928,95.6835772005772,-0.518249810170353,-688.5526183624931,-521.6626086844344
-2095000,100000,36.24061122978546,72.48628787878786,5.9604383493195465,-464.66823275444256,-444.80781254604256
-2095000,105000,32.705817742680736,57.79921717171719,20.641935588466964,-584.1353876812315,-305.2802386189287
-2090000,95000,57.654420545501694,122.73292424242422,-10.1630606522165,-542.320163915933,-526.3768988793818
-2085000,105000,27.835024411760553,36.38721500721501,17.862397525199047,-662.7024968059386,-534.8456634722345
-2085000,110000,33.98616915967344,55.03095238095235,18.297869384906022,-571.7063089265923,-511.95942354385545
-2075000,110000,30.816614042524485,45.43635281385281,18.578397948075377,-474.068338117085,-431.0245072266728
-2070000,110000,29.14717183256012,38.605126984126976,18.272564096616872,-602.819771907607,-393.8753795138602
-2070000,115000,29.29506122859924,40.703834054834054,19.469924393302804,-576.6611236312438,-361.4453761863082
-2060000,115000,31.22399366983802,42.54109632034631,17.796747459475892,-462.97362013671284,-232.85583844830774
-2060000,120000,28.96213658832158,38.18413203463203,19.059529771142245,-570.5808317773299,-319.75773869166227
-2060000,125000,28.55140813328902,34.24964357864358,19.443533266743813,-642.5260329964788,-385.1935075601959
-2055000,115000,32.983664285839026,51.88755952380952,18.42836615388771,-416.22164391825436,-294.5952941926689
-2055000,125000,27.48372893255442,33.874042568542585,16.228705303417534,-620.4282186808462,-457.63390955656473
-2055000,140000,26.770739576141665,30.051674603174607,15.506497679755988,-617.4756755250154,-178.0100803904684
-2050000,115000,29.17222873212091,36.90257215007214,18.0135688194922,-452.7446090647652,-355.83812651558327
