x,y,grad,grad_max,grad_min,grad_max_h_z,grad_min_h_z
-2100000,90000,31.312300093075294,50.54266937229438,19.42636593054003,-627.4817500517725,-513.0830534504802
-2100000,95000,36.30794849922606,73.55755555555555,4.637605869458838,-475.94348062133764,-393.2703222372527
-2100000,100000,29.79623137991343,39.702743145743156,19.64204137760865,-513.3154260050796,-241.75634766456332
-2100000,105000,23.84838417651256,38.612484848484854,15.63885767989503,-659.395657582455,-706.6201023562288
-2095000,95000,37.4928892876333,86.92447691197687,-12.20094967183335,-609.3874471841716,-525.6259504780398
-2095000,100000,32.966961599604,63.529904040404034,5.010045553019789,-508.18088726133345,-417.17910756490744
-2095000,105000,31.112247482145015,38.11676190476191,18.829135317688422,-569.7363889011485,-282.0135191908935
-2090000,95000,62.43678805287398,117.50793434343423,-18.36230416139763,-476.99507511104395,-491.1820730876145
-2085000,105000,26.689465914752756,30.66405627705628,18.75268511656471,-680.3755953841828,-471.9906465902536
-2085000,110000,31.94581048247956,54.52483982683982,19.266032260584993,-622.5478099796328,-460.12714389941584
-2075000,110000,31.447895703212517,38.78605483405484,18.528773754422488,-472.65781502221233,-396.42392561791075
-2070000,110000,31.1227320803472,40.72434920634921,18.761037549704582,-682.4256241560006,-390.7240331131004
-2070000,115000,31.79590846807408,46.74796103896103,19.255215048816833,-528.4203897400487,-348.5128548700818
-2060000,115000,31.225172198081523,35.88163924963926,16.130101220655895,-503.7119488150614,-197.42427063057147
-2060000,120000,31.356475514671907,39.2629531024531,19.87823486668432,-654.5299233263954,-323.70929674934405
-2060000,125000,25.504544925195653,38.364748917748926,19.34529005739776,-701.8762920721406,-326.91115351983296
-2055000,115000,34.94248895287115,44.95462770562771,17.13207056570852,-483.7285893514111,-223.18900314444912
-2055000,125000,26.429595230841514,35.778819624819626,13.55746588905703,-725.7754479449854,-371.8094363220821
-2055000,140000,23.568641983473412,35.306298701298715,15.946076719714076,-713.0858452602868,-215.2316558766362
-2050000,115000,29.746658899359126,36.14751731601732,18.5584728335364,-437.311928900844,-317.61009579444533
-2050000,135000,27.051614270042876,47.11367676767677,15.163473926143821,-643.7977454003362,-250.8489917259437
-2045000,-120000,32.21264278956927,68.62217171717171,12.770006971010092,-599.7683120098479,-289.2317574269392
-2045000,-30000,34.12355845264436,49.25030447330447,15.668827095973176,-499.6990755245244,-278.02207313119004
-2045000,145000,25.771242958638812,39.09036363636365,14.028416861264258,-726.6695711011291,-299.7029128113626
-2040000,-30000,34.21488464470169,49.733082251082244,16.173329884803053,-549.339097314459,-310.59189217572646
-2035000,-25000,34.40031933796697,48.35271861471861,18.21994203395667,-500.68667980456746,-288.9275857885365
-2030000,-165000,121.39553184284523,267.5283333333335,-41.295580108454786,-380.2592011530982,-674.63333942782
-2025000,-165000,86.35173244258874,261.19519191919215,-56.342974334884616,-580.3803994625628,-510.7198363121156
-2025000,-20000,28.82479321783065,60.66868037518036,12.825915366839109,-474.4604572669787,-653.7623220063327
-2020000,-20000,28.458821377287336,43.846997835497824,14.103473209319027,-494.8870923258201,-747.0351700724647
-2020000,-15000,30.200972546210682,33.32673520923521,17.30401417783961,-661.6282315162966,-424.0300318471725
-2020000,130000,24.789074160923697,38.41638528138528,14.916199385899215,-667.9287276878827,-205.9159094778681
-2015000,-20000,32.62853386868714,37.097424963924965,21.79419778109398,-605.221002341342,-392.84499015643564
-2015000,130000,25.396079857586095,35.468424242424256,14.894947686445398,-641.4555415495386,-249.36104834841095
-2015000,135000,26.48601223600157,38.95545454545455,17.809210373004245,-496.2835393896082,-253.59244388616466
-2015000,145000,25.153352374271044,39.07159018759019,16.14684797133792,-711.9908452333693,-262.03133304196876
-2010000,-190000,53.85474964366228,83.01537012987013,21.723419133261448,-76.22050613775264,-100.9599963207603
-2010000,-185000,50.13090867346579,97.44374242424246,7.961371410296441,47.34031028925569,72.51508224678662
-2010000,-180000,84.46574333287136,327.91824242424235,-39.937720720516765,124.2122320412349,496.6014296925938
-2010000,-135000,115.1792822068817,267.730676767677,-40.35986412270934,-403.80183471248347,-609.4394777315512
-2010000,120000,27.69817694740144,48.73882395382396,18.112323447189134,-478.4935873521472,-297.0272038743137
-2010000,140000,26.44623525523283,33.91819480519481,18.807053615142834,-519.8021587580859,-275.57122905438644
-2010000,225000,32.74186195869779,57.88925396825394,19.039205260872745,-443.8878332160353,-348.39954597174574
-2010000,230000,30.858207548395168,45.92404329004329,18.759151305394376,-468.5813864691827,-329.7542305922068
-2010000,235000,31.025881035103044,40.26430086580086,20.879390714440287,-428.41800130400776,-304.977569348276
-2005000,-195000,40.107900667193285,83.20175757575763,9.540215006023553,-434.1257071225654,-543.6554174989085
-2005000,-190000,56.7176382931805,99.92636589898991,-19.345483093592883,610.6239510454463,739.5463555026397
-2005000,-185000,84.7755824941656,328.52922877441074,-16.73893969338968,698.4017816345734,739.0002840888837
-2005000,-180000,86.8148502861707,328.9363670033669,-36.40710142930274,30.098987606758342,143.58734854674623
-2005000,-175000,33.985587635843444,72.44001010101012,9.298155529547135,-450.67379127748046,-395.39461347603526
-2005000,-70000,38.855090970167055,76.41245454545455,19.413781671723683,-485.7559790793709,-331.873021931159
-2005000,55000,33.94162631280693,52.61849783549785,12.751808139674246,-857.1620550877033,-497.87327062890313
-2005000,65000,34.50240299264604,86.5661688311688,15.309080719859137,-712.1935295726144,-822.18768179132
-2005000,90000,29.673572101459037,42.64629437229438,16.542554223343558,-522.0520616352167,-475.2794687254516
-2005000,95000,30.688278802928792,36.584504329004325,17.31683810306295,-527.5599965157157,-286.81166129732037
-2005000,100000,27.965864159131907,37.16231662781663,13.816512839514333,-615.8282580377797,-402.94719663459057
-2005000,140000,25.87780383799498,37.08613131313132,16.248628734014346,-460.6633827293809,-246.62238127324093
-2005000,230000,31.83029761878195,37.227585858585854,20.210841945358187,-686.1038827951982,-121.32346469382463
-2005000,235000,32.074742107552865,39.94513203463203,22.29769633061351,-515.2319128199679,-283.79901968135687
-2005000,240000,31.791561906795913,41.348253246753245,22.443273602431667,-528.6431535304816,-390.1901104185564
-2005000,245000,32.911770749645,46.630384559884554,19.152641273249696,-371.7784870975868,-387.79660905804144
-2000000,-195000,42.1551653314624,94.44027272727273,10.012800850962302,-319.60870815098673,-307.54793795126056
-2000000,-190000,55.83665041772006,103.68399663299665,-14.781695986281857,650.7568573026572,772.2595024805958
-2000000,-185000,50.75999036776818,80.38121164021166,-14.805011858732595,601.0533624959196,711.4170872332712
-2000000,-180000,30.851282407126323,58.893103896103895,8.866136568565082,-537.9821298827053,-496.423831475063
-2000000,-175000,31.20702427125011,55.57188672438672,13.798844362984552,-418.5826205434604,-279.85285519846934
-2000000,-85000,34.845228153063935,68.57913275613276,12.226026893687692,-419.58212962014045,-239.59484081318308
-2000000,-80000,34.44798395766033,66.48281457431456,13.080579624861352,-398.62915734599466,-272.88157470463364
-2000000,-75000,34.24868589005118,72.01774747474748,8.488632478902051,-578.1757851530142,-404.71057297580955
-2000000,60000,28.928244810438752,43.14893795093796,12.540511170041594,-618.1417394903983,-226.30776698522183
-2000000,85000,31.358274872118407,40.297709956709966,18.664217588176783,-609.1897656491999,-393.97578488830516
-2000000,90000,30.408413537131306,41.94516233766235,16.168075977195272,-513.0281638536076,-305.6772136320034
-2000000,95000,29.271120646396625,41.90304184704186,16.974458128855886,-474.6351418238194,-288.3275936395372
-2000000,100000,28.735395044021125,40.40876911976913,16.924196958784563,-486.06744375728186,-290.20114182982354
-2000000,105000,30.95930084652472,53.23538383838383,19.510692622350824,-519.0422325797504,-259.8634041946217
-2000000,110000,25.208364926364805,34.261958152958144,14.039018562710167,-621.465554197539,-259.6150103562562
-2000000,120000,28.437287592937572,50.342098845598855,16.005981159460475,-1015.2927384712495,-1128.3388922957581
-2000000,125000,26.165552161393617,37.69181457431458,16.931220840688468,-1084.5649832086324,-666.4238456666342
-2000000,130000,30.291303799329608,38.88468831168831,20.098426765028066,-468.6103799201786,-245.25917494561833
-2000000,135000,25.63961295706038,34.5880303030303,15.759746520781539,-438.2844589980182,-268.59410646126196
-2000000,140000,27.119721049146744,36.715779886779885,16.779785984049543,-607.5901011121343,-214.44074385214546
-2000000,155000,25.28496105953661,39.50928138528139,13.674172452470577,-667.0788376035318,-260.8664330505459
-2000000,235000,31.809336499996903,42.22805122655122,22.58674889840307,-547.1867200550776,-355.33522572079005
-2000000,240000,32.65783923217533,41.84737301587302,22.229937388918934,-484.7635167465751,-263.10769243378707
-2000000,250000,32.36535565788764,51.64582395382396,19.1712758157314,-375.95047708517075,-428.79743835022896
-1995000,-195000,38.51388728386684,84.76239898989901,4.560357481702399,-370.5206591389634,-553.8328586957996
-1995000,-190000,49.17606693949952,92.4039374699375,-18.394013471020834,129.18988930401468,485.84652432446376
-1995000,-185000,49.23758704087421,87.35904713804717,-18.778356987026743,135.0905788699557,496.6046156449793
-1995000,-180000,30.05048055371776,51.73096753246754,8.396274665646494,-436.71008624040275,-406.46854824014054
-1995000,-85000,36.14981318112302,93.43946464646466,5.66440649495928,-795.2187676873507,-805.3539533024594
-1995000,-80000,32.84905313991653,75.66980375180374,4.974965321647296,-638.9813207624275,-277.29721236956505
-1995000,-75000,34.33441226986834,60.41761111111107,12.384624723369912,-360.421764621035,-325.61034914803975
-1995000,20000,34.982829391509185,51.2466774891775,15.342779450374191,-493.7200813721847,-319.47338972422983
-1995000,65000,30.662229940332953,42.887017316017335,14.44121455459821,-620.5589697706371,-250.7999300702126
-1995000,70000,27.613327430986466,38.17150649350649,12.75725221307864,-882.8123222722922,-271.6475673028838
-1995000,75000,30.685507352992996,50.183443001443,10.658853042640295,-574.6048431516447,-307.0150904516912
-1995000,80000,28.96032105129901,46.555689754689766,11.615446906687206,-575.1942848413914,-289.1922137214075
-1995000,85000,29.790483948847555,37.81253102453103,13.041338388457227,-821.0775328892548,-424.82700929293844
-1995000,90000,30.989682027092257,37.33860461760462,15.549869226019187,-721.1192901901727,-235.4634313940232
