,x,y,grad,grad_max,grad_min,grad_max_h_z,grad_min_h_z
0,-2100000,90000,40.82102033513114,67.02191486291487,27.319218970397184,-407.7044898457064,-382.246590915403
1,-2100000,100000,32.13734129116907,48.54381818181817,24.353299899182428,-342.2488117823411,-257.41733499320395
2,-2070000,110000,31.89673087617519,36.09523953823954,20.114375847510516,-371.1648587083723,-371.93502421721007
3,-2060000,120000,31.020022508354362,42.03413852813852,20.361393070296437,-358.6377034124095,-278.20011192087924
4,-2040000,-30000,33.808893289772264,47.506343434343435,19.71570812476709,-327.4015781888783,-246.9506461688738
5,-2020000,-20000,36.89433143085253,52.478010101010085,32.0637625703076,-422.8175699154407,-451.75209888530367
6,-2020000,130000,24.617029150699675,32.251070707070696,17.02254433932726,-273.9605843152247,-200.4730705566704
7,-2010000,-190000,41.07266268158838,64.4896111111111,14.184732075440444,-79.97896997879671,-11.603522338410475
8,-2010000,-180000,91.11200842213361,390.79737373737356,-13.273806013528151,41.21325770590721,472.7335027685137
9,-2010000,120000,27.242407164436763,37.87421933621933,19.284455655445882,-292.979796505868,-241.42898869794232
10,-2010000,140000,26.622563153212155,30.878797979797984,20.323758703529975,-356.41780015664796,-162.61959578985255
11,-2010000,230000,32.5124644796005,50.51959668109667,19.43471563886075,-345.8360673256811,-287.96531137284524
12,-2000000,-190000,50.396163847967394,101.72828787878788,-4.666662780910027,656.3306571239245,673.1333310999638
13,-2000000,-180000,33.355981896172025,55.44879292929293,7.813714457124247,-137.94631759605124,-258.74954059333425
14,-2000000,-80000,41.33849892477164,63.17280050505051,17.082515532843804,-174.46315865356175,-197.66674888728636
15,-2000000,60000,53.23558715894124,70.00070707070705,36.76291813363405,-351.8229859909991,-170.9791214060009
16,-2000000,90000,35.94333614684138,48.010136363636356,28.05088729129661,-291.59076195360717,-134.35493684803345
17,-2000000,100000,32.38830977570031,40.583434343434355,24.21058034919629,-321.053412500568,-159.79581603630214
18,-2000000,110000,27.782150900892752,36.887116161616156,16.388648930021937,-410.51202499386005,-197.71411741521422
19,-2000000,120000,46.08596931335871,55.63389898989898,29.700365708093784,-367.3893168722591,-372.76153979935185
20,-2000000,130000,30.941534213041983,38.95211832611833,22.59733347069799,-288.4921020781897,-179.17209438529585
21,-2000000,140000,25.26881143489851,30.071954545454542,18.852386595712808,-282.4601090629407,-252.38364360504693
22,-2000000,240000,34.15442511912047,45.41721572871572,22.87274346022926,-345.01774359923735,-242.721171473786
23,-2000000,250000,38.704962832246586,65.11994155844158,23.564680083110797,-316.6653652991008,-291.5572122607823
24,-1990000,-190000,36.75741305165219,67.53649206349208,7.9561333304822135,-287.0894718919168,-383.69696793419513
25,-1990000,-90000,43.22720858047859,81.50095779220777,16.86201037008015,-351.7099224869744,-292.92835210485964
26,-1990000,-80000,42.58406144856889,74.29661363636365,19.759179126548,-180.34608328933956,-311.4404336989834
27,-1990000,-70000,44.60061076026757,72.73931962481963,22.965404847373915,-390.0270350096425,-524.4888429562887
28,-1990000,-30000,43.84393137729742,66.70617929292928,26.750900769721543,-388.3399167219298,-428.53690886372846
29,-1990000,20000,60.77420816283836,60.50024242424242,37.05515425911843,-382.19840392879354,-297.3436176994588
30,-1990000,30000,56.456769047677284,62.11613131313131,37.09517891516697,-292.99321305098437,-271.5250618978882
31,-1990000,70000,57.91029491572903,74.04949494949494,38.92438715282858,-437.20079340472944,-232.632160890636
32,-1990000,80000,48.932626540192864,70.93289393939389,32.30391723696961,-412.1523337338674,-374.63968144390486
33,-1990000,110000,39.63905801278955,48.939070707070705,23.46605260289918,-350.87357490418333,-399.16667991364255
34,-1990000,120000,31.480194831068207,42.055492063492046,18.022528825523214,-320.77937221900913,-187.06419000317658
35,-1990000,130000,29.297616927569255,44.177365079365075,18.055576440445677,-229.64552874195533,-207.9957720136968
36,-1990000,140000,24.63445933300644,34.57669841269841,18.184795722704962,-355.7892999398554,-338.4837433558699
37,-1990000,250000,42.277527088021394,66.69729292929297,25.09989430041721,-316.78330662076036,-290.05609821648926
38,-1990000,260000,41.07584846747508,61.10645959595962,26.006288160292666,-336.4762309306213,-289.31653543149633
39,-1980000,-90000,36.523207260105416,74.95220346320347,16.50213820444455,-316.4285805085598,-286.3960413956821
40,-1980000,-80000,47.02088658871977,94.83754292929297,22.861999259212677,-191.75688547211243,-303.8233002291774
41,-1980000,-70000,43.186312718985235,71.48410606060605,23.711346137204195,-61.910019961885894,-170.24851402079497
42,-1980000,-60000,33.66429856789983,93.15920707070707,16.275563029265506,-373.3921397357135,-284.84948809153127
43,-1980000,-50000,36.62449182207704,57.56216161616162,17.735208606741292,-219.0078294274677,-320.31355649795006
44,-1980000,-40000,35.07726210598683,49.57005303030302,18.562683262094694,-376.32862894369055,-364.0311267160212
45,-1980000,-30000,38.66524986962442,52.75068181818182,21.194327089621392,-385.36358689105595,-334.58752453203834
46,-1980000,-20000,41.77951473390687,59.41536363636363,25.580030055288322,-278.14393397948703,-329.97423577543134
47,-1980000,-10000,37.62889722224537,56.0735853174603,26.499199360329932,-414.73571062913896,-402.4952049910393
48,-1980000,10000,50.8038448801721,65.27045454545456,31.489689750054335,-343.79705032877604,-305.4206470227874
49,-1980000,20000,47.71381280186266,61.74028968253969,31.251675108146294,-202.29757640575866,-219.3356361865903
50,-1980000,30000,51.34543061870749,72.07796464646464,38.75692600306633,-231.67475620781377,-115.6559912908696
51,-1980000,40000,67.73016699676585,92.40567099567099,45.50526591077089,-301.18936731907854,-221.30369948543444
52,-1980000,70000,55.3635997373944,60.327555555555534,30.663497954012165,-437.5056855839755,-301.6025505230875
53,-1980000,80000,49.81373649673705,49.929404040404044,32.78126357879233,-448.43895427402333,-232.05911498277084
54,-1980000,110000,32.5201362881773,42.48520923520923,20.412412027895172,-284.23025906228946,-247.2634681642926
55,-1980000,120000,30.39904827287849,43.553424242424235,18.90818823429897,-247.5057739448473,-170.62681205966936
56,-1980000,130000,28.99394054224222,44.0476406926407,19.11580647292585,-213.7468838889039,-195.8213395686355
57,-1980000,260000,41.55962441902894,64.36315151515154,26.555252785076792,-369.990242888465,-247.7786986233334
58,-1980000,270000,40.531088437417864,63.0146298701299,28.863707671316014,-350.02512805735984,-286.76486113744204
59,-1970000,-100000,60.4857253636258,154.05154545454542,-24.070438809093496,-435.6452693801696,-237.72236069587518
60,-1970000,-90000,51.277648358788845,105.70185101010104,21.356725318126234,-115.16728254597345,-186.07498068639444
61,-1970000,-80000,40.51777395707585,55.16629292929293,20.71395680854282,-84.50312071771397,-146.04348346248725
62,-1970000,-70000,32.861097591199794,53.08081637806638,15.647323411177908,-318.18498315605177,-203.68498194249474
63,-1970000,-60000,34.263545727715886,52.9536471861472,14.360804820237481,-247.31065129517893,-239.2909053301167
64,-1970000,-50000,41.10297399086227,87.8669696969697,16.81353093981916,-160.6433028512673,-203.08047399186387
65,-1970000,-40000,38.824015287156065,66.08159595959597,19.09547745699569,-338.6049303729686,-280.54311423983876
66,-1970000,-30000,36.976196607205694,59.61729797979796,15.479227510297608,-316.6498445401745,-270.6976982471149
67,-1970000,-20000,38.928003252162604,65.9991616161616,24.743010262981663,-42.480882894727685,47.42279649465596
68,-1970000,-10000,40.02158873002594,71.3907196969697,23.7983823199742,-355.3697744150493,-411.4383962024408
69,-1970000,30000,60.85189956463056,64.80713311688311,36.719190371474596,-304.5189544440198,-241.154807323981
70,-1970000,40000,59.58941293901509,70.40202525252525,38.97322079597219,-385.8039141200984,-180.93824519511003
71,-1970000,70000,52.79131423491749,66.94669191919192,21.30334552805048,-397.39973668786996,-182.73600078920055
72,-1970000,80000,41.00510300365258,51.4230404040404,25.68689464801701,-371.74740013112955,-225.70624866113002
73,-1970000,90000,31.562871849891224,53.35580808080808,19.03985454279548,-121.86978500549523,123.1740228415418
74,-1970000,100000,34.803815079154674,54.24133333333333,19.851618369219544,-190.66007116167472,-224.7466826582815
75,-1970000,110000,33.19379817340505,53.733121212121205,20.134486577785495,-106.66480927330608,-143.41311750877998
76,-1970000,120000,32.40756818391656,51.0957113997114,16.56392150022485,-188.7595570467274,-265.59398897080285
77,-1970000,130000,29.863807840129873,49.74417893217894,16.195118167500745,-215.73622407479905,-247.61185870534229
78,-1970000,140000,28.93195906696584,42.500818181818175,17.608525633332917,-292.98369996010115,-199.55617923078137
79,-1970000,180000,38.825473673242286,49.17580122655123,22.34459278972409,-381.35456687426426,-307.59884578737933
80,-1970000,270000,40.88102587341309,61.04038383838386,29.272658312449675,-322.6210293959541,-310.85583388312466
81,-1960000,-190000,32.19173146097491,43.3994761904762,5.651865541175818,-329.746890704053,-387.3998379675272
82,-1960000,-120000,44.66523469173055,67.35850505050504,16.06011272696153,-251.4186735214465,-165.78075526745937
83,-1960000,-60000,44.08379935820876,110.15836904761908,19.405865650068094,-382.4288798936812,-314.2338484654081
84,-1960000,-50000,66.83137390151484,150.50294949494958,8.724112412463786,-118.70916135543108,-218.2037169563809
85,-1960000,-40000,41.70186300015474,89.16038383838381,9.749380266519005,-309.1720019350685,-318.7579603713398
86,-1960000,-30000,43.733114789207434,111.27401010101013,20.66279140709068,-341.5013033756546,-260.1633896502353
87,-1960000,-20000,48.03620354516346,72.78431565656561,28.05993196565908,-78.70458719567496,-207.45544547358242
88,-1960000,-10000,46.14929226519526,70.6921861471861,25.224717767088116,-172.2958533480028,-295.48443038726924
89,-1960000,20000,63.46403309787969,75.70503787878788,35.02587762088509,-304.3525579429569,-268.0755958092812
90,-1960000,30000,49.55048152691266,63.114494949494926,27.61707527980937,-264.59737949176383,-160.22294260522887
91,-1960000,50000,43.95193605731052,63.460589105339125,8.735465942554889,-368.8520503203957,-201.19444715978813
92,-1960000,70000,48.65168778139204,75.16307323232326,11.73646011927768,-382.804449158397,-297.0095361565194
93,-1960000,80000,46.09261021448126,68.86225974025974,22.750771791622906,-344.5117032989696,-195.1264147613971
94,-1960000,90000,36.38428162693609,57.24831313131312,17.492647841112117,-120.79953299092294,-154.9274893295556
95,-1960000,100000,36.92416239992737,49.096586580086566,22.71183269241413,-364.43544405374035,-317.4120600295895
96,-1960000,110000,41.94385912393772,37.20978138528139,19.946127382150657,-417.05931157158597,-333.8356985409014
97,-1960000,120000,29.993335327649582,53.887404040404036,16.889163299162437,-80.15255203655305,233.46012530407086
98,-1960000,130000,35.02001578308494,34.75581962481963,20.448850897429615,-390.28261586454613,-256.6125969377032
99,-1960000,140000,39.56823907862194,40.8137178932179,23.299262773715157,-397.9360422022426,-334.32407206253583
100,-1950000,-180000,31.792605237200878,46.08409235209237,7.025370709838147,-345.8531625908509,-371.8395981810179
101,-1950000,-120000,38.75858184136444,54.00001767676767,15.077241880646492,-253.89812459481405,-97.2984517875782
102,-1950000,-110000,41.682386723024216,51.90266666666668,12.743211196688566,-283.0745484158414,-148.64619325283013
103,-1950000,-70000,72.9316074072715,179.3021341991341,16.662605655137284,-370.5322368611886,-231.50640264343502
104,-1950000,-50000,72.81749783693782,152.03023232323238,3.579063680414526,-312.98791082661194,-305.8853492462582
105,-1950000,-40000,50.804265003993656,126.84847979797989,11.739835938902084,-130.44858437633332,-194.23100654115547
106,-1950000,-30000,37.39026196700547,61.417189393939395,18.118267655218524,-317.0280467894477,-331.6469896115693
107,-1950000,-20000,39.31211248102113,63.25760858585859,23.498690045944542,-175.56655788313435,-77.79295572683635
108,-1950000,-10000,34.98891665222743,63.143737373737366,21.57314569396227,-179.46964977369996,39.160459165527556
109,-1950000,0,36.60148193982119,64.67619191919192,19.953710353968773,-123.62725496597211,-34.40496891043017
110,-1950000,30000,56.237175808412694,78.49512337662335,26.12895965103492,-263.47145339941517,-249.77315184489782
111,-1950000,50000,54.317905497419495,69.84924747474749,6.865092486185613,-401.19051366856775,-189.4902264532962
112,-1950000,60000,102.28924361226589,411.91491245791235,-25.5531946524971,286.70973907867176,693.2737997472259
113,-1950000,70000,40.43610209714604,69.17329779942281,27.036396153914996,-390.6889704077869,-157.12106334443695
114,-1950000,110000,44.99465497397614,41.24219696969698,19.89908182472702,-404.7068768249489,-304.2075412005463
115,-1950000,120000,30.91227891548576,51.140545454545446,12.739704945150702,-180.51552153192597,-263.2322430185841
116,-1950000,130000,26.061596417732666,37.588166666666666,16.15037212117592,-102.3707877651301,26.56527874137068
117,-1940000,-170000,32.567657401243444,42.87216161616163,4.32456403529728,-310.36236723730667,-358.4963131648616
118,-1940000,-160000,34.21781038604303,41.79829437229438,5.92147172864294,-296.19155933335185,-390.7912391299689
119,-1940000,-120000,31.266620494891807,46.74403030303031,12.080303136986824,-277.63261310299936,-163.84921129881263
120,-1940000,-110000,35.584300850762,56.91998989898988,14.404281408183495,-255.1859918105218,-131.14309711654568
121,-1940000,-100000,30.49094074795901,50.53171717171716,15.99543893144576,-160.2029469084324,-48.48394428299361
