Ser,keido,ido,Region (hydrogeologic-geologic),Prefectures,Prefecture_EN,Municipality,Municipality_EN,Place_Name,Onsen_Name,Kosen_Name,Place_Name_EN,Place_Simple_Name_EN,Well_Name,Well_Name_EN,Well_Depth,Simplified_rock_category,Rock_age_EN,Litho_EN,Geol_unit_code,Temp_avail,Disch_avail,Temp,Discharge,Flow_type,Flow_type_EN,Source_type,P (pumped),F (artesian),S (spring - natural),X (unknown source),Water quality sample date,pH,RpH,比重,TSM,H,Li,Na,K,NH4,Ca,Mg,TFe,Fe2+,Fe3+,Mn,Al,F,Cl,HS,SO4,HSO4,S2O3,HCO3,CO3,Br,I,OH,NO3,PO4,HPO4,H2PO4,H3PO4,AsO2,BO2,B,HSiO3,SiO3,SiO2,HAsO2,H2SiO3,HBO2,CO2,H2S,Sr,Ba,Cu,Hg,Pb,Zn,Cd,Cr,As,Ni,Rb,Cs,S,unit,Rn,Rn_unit,Spring_quality,Source,GeolMap,Map_No,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,h,x,y
4928,136.2017922,35.97149917,Sannin reg to HIda Mts,福井県,Fukui,鯖江市,,(鯖江市),,,,,,,,Quat sediments,Late Pleistocene to Holocene,levee deposits,Hlv,1,1,16.0,90.0,,,well,,,,,1964.2.26,,,1.0003,1561.25,,,360.51,119.32,,71,8.21,,,4.55,,,,78.01,,11.79,,,1655.27,,,,,,,,,,,,,,,,,69.68,,1169.27,,,,,,,,,,,,,,,mg/kg,4.46,10^(-10)cu/kg,含炭酸土類泉,R:10-12,10金沢,20,,,,,,,,,,,,,12.2,-1306531.25,238471.2912
4952,137.5897333,35.9293165,Sannin reg to HIda Mts,長野県,Nagano,木曾郡開田村,,柳又鉱泉,,柳又,,,,,,Quat sediments,Late Pleistocene,lower terrace,Q3tl,1,0,22.5,,,,well,,,,,1975.7.28,5.4,,,405.0,,,108.0,11.4,,12,6.9,21.5,,,,5,0.7,41.5,,1.5,,,336,,,,,,,,,,,,,,,59.1,,,,,,,,,,,,,,,,,,,mg/l,,,,R:10-09,10金沢,1,,,,,,,,,,,,,1069.9,-1177567.614,208074.1981
4953,137.5867098,35.90458983,Sannin reg to HIda Mts,長野県,Nagano,木曾郡三岳村,,木曾温泉,木曾,,,,,,,Quat sediments,Late Pleistocene,lower terrace,Q3tl,1,0,19.0,,,,well,,,,,1975.7.28,5.65,,,819.0,,,158.0,21,,59,39.9,14.1,,,3.6,3.5,0.9,91.5,,91.3,,,587,,,,,,,,,,,,,,,107.9,,,,,,,,,,,,,,,,,,,mg/l,,,,R:10-09,10金沢,5,,,,,,,,,,,,,1044.4,-1178334.976,205579.5765
4977,137.6248698,36.24665933,Sannin reg to HIda Mts,長野県,Nagano,南安曇郡安曇村,,上高地温泉,上高地,,,,温泉ホテル,,1.5,Quat sediments,Late Pleistocene,lower terrace,Q3tl,1,1,43.4,60.0,P,Power (pumped),well,P,,,,1950.9.28,7.2,,,349.8,,,55.5,3.7,,12.1,0.3,,,,,,,28.3,,63.6,,,59.8,,,,,,,,,,,,,,,48.851000000000006,,63.5,1,6.8,,,,,,,,,,,,,,,mg/kg,,,,R:10-21,10金沢,YKC-41,,,,,,,,,,,,,1500,-1168077.39,240183.4355
5002,137.8380193,36.35097783,Sannin reg to HIda Mts,長野県,Nagano,南安曇郡穂高町,,中房温泉,中房,,,,穂高温泉開発公社,,,Quat sediments,Late Pleistocene,middle terrace,Q3tm,1,0,66.8,,,,well,,,,,1976.10.13,8.6,8.64,1.0003,555.0,,,100.0,10.24,,1.78,0.029,,,,,,1.61,60,,45.99,,,85.42,,,,,,,,,,,,,19.33,,,0.127,224.5,,,,,,,,,,,,,,,,,mg/kg,,,単純泉,R:10-19,10金沢,864,,,,,,,,,,,,,604.7,-1146183.943,247228.5685
5003,137.8382422,36.35122083,Sannin reg to HIda Mts,長野県,Nagano,南安曇郡穂高町,,中房温泉,中房,,,,穂高温泉開発公社,,,Quat sediments,Late Pleistocene,middle terrace,Q3tm,1,0,58.8,,,,well,,,,,1979.10.1,8.5,8.38,1.0003,463.0,,,96.0,9.09,,3.08,0.048,,,,,,2.93,67.81,,31,,,57.35,21.6,,,,,,,,,,,,,,,,192.4,3.2,,,,,,,,,,,,,,,,mg/kg,,,単純泉,R:10-19,10金沢,867,,,,,,,,,,,,,604,-1146158.505,247249.8148
5004,137.8383717,36.3510595,Sannin reg to HIda Mts,長野県,Nagano,南安曇郡穂高町,,中房温泉,中房,,,,穂高温泉開発公社,,,Quat sediments,Late Pleistocene,middle terrace,Q3tm,1,0,66.5,,,,well,,,,,1979.10.1,8.6,8.36,1.0003,458.0,,,96.0,9.26,,3.26,0.049,,,,,,2.96,62.7,,34.8,,,57.35,21.6,,,,,,,,,,,,,,,,191.4,3.2,,,,,,,,,,,,,,,,mg/kg,,,単純泉,R:10-19,10金沢,868,,,,,,,,,,,,,603.7,-1146149.537,247230.9019
5005,137.8298852,36.37229367,Sannin reg to HIda Mts,長野県,Nagano,南安曇郡穂高町,,中房温泉,中房,,,,穂高町,,,Quat sediments,Late Pleistocene,middle terrace,Q3tm,1,0,83.9,,,,well,,,,,1976.10.13,8.8,8.77,1.0003,561.0,,,102.0,9.51,,0.667,0.029,,,,,,1.64,77.5,4.297,20.02,,,95.18,,,,,,,,,,,,,26.01,,,0.147,224.3,,,0.22,,,,,,,,,,,,,,mg/kg,,,単純硫黄泉,R:10-19,10金沢,863,,,,,,,,,,,,,660.2,-1146532.078,249572.0355
5043,137.819792,36.31486083,Sannin reg to HIda Mts,長野県,Nagano,南安曇郡穂高町,,(穂高町),,,,,穂高温泉開発公社,,,Quat sediments,Late Pleistocene,middle terrace,Q3tm,1,0,16.7,,,,well,,,,,1980.5.30,6.3,6.18,1.0001,66.0,,,3.85,0.24,,1,1.46,,1.31,,,,,7.8,,,,,18.3,,,,,,,,,,,,,,,,,29.0,,3.5,,,,,,,,,,,,,,,mg/kg,66.68,10^(-10)cu/kg,単純弱放射能冷鉱泉,R:10-19,10金沢,871,,,,,,,,,,,,,866.4,-1148577.121,243813.2728
5076,137.2451857,36.30772817,Sannin reg to HIda Mts,岐阜県,Gifu,飛騨市,,流葉温泉,流葉,,,,,,,Quat sediments,Late Pleistocene,lower terrace,Q3tl,1,1,13.0,2.2,F,Artesian,well,,F,,,1967.10.22,6.2,,0.9982,75.14,0.001,,2.505,0.476,0.49,4.576,3.376,,18.03,,1.743,0.04,,1.45,,1.002,,,78.35,,,,,,,,,,,,,,,,0.014,11.72,,118.7,242.4,,,,,,,,,,,,,,mg/kg,,,,R:10-08,10金沢,253,,,,,,,,,,,,,739.7,-1202247.754,253285.7696
