Ser,keido,ido,Region (hydrogeologic-geologic),Prefectures,Prefecture_EN,Municipality,Municipality_EN,Place_Name,Onsen_Name,Kosen_Name,Place_Name_EN,Place_Simple_Name_EN,Well_Name,Well_Name_EN,Well_Depth,Simplified_rock_category,Rock_age_EN,Litho_EN,Geol_unit_code,Temp_avail,Disch_avail,Temp,Discharge,Flow_type,Flow_type_EN,Source_type,P (pumped),F (artesian),S (spring - natural),X (unknown source),Water quality sample date,pH,RpH,比重,TSM,H,Li,Na,K,NH4,Ca,Mg,TFe,Fe2+,Fe3+,Mn,Al,F,Cl,HS,SO4,HSO4,S2O3,HCO3,CO3,Br,I,OH,NO3,PO4,HPO4,H2PO4,H3PO4,AsO2,BO2,B,HSiO3,SiO3,SiO2,HAsO2,H2SiO3,HBO2,CO2,H2S,Sr,Ba,Cu,Hg,Pb,Zn,Cd,Cr,As,Ni,Rb,Cs,S,unit,Rn,Rn_unit,Spring_quality,Source,GeolMap,Map_No,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,h,x,y
1241,140.6328262,41.15024733,Aomori coasts and basins,青森県,Aomori,東津軽郡平館村,,平館不老不死,,,,,不老不死,,,sediments,Late Pleistocene to Holocene,marine and non-marine sediments,Hsr,1,0,40.0,,S,Spring (natural seepage),spring,,,S,,,8.6,,,,,,260.0,2.9,,128,0.1,,,,,,,48.2,,766,,,24.4,,,,,,,,,,,,,,,30.5,,,,,,,,,,,,,,,,,,,mg/kg,,,アルカリ性,R:0,05青森,AOM170,,,,,,,,,,,,,19.3,-812967.6085,708421.4523
1274,140.6158475,40.66047333,Aomori coasts and basins,青森県,Aomori,黒石市,,上十川,,,Kamitogawa,Kamitogawa,第2岩木,,,sediments,Late Pleistocene,marine and non-marine sediments,Q3sr,1,1,26.4,167.0,S,Spring (natural seepage),spring,,,S,,,8.4,,,,,,25.9,0.8,,6.6,2.7,,,,,,,12,,11,,,68.3,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,mg/l,,,単純,R:31,05青森,AOM203,,,,,,,,,,,,,39.4,-821837.1884,656768.3495
1456,141.2336752,40.237996,Aomori coasts and basins,岩手県,Iwate,二戸市,,似鳥,,,,,羊見の湯,,,sediments,Late Pleistocene to Holocene,marine and non-marine sediments,Hsr,1,1,13.6,3.4,S,Spring (natural seepage),spring,,,S,,,6.3,,,,,,1690.0,64.9,,79.3,56.2,,,,,,,1520,,373,,,1920,,,,,,,,,,,,,,,8.2,,,,,,,,,,,,,,,,,,,mg/kg,,,,R:0,05青森,AOM507,,,,,,,,,,,,,140.3,-774018.3226,604625.0
1464,141.3522158,40.21771017,Aomori coasts and basins,岩手県,Iwate,二戸郡一戸町,,浪打,,,,,弁天の湯,,,sediments,Early Miocene to Middle Miocene,marine and non-marine sediments,N1sr,1,1,13.0,7.7,S,Spring (natural seepage),spring,,,S,,,8.3,,,,,,72.8,6.1,,8.6,0.3,,,,,,,16.6,,14.5,,,218,,,,,,,,,,,,,,,16.6,,,,,,,,,,,,,,,,,,,mg/kg,,,単純,R:0,05青森,AOM515,,,,,,,,,,,,,254.0,-763894.0484,601101.4339
1465,141.233212,40.1763495,Aomori coasts and basins,岩手県,Iwate,二戸郡一戸町,,宮田,,,Miyata,Miyata,1号泉,,,sediments,Late Pleistocene to Holocene,marine and non-marine sediments,Hsr,1,0,38.2,,S,Spring (natural seepage),spring,,,S,,,7.1,,,,,,72.8,6.1,,8.6,0.3,,,,,,,724,,,,,1810,,,,,,,,,,,,,,,51.7,,,,,,,,,,,,,,,,,,,mg/l,,,,R:138,05青森,AOM516,,,,,,,,,,,,,267.9,-774927.9806,598110.8528
1077,141.0465957,41.38614717,Aomori coasts and basins,青森県,Aomori,下北郡大間町,,奥薬研,,,,,鶯鳴荘,,,volcanic,Middle to Late Miocene,non-alkaline felsic volcanic rocks,N2vf,1,1,65.5,43.2,S,Spring (natural seepage),spring,,,S,,,8.2,,,,,,90.0,5,,107,,,,,,,,99,,313,,,25,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,,,,mg/l,,,単純,R:112,05青森,AOM006,,,,,,,,,,,,,69.0,-773872.8188,728483.0712
2139,140.1504907,38.4245505,basins S of Japan,山形県,Yamagata,西村山郡西川町,,海味,,,Kaishyu,Kaishyu,西川町1号,,,Quat sediments,Late Pleistocene,lower terrace,Q3tl,1,1,15.0,10.0,S,Spring (natural seepage),spring,,,S,,,8.9,,,,,,1114.0,16,,14.5,3.3,,,,,,,1525,,328.2,,,255.5,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,mg/kg,,,,R:0,06秋田,AKI568,,,,,,,,,,,,,194.8,-897593.4098,427361.492
2740,139.2917743,37.80019967,basins S of Japan,新潟県,N?gata,北蒲原郡笹神村,,村杉,,,Murasugi,Murasugi,薬師の湯,,,Quat sediments,Late Pleistocene to Holocene,fan deposits,Hfn,1,1,26.0,92.0,S,Spring (natural seepage),spring,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,含Rn,R:0,07新潟,NII667,,,,,,,,,,,,,75.1,-985841.5617,374294.7829
2826,138.8914625,37.13115717,basins S of Japan,新潟県,N?gata,南魚沼郡六日町,,河原沢鉱泉,,河原沢,,,河原沢,,,Quat sediments,Late Pleistocene to Holocene,fan deposits,Hfn,1,1,11.0,6.0,S,Spring (natural seepage),spring,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,含S,R:0,07新潟,NII753,,,,,,,,,,,,,253.5,-1034159.2609999999,310730.3429
2871,138.620983,37.189129,basins S of Japan,新潟県,N?gata,刈羽郡高柳町,,天王山鉱泉,,天王山,,,天王山,,,Quat sediments,Late Pleistocene,lower terrace,Q3tl,1,1,12.8,2.7,S,Spring (natural seepage),spring,,,S,,,8.6,,,,,,172.0,14.2,,4.6,2,,,,,,,21.3,,33,,,91.6,,,,,,,,,,,,,,,44.8,,,,,,,,,,,,,,,,,,,mg/kg,,,アルカリ性単純,R:48,07新潟,NII798,,,,,,,,,,,,,125.8,-1058047.817,321031.8636
2882,138.2275115,37.096807,basins S of Japan,新潟県,N?gata,上越市,,向橋鉱泉,,向橋,,,向橋鉱泉,,,Quat sediments,Late Pleistocene,middle terrace,Q3tm,1,1,14.6,2.0,S,Spring (natural seepage),spring,,,S,,,7.5,,,,,,61.8,2.8,,14.3,2.3,,,,,,,23.1,,24.7,,,148.8,,,,,,,,,,,,,,,33.3,,,,,,,,,,,,,,,,,,,mg/kg,,,単純含S,R:0,07新潟,NII809,,,,,,,,,,,,,27.0,-1095976.3020000001,317851.6622
1884,140.3834157,39.2870055,basins S of Japan,秋田県,Akita,平鹿郡雄物川町,,金峰,,,,,金峰1,,,sediments,Middle to Late Miocene,marine and non-marine sediments,N2sn,1,1,10.2,0.0,S,Spring (natural seepage),spring,,,S,,,4.7,,,,,,31.0,7.9,,55,64,,,,,,,17.8,,809.4,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,mg/kg,,,含Fe,R:0,06秋田,AKI240,,,,,,,,,,,,,69.8,-863257.7958,514823.7638
2082,140.34598,38.97091733,basins S of Japan,山形県,Yamagata,最上郡真室川町,,及位,,,,,高橋源泉,,,sediments,Middle to Late Miocene,marine and non-marine sediments,N2sn,1,0,4.8,,S,Spring (natural seepage),spring,,,S,,,5.8,,,,,,8.1,0.9,,4.6,3.8,,,,,,,20.6,,4,,,20.1,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,mg/kg,,,単純,R:0,06秋田,AKI511,,,,,,,,,,,,,219.9,-871478.3253,482081.7693
2084,140.2814237,38.86749617,basins S of Japan,山形県,Yamagata,最上郡真室川町,,真室川,,,,,,,,sediments,Early Pleistocene,marine and non-marine sediments,Q1sr,1,0,42.5,,S,Spring (natural seepage),spring,,,S,,,8.2,,,,,,2813.0,28,,221.4,9.7,,,,,,,5206,,2.5,,,54.9,,,,,,,,,,,,,,,48.5,,,,,,,,,,,,,,,,,,,mg/l,,,含I,R:43,06秋田,AKI513,,,,,,,,,,,,,121.6,-878871.3254,472072.2151
2085,140.2034928,38.89089067,basins S of Japan,山形県,Yamagata,最上郡真室川町,,谷地,,,Yachi,Yachi,,,,sediments,Late Miocene to Pliocene,marine and non-marine sediments,N3sn,1,1,24.0,100.0,S,Spring (natural seepage),spring,,,S,,,7.4,,,,,,6208.0,20.1,,183.8,10.4,,,,,,,9643,,0.4,,,445,,,,,,,,,,,,,,,10.8,,,,,,,,,,,,,,,,,,,mg/l,,,,R:43,06秋田,AKI514,,,,,,,,,,,,,87.0,-885500.9924,475567.99100000004
2096,140.1387147,38.70292217,basins S of Japan,山形県,Yamagata,最上郡戸沢村,,戸沢・野口,,,,,鹿の沢鉱泉,,,sediments,Middle to Late Miocene,marine and non-marine sediments,N2sn,1,0,12.2,,S,Spring (natural seepage),spring,,,S,,,6.7,,,,,,49.7,0.4,,2.5,0.8,,,,,,,21.5,,6.6,,,100.1,,,,,,,,,,,,,,,13.1,,,,,,,,,,,,,,,,,,,mg/l,,,単純含S,R:43,06秋田,AKI525,,,,,,,,,,,,,71.7,-894275.3813,456710.3888
2100,140.1952512,38.71437017,basins S of Japan,山形県,Yamagata,新庄市,,極楽沢,,,,,,,,sediments,Middle to Late Miocene,marine and non-marine sediments,N2sn,1,1,27.7,39.0,S,Spring (natural seepage),spring,,,S,,,7.8,,,,,,3230.0,19.4,,19.2,3.2,,,,,,,3523,,0.4,,,2608,,,,,,,,,,,,,,,16.2,,,,,,,,,,,,,,,,,,,mg/l,,,含S,R:43,06秋田,AKI529,,,,,,,,,,,,,84.0,-889006.7066,457149.584
2115,140.4631185,38.54834033,basins S of Japan,山形県,Yamagata,尾花沢市,,細野,,,Hosono,Hosono,,,,sediments,Middle to Late Miocene,marine and non-marine sediments,N2sn,1,1,12.6,1.5,S,Spring (natural seepage),spring,,,S,,,8.2,,,,,,27.0,0.3,,21.9,1.4,,,,,,,9.1,,14.4,,,102,,,,,,,,,,,,,,,20.1,,,,,,,,,,,,,,,,,,,mg/l,,,単純含S,R:129,06秋田,AKI544,,,,,,,,,,,,,210.9,-867419.3195,436172.5202
2116,140.3290175,38.6269545,basins S of Japan,山形県,Yamagata,北村山郡大石田町,,大浦,,,Oura,Oura,柳橋源泉,,,sediments,Late Pleistocene to Holocene,marine and non-marine sediments,Hsr,1,0,16.0,,S,Spring (natural seepage),spring,,,S,,,8.0,,,,,,144.6,4.8,,1.1,1,,,,,,,22,,,,,365.8,,,,,,,,,,,,,,,42.8,,,,,,,,,,,,,,,,,,,mg/kg,,,単純,R:0,06秋田,AKI545,,,,,,,,,,,,,63.3,-878315.7253,446190.4859
2200,139.9816782,38.87912983,basins S of Japan,山形県,Yamagata,飽海郡平田町,,平田,,,Hirata,Hirata,,,,sediments,Late Pleistocene to Holocene,marine and non-marine sediments,Hsr,1,1,12.7,20.0,S,Spring (natural seepage),spring,,,S,,,7.9,,,,,,66.2,9.8,,3.7,1.7,,,,,,,10.6,,44.8,,,134.2,,,,,,,,,,,,,,,48.1,,,,,,,,,,,,,,,,,,,mg/kg,,,単純含S,R:0,06秋田,AKI629,,,,,,,,,,,,,25.4,-905587.2749,477335.9073
2204,139.9705178,38.86508233,basins S of Japan,山形県,Yamagata,飽海郡松山町,,辰ケ湯,,,,,,,,sediments,Middle to Late Miocene,marine and non-marine sediments,N2sn,1,1,12.0,3.0,S,Spring (natural seepage),spring,,,S,,,7.0,,,,,,377.7,15.4,,18.8,3.4,,,,,,,528.4,,32.5,,,151.1,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,mg/kg,,,含S,R:0,06秋田,AKI633,,,,,,,,,,,,,108.2,-906813.566,476014.5983
2206,140.030415,38.79723717,basins S of Japan,山形県,Yamagata,飽海郡松山町,,観音湯・清川,,,,,,,,sediments,Middle to Late Miocene,marine and non-marine sediments,N2sn,1,0,12.5,,S,Spring (natural seepage),spring,,,S,,,7.7,,,,,,43.9,0.7,,44.4,2.2,,,,,,,14.9,,78.2,,,150.3,,,,,,,,,,,,,,,13.6,,,,,,,,,,,,,,,,,,,mg/kg,,,単純含S,R:0,06秋田,AKI635,,,,,,,,,,,,,163.2,-902520.199,468076.4623
2213,140.0216402,38.768305,basins S of Japan,山形県,Yamagata,東田川郡立川町,,肝煎立谷沢,,,,,斉藤源泉,,,sediments,Middle to Late Miocene,marine and non-marine sediments,N2sn,1,1,12.6,36.0,S,Spring (natural seepage),spring,,,S,,,9.1,,,,,,91.6,14,,6.7,3,,,,,,,16,,25.9,,,194.2,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,mg/kg,,,アルカリ性単純,R:0,06秋田,AKI642,,,,,,,,,,,,,56.1,-903769.8519,465160.7365
2214,140.0120797,38.71313783,basins S of Japan,山形県,Yamagata,東田川郡立川町,,木の沢,,,Konosawa,Konosawa,局跡第1号,,,sediments,Late Pleistocene to Holocene,marine and non-marine sediments,Hsr,1,0,10.3,,S,Spring (natural seepage),spring,,,S,,,6.3,,,,,,34.5,1.4,,0.6,0.2,,,,,,,14.2,,46.5,,,19,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,mg/kg,,,単純,R:0,06秋田,AKI643,,,,,,,,,,,,,118.4,-905509.5232,459504.4834
2262,139.3866707,38.01729083,basins S of Japan,新潟県,N?gata,北蒲原郡加治川村,,貝屋,,,Kaiya,Kaiya,大師の湯,,,sediments,Early Miocene to Middle Miocene,marine and non-marine sediments,N1sr,1,1,15.3,5.0,S,Spring (natural seepage),spring,,,S,,,7.6,,,,,,60.1,4.2,,33.3,19.3,,,,,,,69.1,,145.3,,,97.5,,,,,,,,,,,,,,,36.3,,,,,,,,,,,,,,,,,,,mg/kg,,,単純含S,R:0,06秋田,AKI711,,,,,,,,,,,,,30.8,-973513.0206,395551.7786
2764,139.1519628,37.6604415,basins S of Japan,新潟県,N?gata,中蒲原郡村松町,,高砂鉱泉,,高砂,,,高砂鉱泉,,,sediments,Late Pleistocene to Holocene,marine and non-marine sediments,Hsr,1,1,14.6,1.0,S,Spring (natural seepage),spring,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R:47,07新潟,NII691,,,,,,,,,,,,,56.7,-1001009.392,361819.2901
2765,139.134761,37.65182183,basins S of Japan,新潟県,N?gata,中蒲原郡村松町,,金割鉱泉,,金割,,,金割鉱泉,,,sediments,Late Pleistocene to Holocene,marine and non-marine sediments,Hsr,1,1,17.7,11.0,S,Spring (natural seepage),spring,,,S,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,アルカリ性単純,R:47,07新潟,NII692,,,,,,,,,,,,,60.0,-1002731.306,361181.3106
2768,139.0079028,37.59374317,basins S of Japan,新潟県,N?gata,南蒲原郡下田村,,福岡鉱泉,,福岡,,,砥沢の湯,,,sediments,Late Pleistocene to Holocene,marine and non-marine sediments,Hsr,1,1,15.0,2.5,S,Spring (natural seepage),spring,,,S,,,,,,,,,859.5,37.5,,39.9,14.9,,,,,,,1097.2,,12.8,,,605.4,,,,,,,,,,,,,,,56.2,,,,,,,,,,,,,,,,,,,mg/kg,,,,R:116,07新潟,NII695,,,,,,,,,,,,,21.1,-1015346.196,357064.1747
2769,139.0940792,37.571759,basins S of Japan,新潟県,N?gata,南蒲原郡下田村,,中浦鉱泉,,中浦,,,中浦温泉,,,sediments,Late Pleistocene to Holocene,marine and non-marine sediments,Hsr,1,1,13.0,10.0,S,Spring (natural seepage),spring,,,S,,,5.7,,,,,,8.9,3.7,,8.4,6.2,,,,,,,7.2,,60,,,26.6,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,mg/kg,,,単純含S,R:116,07新潟,NII696,,,,,,,,,,,,,79.6,-1007839.5959999999,353456.2017
2771,138.9489192,37.56978667,basins S of Japan,新潟県,N?gata,南蒲原郡栄町,,矢田鉱泉,,矢田,,,栄町老人憩の家「しらさぎ荘」,,,sediments,Late Miocene to Pliocene,marine and non-marine sediments,N3sn,1,1,10.0,16.0,S,Spring (natural seepage),spring,,,S,,,,,,,,,44.2,15.7,,7.8,5.6,,,,,,,17,,32.4,,,52.6,,,,,,,,,,,,,,,83.5,,,,,,,,,,,,,,,,,,,mg/kg,,,単純,R:47,07新潟,NII698,,,,,,,,,,,,,46.8,-1021164.6159999999,355476.6614
2785,138.6661228,37.46171417,basins S of Japan,新潟県,N?gata,刈羽郡西山町,,まつかぜ鉱泉,,まつかぜ,,,松風荘,,,sediments,Late Pleistocene to Holocene,marine and non-marine sediments,Hsr,1,1,14.8,1.0,S,Spring (natural seepage),spring,,,S,,,7.5,,,,,,251.5,15.5,,23.4,3.3,,,,,,,241.1,,17.6,,,371.5,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,mg/kg,,,単純含S,R:0,07新潟,NII712,,,,,,,,,,,,,23.0,-1048988.697,348652.035
2786,138.73344,37.44432583,basins S of Japan,新潟県,N?gata,長岡市,,宮本鉱泉,,宮本,,,五軒の湯,,,sediments,Early Pleistocene,marine and non-marine sediments,Q1sr,1,1,11.0,14.0,S,Spring (natural seepage),spring,,,S,,,7.5,,,,,,20.1,2.7,,41.5,5.5,,,,,,,14.7,,43.8,,,131.6,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,mg/kg,,,単純,R:0,07新潟,NII713,,,,,,,,,,,,,43.7,-1043129.8829999999,345778.72
2787,138.6920407,37.44394983,basins S of Japan,新潟県,N?gata,刈羽郡西山町,,地蔵鉱泉,,地蔵,,,地蔵温泉,,,sediments,Middle Miocene to Pliocene,marine sedimentary rocks,N2-3sm,1,1,14.5,3.0,S,Spring (natural seepage),spring,,,S,,,8.0,,,,,,40.0,2.5,,19.1,3.7,,,,,,,16.3,,31.6,,,121.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mg/kg,,,単純含S,R:0,07新潟,NII714,,,,,,,,,,,,,143.7,-1046932.316,346393.5324
2788,138.6639767,37.43344517,basins S of Japan,新潟県,N?gata,刈羽郡西山町,,妙法寺鉱泉,,妙法寺,,,妙法寺,,,sediments,Middle Miocene to Pliocene,marine sedimentary rocks,N2-3sm,1,1,13.6,3.0,S,Spring (natural seepage),spring,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,単純含S,R:47,07新潟,NII715,,,,,,,,,,,,,39.8,-1049694.2140000002,345745.5137
2789,138.7005153,37.43444917,basins S of Japan,新潟県,N?gata,刈羽郡刈羽村,,湯之谷鉱泉,,湯之谷,,,湯之谷鉱泉,,,sediments,Early Pleistocene,marine and non-marine sediments,Q1sr,1,1,13.0,2.3,S,Spring (natural seepage),spring,,,S,,,6.4,,,,,,23.7,2.7,,26.4,3.7,,,,,,,4.3,,61.7,,,74.5,,,,,,,,,,,,,,,67.9,,,,,,,,,,,,,,,,,,,mg/l,,,単純含S,R:116,07新潟,NII716,,,,,,,,,,,,,104.9,-1046325.811,345271.1536
2801,138.9028082,37.44914183,basins S of Japan,新潟県,N?gata,長岡市,,沢根鉱泉,,沢根,,,沢根源泉,,,sediments,Early Pleistocene,marine and non-marine sediments,Q1sr,1,1,14.5,1.0,S,Spring (natural seepage),spring,,,S,,,8.2,,,,,,44.6,10.6,,35.1,9.7,,,,,,,108.2,,<5,,,128.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mg/kg,,,単純,R:0,07新潟,NII728,,,,,,,,,,,,,40.3,-1027512.297,343629.4586
2869,138.5711983,37.188509,basins S of Japan,新潟県,N?gata,刈羽郡高柳町,,石黒鉱泉,,石黒,,,石黒,,,sediments,Middle Miocene to Pliocene,marine sedimentary rocks,N2-3sm,1,1,13.0,1.0,S,Spring (natural seepage),spring,,,S,,,7.5,,,,,,340.0,<0.1,,20,0.3,,,,,,,409,,44.2,,,221,,,,,,,,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,mg/kg,,,,R:116,07新潟,NII796,,,,,,,,,,,,,203.2,-1062642.118,321765.3545
2880,138.196062,37.1697835,basins S of Japan,新潟県,N?gata,上越市,,虫生鉱泉,,虫生,,,虫生鉱泉,,,sediments,Middle to Late Miocene,marine and non-marine sediments,N2sn,1,1,15.0,1.0,S,Spring (natural seepage),spring,,,S,,,7.8,,,,,,197.7,11.8,,23.6,8.1,,,,,,,205.6,,78.2,,,201.2,,,,,,,,,,,,,,,46.3,,,,,,,,,,,,,,,,,,,mg/kg,,,単純含S(H2S),R:0,07新潟,NII807,,,,,,,,,,,,,10.6,-1097507.563,325945.3003
2120,140.4140388,38.548302,basins S of Japan,山形県,Yamagata,村山市,,湯舟沢,,,Yufunezawa,Yufunezawa,,,,volcanic,Middle to Late Miocene,non-alkaline felsic volcanic rocks,N2vf,1,1,19.5,7.1,S,Spring (natural seepage),spring,,,S,,,9.9,,,,,,75.0,0.3,,1,0.1,,,,,,,42.8,,1.7,,,101,,,,,,,,,,,,,,,21.4,,,,,,,,,,,,,,,,,,,mg/l,,,アルカリ性単純,R:129,06秋田,AKI549,,,,,,,,,,,,,130.8,-871852.709,436813.6289
2191,139.8730327,39.0851455,basins S of Japan,山形県,Yamagata,飽海郡遊佐町,,湯野田,,,Yunoda,Yunoda,酒田屋,,,volcanic,Late Pleistocene,non-alkaline mafic volcanic rocks,Q3vb,1,1,28.6,23.0,S,Spring (natural seepage),spring,,,S,,,6.4,,,,,,1350.0,139,,121.6,55,,,,,,,2042,,2.1,,,957.4,,,,,,,,,,,,,,,96.2,,,,,,,,,,,,,,,,,,,mg/kg,,,含CO2,R:0,06秋田,AKI620,,,,,,,,,,,,,6.1,-911995.6631,500454.7267
2197,140.0405572,38.92164433,basins S of Japan,山形県,Yamagata,飽海郡平田町,,十二滝,,,,,,,,volcanic,Middle to Late Miocene,non-alkaline felsic volcanic rocks,N2vf,1,0,18.7,,S,Spring (natural seepage),spring,,,S,,,9.4,,,,,,102.1,7.6,,15.7,1.7,,,,,,,74.3,,11.8,,,179.1,,,,,,,,,,,,,,,72.7,,,,,,,,,,,,,,,,,,,mg/kg,,,アルカリ性単純,R:0,06秋田,AKI626,,,,,,,,,,,,,102.2,-899628.4794,480995.0357
2777,138.7873378,37.69947133,basins S of Japan,新潟県,N?gata,三島郡寺泊町,,弘智鉱泉,,弘智,,,弘智温泉,,,,Late Pleistocene to Holocene,sand dune deposits,Hsd,1,1,12.0,46.0,S,Spring (natural seepage),spring,,,S,,,7.3,,,,,,61.2,3.5,,52.1,28.4,,,,,,,85.1,,87.7,,,213.2,,,,,,,,,,,,,,,18.3,,,,,,,,,,,,,,,,,,,mg/kg,,,単純,R:0,07新潟,NII704,,,,,,,,,,,,,11.9,-1033642.3459999999,371492.9885
106,142.8938363,43.53303633,central Hokkaido volc,北海道,Hokkaido,上川郡新得町,Shintoku-ch?,地獄谷,,,Jigokudani,Jigokudani,地獄谷5,,0.0,accretionary complex,late Late Cretaceous to Early Oligocene,sandy turbidite of accretionary complex,K22-PG3at,1,1,84.5,24.5,自然,Spring (natural seepage),spring,,,S,,1975.9,1.95,,,3536.0,,,20.1,0.2,,68.6,9.9,32.32,,,2.5,11.54,0.04,17.2,,2798.6,,,,,,,,,,,,,,,,,,96.8,,,353.4,,,,,0.088,,,1.501,,,0.013,,,,,mg/l,,,,R:01-09,01網走,4.A.7,,,,,,,,,,,,,1075.0,-590152.8476,938648.5295
107,142.8938382,43.53297783,central Hokkaido volc,北海道,Hokkaido,上川郡新得町,Shintoku-ch?,地獄谷,,,Jigokudani,Jigokudani,地獄谷4,,0.0,accretionary complex,late Late Cretaceous to Early Oligocene,sandy turbidite of accretionary complex,K22-PG3at,1,1,74.6,7.9,自然,Spring (natural seepage),spring,,,S,,1975.9,1.92,,,926.0,,,20.4,2.2,,35,5.6,14.83,,,0.96,9.69,0.27,21.3,,558,,,,,,,,,,,,,,,,,,106.7,,,48.6,,,,,0.017,,,0.232,,,0.014,,,,,mg/l,,,,R:01-09,01網走,4.A.6,,,,,,,,,,,,,1076.0,-590153.3673,938642.2349
108,142.893812,43.5330365,central Hokkaido volc,北海道,Hokkaido,上川郡新得町,Shintoku-ch?,地獄谷,,,Jigokudani,Jigokudani,地獄谷3,,0.0,accretionary complex,late Late Cretaceous to Early Oligocene,sandy turbidite of accretionary complex,K22-PG3at,1,1,93.8,3.6,自然,Spring (natural seepage),spring,,,S,,1975.9,2.1,,,4414.0,,,68.1,18.2,,113.6,28.7,38.24,,,5.07,240.53,0.02,31.9,,3596.9,,,,,,,,,,,,,,,,,,23.6,,,134,,,,,0.166,,,0.384,,,0.014,,,,,mg/l,,,,R:01-09,01網走,4.A.5,,,,,,,,,,,,,1075.0,-590154.856,938648.7645
109,142.893837,43.53299317,central Hokkaido volc,北海道,Hokkaido,上川郡新得町,Shintoku-ch?,地獄谷,,,Jigokudani,Jigokudani,地獄谷-22,,,accretionary complex,late Late Cretaceous to Early Oligocene,sandy turbidite of accretionary complex,K22-PG3at,1,1,79.8,20.0,自然,Spring (natural seepage),spring,,,S,,1987.9.10,8.0,8.6,,517.0,,0.03,49.19,11.31,4.1,42.62,2.21,,0.61,,0.3,0.11,0.09,2.3,,49.6,,,189,,,,,,,,,,,,2.2,,,134.0,,,,21.1,,,,,TR,0.01,,0.03,,,,0.13,,,mg/l,,,,R:01-03,01網走,H-16,,,,,,,,,,,,,1076.0,-590153.2891,938643.8918
110,142.893939,43.5329365,central Hokkaido volc,北海道,Hokkaido,上川郡新得町,Shintoku-ch?,地獄谷,,,Jigokudani,Jigokudani,地獄谷2,,0.0,accretionary complex,late Late Cretaceous to Early Oligocene,sandy turbidite of accretionary complex,K22-PG3at,1,1,53.2,31.2,自然,Spring (natural seepage),spring,,,S,,1975.9,3.43,,,201.0,,,7.6,2.2,,13,4.5,0.93,,,0.86,1.95,0.05,16.6,,92.2,,,,,,,,,,,,,,,,,,47.8,,,28.7,,,,,0.002,,,0.024,,,,,,,,mg/l,,,,R:01-09,01網走,4.A.4,,,,,,,,,,,,,1077.0,-590145.5065,938636.9007
111,142.8938612,43.532999,central Hokkaido volc,北海道,Hokkaido,上川郡新得町,Shintoku-ch?,地獄谷,,,Jigokudani,Jigokudani,地獄谷-18,,,accretionary complex,late Late Cretaceous to Early Oligocene,sandy turbidite of accretionary complex,K22-PG3at,1,0,94.9,,自然,Spring (natural seepage),spring,,,S,,1987.9.10,2.5,2.62,,1730.0,,0.03,19.9,5.72,12.42,42.42,9.39,,26.06,,0.5,38.99,0.73,0.9,,624,,,,,,,,,,,,,,,3.18,,,196.0,,,,3.5,,,,,TR,0.17,,0.01,,,,0.11,,,mg/l,,,,R:01-03,01網走,H-12,,,,,,,,,,,,,1076.0,-590151.2196,938644.3015
