x,y,sv_250,sv_500,sv_750,sv_1000
-2100000,90000,21.51845786812465,133.93117,278.60656680376565,549.8507389902506
-2100000,95000,27.148938484051293,175.93286,407.7212764287015,745.9223850434921
-2100000,100000,13.544705040130367,103.6276,249.45021282778805,494.6523388163653
-2100000,105000,9.810742737337307,64.02508,167.61548438609736,283.4585138044713
-2095000,95000,46.369138891408795,169.58644,446.41466667189786,929.48958597971
-2095000,100000,23.722054043226024,139.10545,314.3490271472397,602.8173769650604
-2095000,105000,18.310719692300125,115.40287,281.01736126708323,521.7633765468684
-2090000,95000,146.06382737776988,500.8787,1325.9288139910643,1790.3066574599575
-2085000,105000,10.024786101570566,88.91665,208.03966177908268,354.85055280535005
-2085000,110000,23.829273792981034,123.75808,298.4906178999543,509.914242451027
-2075000,110000,19.71509384022847,121.19132,271.9419278566171,515.6053623623964
-2070000,110000,16.351770298746587,124.82702,274.68372878982603,514.9330645705093
-2070000,115000,19.758246692435655,113.95555,281.42048451614653,516.6070301476639
-2060000,115000,17.864473097358214,105.43604,275.4932792441125,507.17653975356586
-2060000,120000,17.362421412752617,121.45292,276.95596460362265,507.84866635914887
-2060000,125000,3.6416673823092864,69.668175,190.26896554077098,314.8556955899919
-2055000,115000,26.894066185859792,133.68784,351.49142322856534,616.221497375026
-2055000,125000,6.725451875561127,66.50657,193.4293456123195,328.5930844483926
-2055000,140000,3.3599928186343924,66.16796,166.81669443554023,273.9115093221318
-2050000,115000,9.64508254521943,113.72215,247.11309052882433,474.79367030017863
-2050000,135000,4.954968291936616,93.17804,210.0847282692334,372.5808482543839
-2045000,-120000,7.992201383246911,120.939285,290.51848864308374,682.2701783902503
-2045000,-30000,23.689165004907423,130.28969,317.2191155430938,614.5337173985237
-2045000,145000,5.978815429125728,77.59613,188.18649815431638,346.0685676196703
-2040000,-30000,23.893201789039246,131.15593,317.14281999062206,614.1008813815424
-2035000,-25000,24.929536510594218,130.88924,322.0157909332436,616.829114463154
-2030000,-165000,751.0818812738459,1740.4524,4213.458323914521,7478.712922961189
-2025000,-165000,658.0856548823361,1057.7648,2540.4571559973965,3832.920562185159
-2025000,-20000,9.360553977474893,100.8973,233.6319905108302,467.29364432697616
-2020000,-20000,11.594583034079122,93.26537,727.0695800859395,589.6916021856331
-2020000,-15000,11.61969812346052,107.60514,272.8526142730876,483.54309798795504
-2020000,130000,3.2457468131283562,67.9944,174.80382416257567,293.44799352160123
-2015000,-20000,23.48831904870248,130.71964,293.6747613231693,534.3650895391047
-2015000,130000,3.2826863914768616,74.952545,187.68883866474636,346.4318357033461
-2015000,135000,5.051154798294078,79.13949,193.48595403105813,328.740969843705
-2015000,145000,1.0048599832171519,74.13941,187.8461849433896,314.5240298005284
-2010000,-190000,266.3936027675603,403.33707,828.8423509109103,1465.7557355637791
-2010000,-185000,270.80203837916724,383.00858,732.5781729381935,1445.6530311283013
-2010000,-180000,635.125870791803,1080.5681,2263.373800880432,3564.9989005791704
-2010000,-135000,709.0560957394499,1848.4133,3855.241338514716,6722.104502690019
-2010000,120000,6.652202644379539,94.69788,215.7382830970536,368.5843923056357
-2010000,140000,6.138156044046038,68.87634,191.6342672986231,324.2258722253488
-2010000,225000,32.83431633055912,133.52522,296.83153793326306,546.3008465383691
-2010000,230000,20.14941645493805,126.465576,277.9063918313758,525.57510145008
-2010000,235000,16.383123328580652,111.24737,277.3273989681395,522.3396374035384
-2005000,-195000,206.2339115538329,219.08852,552.2895604232802,1219.9369063595313
-2005000,-190000,318.1473432312878,475.19717,935.1151908177616,1617.838429540921
-2005000,-185000,619.3357016276109,953.37915,2249.149341986756,3665.023919582448
-2005000,-180000,636.0658126932925,1172.9584,2553.3964554156246,3608.8630428405672
-2005000,-175000,187.53821227056346,154.8378,332.78414635436593,807.4440761005441
-2005000,-70000,34.05670998815964,191.93582,460.23970623332605,843.3602497592335
-2005000,55000,24.784645322354606,139.22621,319.50481910840347,646.0481389364527
-2005000,65000,20.102859419968766,135.82137,326.62068808417257,658.6554246600817
-2005000,90000,8.70108451849076,117.14183,254.56505803734007,464.7062820323644
-2005000,95000,12.791601294314308,119.497665,275.4288489660984,498.32985522555464
-2005000,100000,6.569131012415852,93.857025,215.51623699833257,369.8929701425989
-2005000,140000,4.497600796701665,79.0213,189.94530110804646,323.7154154033234
-2005000,230000,22.33915867036115,125.750916,283.5885628885719,533.9311520103621
-2005000,235000,29.179914752264068,124.80951,288.9220919765528,526.5036551056689
-2005000,240000,21.380469219170905,126.33073,280.4342690990989,525.2072098152925
-2005000,245000,23.851590593271915,135.06815,307.6694064506102,554.9625170908338
-2000000,-195000,230.92196634267228,209.52538,634.5010435827976,1285.469434426534
-2000000,-190000,290.9082209005685,440.05038,912.9433907649042,1528.681509312094
-2000000,-185000,280.6976765778762,390.01785,841.79631562636,1515.7335067563895
-2000000,-180000,174.04644299424,128.75151,268.83262584075715,669.7241205408397
-2000000,-175000,186.991506581049,120.40795,271.7465688299163,674.1839610549769
-2000000,-85000,28.870932049660723,137.23215,334.0576350775921,604.4988447922221
-2000000,-80000,27.580064609544273,134.28917,327.75223905803324,604.5071797623427
-2000000,-75000,27.790955346114636,149.27698,319.0645378481927,624.3721735091623
-2000000,60000,13.596365197265655,86.51713,230.20624683729676,450.96328160256314
-2000000,85000,16.48362666862286,123.403984,276.21290590334917,499.4241303800261
-2000000,90000,9.518727916676362,115.35155,269.9863698416525,483.52393409410763
-2000000,95000,59.208188022661844,116.623085,245.69925957258312,466.28725799736793
