x,y,h_z,group_ja
-1780000,170000,-2250,火成岩
-1780000,180000,-2250,火成岩
-1780000,190000,-2250,火成岩
-1780000,200000,-2250,火成岩
-1770000,140000,-2250,変成岩
-1770000,150000,-2250,堆積岩
-1770000,160000,-2250,変成岩
-1770000,170000,-2250,火成岩
-1770000,180000,-2250,火成岩
-1770000,190000,-2250,火成岩
-1770000,200000,-2250,火成岩
-1770000,210000,-2250,堆積岩
-1760000,140000,-2250,火成岩
-1760000,150000,-2250,堆積岩
-1760000,160000,-2250,付加体
-1760000,170000,-2250,火成岩
-1760000,180000,-2250,火成岩
-1760000,190000,-2250,堆積岩
-1760000,200000,-2250,付加体
-1760000,210000,-2250,火成岩
-1750000,130000,-2250,火成岩
-1750000,140000,-2250,堆積岩
-1750000,150000,-2250,付加体
-1750000,160000,-2250,付加体
-1750000,170000,-2250,付加体
-1750000,180000,-2250,堆積岩
-1750000,190000,-2250,火成岩
-1750000,200000,-2250,付加体
-1740000,130000,-2250,変成岩
-1740000,140000,-2250,火成岩
-1740000,150000,-2250,付加体
-1740000,160000,-2250,変成岩
-1740000,170000,-2250,変成岩
-1740000,180000,-2250,火成岩
-1740000,190000,-2250,火成岩
-1740000,200000,-2250,火成岩
-1740000,210000,-2250,火成岩
-1730000,20000,-2250,付加体
-1730000,30000,-2250,付加体
-1730000,40000,-2250,付加体
-1730000,120000,-2250,火成岩
-1730000,140000,-2250,火成岩
-1730000,150000,-2250,付加体
-1730000,160000,-2250,堆積岩
-1730000,170000,-2250,火成岩
-1730000,180000,-2250,火成岩
-1730000,190000,-2250,火成岩
-1730000,200000,-2250,火成岩
-1730000,210000,-2250,変成岩
-1720000,0,-2250,付加体
-1720000,20000,-2250,付加体
-1720000,30000,-2250,付加体
-1720000,40000,-2250,堆積岩
-1720000,50000,-2250,付加体
-1720000,60000,-2250,堆積岩
-1720000,70000,-2250,変成岩
-1720000,80000,-2250,変成岩
-1720000,160000,-2250,火成岩
-1720000,170000,-2250,火成岩
-1720000,180000,-2250,火成岩
-1720000,190000,-2250,火成岩
-1720000,200000,-2250,火成岩
-1720000,210000,-2250,火成岩
-1720000,220000,-2250,火成岩
-1710000,0,-2250,付加体
-1710000,10000,-2250,堆積岩
-1710000,20000,-2250,付加体
-1710000,30000,-2250,付加体
-1710000,40000,-2250,火成岩
-1710000,50000,-2250,付加体
-1710000,60000,-2250,付加体
-1710000,70000,-2250,変成岩
-1710000,80000,-2250,変成岩
-1710000,170000,-2250,火成岩
-1710000,180000,-2250,火成岩
-1710000,190000,-2250,火成岩
-1710000,200000,-2250,火成岩
-1710000,210000,-2250,火成岩
-1710000,220000,-2250,堆積岩
-1700000,0,-2250,付加体
-1700000,10000,-2250,堆積岩
-1700000,20000,-2250,付加体
-1700000,30000,-2250,付加体
-1700000,40000,-2250,付加体
-1700000,50000,-2250,付加体
-1700000,60000,-2250,付加体
-1700000,70000,-2250,変成岩
-1700000,80000,-2250,変成岩
-1700000,120000,-2250,火成岩
-1700000,150000,-2250,火成岩
-1700000,160000,-2250,その他
-1700000,170000,-2250,火成岩
-1700000,180000,-2250,付加体
-1700000,190000,-2250,火成岩
-1700000,200000,-2250,火成岩
-1700000,210000,-2250,火成岩
-1700000,220000,-2250,火成岩
-1700000,230000,-2250,堆積岩
-1690000,0,-2250,堆積岩
-1690000,10000,-2250,堆積岩
-1690000,20000,-2250,付加体
-1690000,30000,-2250,付加体
-1690000,40000,-2250,付加体
-1690000,50000,-2250,付加体
-1690000,60000,-2250,変成岩
-1690000,70000,-2250,変成岩
-1690000,80000,-2250,変成岩
-1690000,90000,-2250,堆積岩
-1690000,100000,-2250,その他
-1690000,150000,-2250,火成岩
-1690000,160000,-2250,火成岩
-1690000,170000,-2250,火成岩
-1690000,180000,-2250,火成岩
-1690000,190000,-2250,火成岩
-1690000,200000,-2250,火成岩
-1690000,210000,-2250,火成岩
-1690000,220000,-2250,火成岩
-1690000,230000,-2250,火成岩
-1680000,20000,-2250,付加体
-1680000,30000,-2250,付加体
-1680000,40000,-2250,堆積岩
-1680000,50000,-2250,付加体
-1680000,60000,-2250,付加体
-1680000,70000,-2250,変成岩
-1680000,80000,-2250,堆積岩
-1680000,90000,-2250,堆積岩
-1680000,100000,-2250,火成岩
-1680000,140000,-2250,その他
-1680000,150000,-2250,堆積岩
-1680000,160000,-2250,火成岩
-1680000,170000,-2250,火成岩
-1680000,180000,-2250,火成岩
-1680000,190000,-2250,堆積岩
-1680000,200000,-2250,火成岩
-1680000,210000,-2250,火成岩
-1680000,220000,-2250,堆積岩
-1680000,230000,-2250,火成岩
-1680000,240000,-2250,堆積岩
-1670000,20000,-2250,付加体
-1670000,30000,-2250,付加体
-1670000,40000,-2250,付加体
-1670000,50000,-2250,付加体
-1670000,60000,-2250,変成岩
-1670000,70000,-2250,変成岩
-1670000,80000,-2250,堆積岩
-1670000,90000,-2250,堆積岩
-1670000,100000,-2250,変成岩
-1670000,110000,-2250,火成岩
-1670000,130000,-2250,火成岩
-1670000,150000,-2250,火成岩
-1670000,160000,-2250,堆積岩
-1670000,170000,-2250,火成岩
-1670000,180000,-2250,火成岩
-1670000,190000,-2250,火成岩
-1670000,200000,-2250,火成岩
-1670000,210000,-2250,火成岩
-1670000,220000,-2250,火成岩
-1670000,230000,-2250,火成岩
-1670000,240000,-2250,火成岩
-1660000,30000,-2250,堆積岩
-1660000,40000,-2250,堆積岩
-1660000,50000,-2250,付加体
-1660000,60000,-2250,変成岩
-1660000,70000,-2250,変成岩
-1660000,80000,-2250,変成岩
-1660000,90000,-2250,変成岩
-1660000,100000,-2250,変成岩
-1660000,110000,-2250,火成岩
-1660000,120000,-2250,火成岩
-1660000,150000,-2250,火成岩
-1660000,160000,-2250,火成岩
-1660000,170000,-2250,付加体
-1660000,180000,-2250,火成岩
-1660000,190000,-2250,堆積岩
-1660000,200000,-2250,堆積岩
-1660000,210000,-2250,火成岩
-1660000,220000,-2250,火成岩
-1660000,230000,-2250,火成岩
-1660000,240000,-2250,火成岩
-1650000,40000,-2250,付加体
-1650000,50000,-2250,付加体
-1650000,60000,-2250,付加体
-1650000,70000,-2250,変成岩
-1650000,80000,-2250,変成岩
-1650000,90000,-2250,変成岩
-1650000,100000,-2250,堆積岩
-1650000,120000,-2250,火成岩
-1650000,150000,-2250,火成岩
-1650000,160000,-2250,火成岩
-1650000,170000,-2250,火成岩
-1650000,180000,-2250,火成岩
-1650000,190000,-2250,火成岩
-1650000,200000,-2250,火成岩
-1650000,210000,-2250,火成岩
-1650000,220000,-2250,火成岩
-1650000,230000,-2250,火成岩
-1650000,240000,-2250,火成岩
-1650000,250000,-2250,堆積岩
-1650000,260000,-2250,火成岩
-1640000,50000,-2250,付加体
-1640000,60000,-2250,付加体
-1640000,70000,-2250,変成岩
-1640000,80000,-2250,変成岩
-1640000,90000,-2250,変成岩
-1640000,130000,-2250,火成岩
-1640000,140000,-2250,火成岩
-1640000,150000,-2250,付加体
-1640000,160000,-2250,火成岩
-1640000,170000,-2250,堆積岩
-1640000,180000,-2250,堆積岩
-1640000,190000,-2250,堆積岩
-1640000,200000,-2250,火成岩
-1640000,210000,-2250,火成岩
-1640000,220000,-2250,火成岩
-1640000,230000,-2250,火成岩
-1640000,240000,-2250,火成岩
-1640000,250000,-2250,火成岩
-1640000,260000,-2250,堆積岩
-1630000,50000,-2250,付加体
-1630000,60000,-2250,付加体
-1630000,70000,-2250,変成岩
-1630000,80000,-2250,変成岩
-1630000,90000,-2250,変成岩
-1630000,100000,-2250,その他
-1630000,130000,-2250,火成岩
-1630000,150000,-2250,火成岩
-1630000,160000,-2250,火成岩
-1630000,170000,-2250,堆積岩
-1630000,180000,-2250,火成岩
-1630000,190000,-2250,火成岩
-1630000,200000,-2250,堆積岩
-1630000,210000,-2250,火成岩
-1630000,220000,-2250,火成岩
-1630000,230000,-2250,火成岩
-1630000,240000,-2250,火成岩
-1630000,250000,-2250,堆積岩
-1630000,260000,-2250,堆積岩
-1620000,50000,-2250,付加体
-1620000,60000,-2250,付加体
-1620000,70000,-2250,変成岩
-1620000,80000,-2250,変成岩
-1620000,90000,-2250,変成岩
-1620000,150000,-2250,堆積岩
-1620000,160000,-2250,火成岩
-1620000,170000,-2250,火成岩
-1620000,180000,-2250,火成岩
-1620000,190000,-2250,火成岩
-1620000,200000,-2250,付加体
-1620000,210000,-2250,火成岩
-1620000,220000,-2250,火成岩
-1620000,230000,-2250,火成岩
-1620000,240000,-2250,火成岩
-1620000,250000,-2250,火成岩
-1620000,260000,-2250,堆積岩
-1610000,50000,-2250,堆積岩
-1610000,60000,-2250,付加体
-1610000,70000,-2250,変成岩
-1610000,80000,-2250,変成岩
-1610000,90000,-2250,変成岩
-1610000,140000,-2250,付加体
-1610000,150000,-2250,堆積岩
-1610000,160000,-2250,火成岩
-1610000,170000,-2250,堆積岩
-1610000,180000,-2250,付加体
-1610000,190000,-2250,堆積岩
-1610000,200000,-2250,火成岩
-1610000,210000,-2250,堆積岩
-1610000,220000,-2250,火成岩
-1610000,230000,-2250,火成岩
-1610000,240000,-2250,火成岩
-1610000,250000,-2250,堆積岩
-1610000,260000,-2250,火成岩
-1600000,50000,-2250,堆積岩
-1600000,60000,-2250,付加体
-1600000,70000,-2250,変成岩
-1600000,80000,-2250,変成岩
-1600000,90000,-2250,変成岩
-1600000,150000,-2250,堆積岩
-1600000,160000,-2250,堆積岩
-1600000,170000,-2250,堆積岩
-1600000,180000,-2250,火成岩
-1600000,190000,-2250,火成岩
-1600000,200000,-2250,変成岩
-1600000,210000,-2250,火成岩
-1600000,220000,-2250,変成岩
-1600000,230000,-2250,火成岩
-1600000,240000,-2250,火成岩
-1600000,250000,-2250,堆積岩
-1600000,260000,-2250,堆積岩
-1590000,50000,-2250,付加体
-1590000,60000,-2250,付加体
-1590000,70000,-2250,変成岩
-1590000,80000,-2250,変成岩
-1590000,90000,-2250,変成岩
-1590000,100000,-2250,堆積岩
-1590000,110000,-2250,火成岩
-1590000,150000,-2250,堆積岩
-1590000,160000,-2250,火成岩
-1590000,170000,-2250,堆積岩
-1590000,180000,-2250,火成岩
-1590000,190000,-2250,火成岩
-1590000,200000,-2250,火成岩
-1590000,210000,-2250,火成岩
-1590000,220000,-2250,火成岩
-1590000,230000,-2250,火成岩
-1590000,240000,-2250,火成岩
-1590000,250000,-2250,堆積岩
-1590000,260000,-2250,その他
-1580000,40000,-2250,付加体
-1580000,50000,-2250,付加体
-1580000,60000,-2250,堆積岩
-1580000,70000,-2250,変成岩
-1580000,80000,-2250,変成岩
-1580000,90000,-2250,変成岩
-1580000,100000,-2250,堆積岩
-1580000,110000,-2250,火成岩
-1580000,130000,-2250,火成岩
-1580000,150000,-2250,堆積岩
-1580000,160000,-2250,火成岩
-1580000,170000,-2250,堆積岩
-1580000,180000,-2250,火成岩
-1580000,190000,-2250,付加体
-1580000,200000,-2250,火成岩
-1580000,210000,-2250,火成岩
-1580000,220000,-2250,火成岩
-1580000,230000,-2250,火成岩
-1580000,240000,-2250,火成岩
-1570000,20000,-2250,付加体
-1570000,30000,-2250,付加体
-1570000,40000,-2250,付加体
-1570000,50000,-2250,付加体
-1570000,60000,-2250,堆積岩
-1570000,70000,-2250,変成岩
-1570000,80000,-2250,変成岩
-1570000,90000,-2250,変成岩
-1570000,100000,-2250,堆積岩
-1570000,110000,-2250,堆積岩
-1570000,120000,-2250,火成岩
-1570000,140000,-2250,火成岩
-1570000,150000,-2250,堆積岩
-1570000,160000,-2250,堆積岩
-1570000,170000,-2250,火成岩
-1570000,180000,-2250,堆積岩
-1570000,190000,-2250,付加体
-1570000,200000,-2250,変成岩
-1570000,210000,-2250,火成岩
-1570000,220000,-2250,火成岩
-1570000,230000,-2250,火成岩
-1570000,240000,-2250,火成岩
-1570000,250000,-2250,堆積岩
-1560000,10000,-2250,火成岩
-1560000,20000,-2250,付加体
-1560000,30000,-2250,付加体
-1560000,40000,-2250,付加体
-1560000,50000,-2250,付加体
-1560000,60000,-2250,付加体
-1560000,70000,-2250,変成岩
-1560000,80000,-2250,変成岩
-1560000,90000,-2250,堆積岩
-1560000,100000,-2250,堆積岩
-1560000,110000,-2250,火成岩
-1560000,120000,-2250,火成岩
-1560000,140000,-2250,付加体
-1560000,150000,-2250,その他
-1560000,160000,-2250,堆積岩
-1560000,170000,-2250,堆積岩
-1560000,180000,-2250,堆積岩
