x,y,h_z,age
-1980000,-30000,-1750,4.913
-1980000,-25000,-1750,4.913
-1980000,-20000,-1750,107.45
-1980000,-15000,-1750,4.913
-1980000,-10000,-1750,4.913
-1980000,-5000,-1750,0.00585
-1980000,5000,-1750,4.913
-1980000,10000,-1750,4.913
-1980000,20000,-1750,74.8
-1980000,25000,-1750,40.849999999999994
-1980000,30000,-1750,40.849999999999994
-1980000,35000,-1750,40.849999999999994
-1980000,40000,-1750,40.849999999999994
-1980000,70000,-1750,0.00585
-1980000,75000,-1750,0.00585
-1980000,80000,-1750,4.913
-1980000,105000,-1750,2.19
-1980000,110000,-1750,30.86
-1980000,115000,-1750,30.86
-1980000,120000,-1750,30.86
-1980000,125000,-1750,11.608
-1980000,130000,-1750,24.130000000000003
-1980000,135000,-1750,4.913
-1980000,145000,-1750,24.130000000000003
-1980000,260000,-1750,24.130000000000003
-1980000,265000,-1750,17.130000000000003
-1980000,270000,-1750,17.130000000000003
-1975000,-100000,-1750,0.00585
-1975000,-95000,-1750,1.29
-1975000,-90000,-1750,0.07035
-1975000,-85000,-1750,92.05
-1975000,-80000,-1750,92.05
-1975000,-75000,-1750,92.05
-1975000,-70000,-1750,92.05
-1975000,-65000,-1750,107.45
-1975000,-60000,-1750,4.913
-1975000,-55000,-1750,0.07035
-1975000,-50000,-1750,0.07035
-1975000,-45000,-1750,2.19
-1975000,-40000,-1750,2.19
-1975000,-35000,-1750,0.00585
-1975000,-30000,-1750,0.00585
-1975000,-25000,-1750,0.00585
-1975000,-20000,-1750,107.45
-1975000,-15000,-1750,107.45
-1975000,-10000,-1750,0.00585
-1975000,-5000,-1750,0.00585
-1975000,20000,-1750,40.849999999999994
-1975000,25000,-1750,40.849999999999994
-1975000,30000,-1750,40.849999999999994
-1975000,35000,-1750,40.849999999999994
-1975000,40000,-1750,40.849999999999994
-1975000,70000,-1750,40.849999999999994
-1975000,75000,-1750,0.00585
-1975000,80000,-1750,40.849999999999994
-1975000,85000,-1750,1.287
-1975000,90000,-1750,0.4515
-1975000,95000,-1750,0.4515
-1975000,100000,-1750,2.19
-1975000,105000,-1750,2.19
-1975000,110000,-1750,30.86
-1975000,115000,-1750,2.19
-1975000,120000,-1750,30.86
-1975000,125000,-1750,30.86
-1975000,130000,-1750,0.0021
-1975000,135000,-1750,30.86
-1975000,140000,-1750,24.130000000000003
-1975000,145000,-1750,24.130000000000003
-1975000,175000,-1750,0.4515
-1975000,180000,-1750,4.913
-1975000,185000,-1750,4.913
-1975000,260000,-1750,17.130000000000003
-1975000,265000,-1750,17.130000000000003
-1975000,270000,-1750,17.130000000000003
-1970000,-105000,-1750,0.00585
-1970000,-100000,-1750,0.00585
-1970000,-95000,-1750,0.07035
-1970000,-90000,-1750,2.19
-1970000,-85000,-1750,0.07035
-1970000,-80000,-1750,92.05
-1970000,-75000,-1750,107.45
-1970000,-70000,-1750,0.07035
-1970000,-65000,-1750,4.913
-1970000,-60000,-1750,0.07035
-1970000,-55000,-1750,0.07035
-1970000,-50000,-1750,2.19
-1970000,-45000,-1750,0.07035
-1970000,-40000,-1750,2.19
-1970000,-35000,-1750,0.00585
-1970000,-30000,-1750,0.07035
-1970000,-25000,-1750,107.45
-1970000,-20000,-1750,107.45
-1970000,-15000,-1750,107.45
-1970000,-10000,-1750,0.07035
-1970000,-5000,-1750,0.0021
-1970000,15000,-1750,92.05
-1970000,25000,-1750,40.849999999999994
-1970000,30000,-1750,40.849999999999994
-1970000,35000,-1750,0.07035
-1970000,40000,-1750,40.849999999999994
-1970000,70000,-1750,1.287
-1970000,75000,-1750,0.00585
-1970000,80000,-1750,1.29
-1970000,85000,-1750,1.287
-1970000,90000,-1750,0.4515
-1970000,95000,-1750,1.287
-1970000,100000,-1750,11.608
-1970000,105000,-1750,30.86
-1970000,110000,-1750,11.608
-1970000,115000,-1750,0.00585
-1970000,120000,-1750,30.86
-1970000,125000,-1750,30.86
-1970000,130000,-1750,30.86
-1970000,135000,-1750,30.86
-1970000,140000,-1750,30.86
-1970000,145000,-1750,4.913
-1970000,175000,-1750,4.913
-1970000,180000,-1750,0.00585
-1970000,270000,-1750,17.130000000000003
-1970000,275000,-1750,17.130000000000003
-1965000,-195000,-1750,0.07035
-1965000,-125000,-1750,24.130000000000003
-1965000,-105000,-1750,0.00585
-1965000,-100000,-1750,0.07035
-1965000,-95000,-1750,0.07035
-1965000,-70000,-1750,0.0021
-1965000,-65000,-1750,0.07035
-1965000,-60000,-1750,0.07035
-1965000,-55000,-1750,0.07035
-1965000,-50000,-1750,0.07035
-1965000,-45000,-1750,2.19
-1965000,-40000,-1750,0.00585
-1965000,-35000,-1750,0.07035
-1965000,-30000,-1750,2.19
-1965000,-25000,-1750,92.05
-1965000,-20000,-1750,107.45
-1965000,-15000,-1750,107.45
-1965000,-10000,-1750,0.00585
-1965000,-5000,-1750,0.00585
-1965000,25000,-1750,40.849999999999994
-1965000,30000,-1750,40.849999999999994
-1965000,50000,-1750,1.287
-1965000,55000,-1750,1.287
-1965000,70000,-1750,1.287
-1965000,75000,-1750,0.0021
-1965000,80000,-1750,1.29
-1965000,85000,-1750,0.4515
-1965000,90000,-1750,1.287
-1965000,95000,-1750,4.913
-1965000,100000,-1750,11.608
-1965000,105000,-1750,0.00585
-1965000,110000,-1750,30.86
-1965000,115000,-1750,30.86
-1965000,120000,-1750,30.86
-1965000,125000,-1750,30.86
-1965000,130000,-1750,30.86
-1965000,135000,-1750,30.86
-1965000,140000,-1750,112.75
-1965000,145000,-1750,112.75
-1965000,150000,-1750,4.913
-1965000,155000,-1750,4.913
-1960000,-190000,-1750,11.608
-1960000,-185000,-1750,0.07035
-1960000,-120000,-1750,24.130000000000003
-1960000,-65000,-1750,0.00585
-1960000,-60000,-1750,0.07035
-1960000,-55000,-1750,0.07035
-1960000,-50000,-1750,2.19
-1960000,-45000,-1750,2.19
-1960000,-40000,-1750,0.07035
-1960000,-35000,-1750,2.19
-1960000,-30000,-1750,0.07035
-1960000,-25000,-1750,0.07035
-1960000,-20000,-1750,92.05
-1960000,-15000,-1750,107.45
-1960000,-10000,-1750,107.45
-1960000,-5000,-1750,2.19
-1960000,20000,-1750,40.849999999999994
-1960000,25000,-1750,40.849999999999994
-1960000,30000,-1750,40.849999999999994
-1960000,50000,-1750,1.3545
-1960000,55000,-1750,0.4515
-1960000,70000,-1750,0.4515
-1960000,80000,-1750,1.29
-1960000,85000,-1750,0.4515
-1960000,90000,-1750,1.287
-1960000,95000,-1750,0.00585
-1960000,100000,-1750,0.00585
-1960000,105000,-1750,0.00585
-1960000,110000,-1750,0.00585
-1960000,115000,-1750,30.86
-1960000,120000,-1750,11.608
-1960000,125000,-1750,40.849999999999994
-1960000,130000,-1750,0.00585
-1960000,135000,-1750,112.75
-1960000,140000,-1750,0.0021
-1960000,145000,-1750,112.75
-1955000,-190000,-1750,11.608
-1955000,-185000,-1750,11.608
