ido,keido,symbol,formationAge_ja,group_ja,lithology_ja
30.42333317,130.45115819999998,N1_pam_a,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,火成岩,花崗岩 塊状 島弧・大陸
31.401888,130.15301259999998,N3_vis_al,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
32.55919989,129.7863782,Tr22-J31_mscpe_hc,中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期,変成岩,泥質片岩 高P/T型広域変成岩　緑泥石帯
32.65143109,129.7564798,Pg2_sbs,新生代 古第三紀 始新世 ルテシアン期〜プリアボニアン期,堆積岩,汽水成層ないし海成・非海成混合層 砂岩，砂岩泥岩互層ないし砂岩・泥岩
32.88178179,129.6813577,K122-Pg12_mscpe_hg,中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期,変成岩,泥質片岩 高P/T型広域変成岩　ざくろ石帯
32.92781304,129.6662685,K122-Pg12_mscpe_hg,中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期,変成岩,泥質片岩 高P/T型広域変成岩　ざくろ石帯
32.97383135,129.65115749999998,K122-Pg12_mscpe_hg,中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期,変成岩,泥質片岩 高P/T型広域変成岩　ざくろ石帯
33.34151321,129.5294825,N2_vba_al,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,火成岩,アルカリ玄武岩・粗面玄武岩 溶岩・火砕岩
34.16579774,129.2504988,Pg4_sosma,新生代 古第三紀 漸新世 チャッティアン期〜新第三紀 中新世 アキタニアン期,堆積岩,海成層 砂岩泥岩互層
34.21147035,129.23478390000002,Pg4_sosma,新生代 古第三紀 漸新世 チャッティアン期〜新第三紀 中新世 アキタニアン期,堆積岩,海成層 砂岩泥岩互層
34.25713029,129.219046,Pg4_sosma,新生代 古第三紀 漸新世 チャッティアン期〜新第三紀 中新世 アキタニアン期,堆積岩,海成層 砂岩泥岩互層
34.30277756,129.20328510000002,Pg4_sosma,新生代 古第三紀 漸新世 チャッティアン期〜新第三紀 中新世 アキタニアン期,堆積岩,海成層 砂岩泥岩互層
30.25045203,130.5528204,N1_pam_a,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,火成岩,花崗岩 塊状 島弧・大陸
30.2972452,130.5389267,H_vas_ap,新生代 第四紀 完新世,火成岩,デイサイト・流紋岩 大規模火砕流
30.34402482,130.52501370000002,N1_pam_a,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,火成岩,花崗岩 塊状 島弧・大陸
30.39079088,130.5110814,N1_pim_a,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,火成岩,花崗閃緑岩・トーナル岩 塊状 島弧・大陸
30.43754342,130.4971297,Pg14-3_som_Pg2,新生代 古第三紀 始新世 ヤプレシアン期〜漸新世 ルペリアン期,付加体,海成層 泥岩 始新世-前期漸新世付加体
31.27678841,130.2426423,N3_vis_al,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
31.32328606,130.22831509999997,N3_vis_al,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
31.36977041,130.2139677,K12-212_somas_K1,中生代 前期白亜紀 アプチアン期〜後期白亜紀 チューロニアン期,付加体,砂岩泥岩互層 前期白亜紀後期-後期白亜紀前期付加体
32.61986152,129.81881,K122-Pg12_mscpe_hab,中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期,変成岩,泥質片岩 高P/T型広域変成岩　アルバイト黒雲母帯
32.85031403,129.7439487,K122-Pg12_mscpe_hg,中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期,変成岩,泥質片岩 高P/T型広域変成岩　ざくろ石帯
32.89636565,129.7289119,K122-Pg12_mscpe_hg,中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期,変成岩,泥質片岩 高P/T型広域変成岩　ざくろ石帯
32.94240435,129.7138534,K122-Pg12_mscpe_hg,中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期,変成岩,泥質片岩 高P/T型広域変成岩　ざくろ石帯
32.98843011,129.6987733,K122-Pg12_mscpe_hg,中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期,変成岩,泥質片岩 高P/T型広域変成岩　ざくろ石帯
33.03444297,129.6836714,N2_vba_al,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,火成岩,アルカリ玄武岩・粗面玄武岩 溶岩・火砕岩
33.08044292,129.6685477,N2_vis_al,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
33.17240414,129.6382349,Pg3_sbs,新生代 古第三紀 漸新世 ルペリアン期,堆積岩,汽水成層ないし海成・非海成混合層 砂岩，砂岩泥岩互層ないし砂岩・泥岩
33.21836544,129.6230456,Pg3_sbs,新生代 古第三紀 漸新世 ルペリアン期,堆積岩,汽水成層ないし海成・非海成混合層 砂岩，砂岩泥岩互層ないし砂岩・泥岩
33.26431387,129.6078344,Pg4_sns,新生代 古第三紀 漸新世 チャッティアン期〜新第三紀 中新世 アキタニアン期,堆積岩,非海成層 砂岩，砂岩泥岩互層ないし砂岩・泥岩
33.31024945,129.59260120000002,N2_vba_al,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,火成岩,アルカリ玄武岩・粗面玄武岩 溶岩・火砕岩
33.35617218,129.5773459,N2_vba_al,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,火成岩,アルカリ玄武岩・粗面玄武岩 溶岩・火砕岩
33.493863399999995,129.53144740000002,N2_vba_al,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,火成岩,アルカリ玄武岩・粗面玄武岩 溶岩・火砕岩
34.22627622,129.2832445,Pg4_sosma,新生代 古第三紀 漸新世 チャッティアン期〜新第三紀 中新世 アキタニアン期,堆積岩,海成層 砂岩泥岩互層
34.27194404,129.2675384,N1_vas_ap,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,火成岩,デイサイト・流紋岩 大規模火砕流
34.36324175,129.23605700000002,Pg4_sosma,新生代 古第三紀 漸新世 チャッティアン期〜新第三紀 中新世 アキタニアン期,堆積岩,海成層 砂岩泥岩互層
30.26460228,130.59869550000002,Pg14-3_soss_Pg2,新生代 古第三紀 始新世 ヤプレシアン期〜漸新世 ルペリアン期,付加体,海成層 砂岩 始新世-前期漸新世付加体
30.31140207,130.5848307,N1_pam_a,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,火成岩,花崗岩 塊状 島弧・大陸
30.35818831,130.5709467,N1_pam_a,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,火成岩,花崗岩 塊状 島弧・大陸
30.40496102,130.5570433,N1_pam_a,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,火成岩,花崗岩 塊状 島弧・大陸
31.29108738,130.2891611,H_sad,新生代 第四紀 完新世,堆積岩,谷底平野・山間盆地・河川・海岸平野堆積物
31.33759196,130.2748635,Q33_vas_ap,新生代 第四紀 後期更新世後期,火成岩,デイサイト・流紋岩 大規模火砕流
31.38408325,130.2605457,K12-212_somas_K1,中生代 前期白亜紀 アプチアン期〜後期白亜紀 チューロニアン期,付加体,砂岩泥岩互層 前期白亜紀後期-後期白亜紀前期付加体
32.26490853,129.9846272,K22_sosma,中生代 後期白亜紀 カンパニアン期〜マーストリヒチアン期,堆積岩,海成層 砂岩泥岩互層
32.68049085,129.8513029,K122-Pg12_mscma_hab,中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期,変成岩,苦鉄質片岩 高P/T型広域変成岩　アルバイト黒雲母帯
32.72660167,129.8363828,N3_vis_ap,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,安山岩・玄武岩質安山岩 大規模火砕流
32.77269953,129.8214413,N3_vis_al,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
32.81878444,129.8064783,K122-Pg12_mscpe_hg,中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期,変成岩,泥質片岩 高P/T型広域変成岩　ざくろ石帯
32.86485641,129.7914938,K122-Pg12_mscpe_hg,中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期,変成岩,泥質片岩 高P/T型広域変成岩　ざくろ石帯
32.91091545,129.77648770000002,K122-Pg12_mscpe_hg,中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期,変成岩,泥質片岩 高P/T型広域変成岩　ざくろ石帯
32.95696158,129.7614601,K122-Pg12_mscpe_hg,中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期,変成岩,泥質片岩 高P/T型広域変成岩　ざくろ石帯
33.00299479,129.7464107,K122-Pg12_mscpe_hg,中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期,変成岩,泥質片岩 高P/T型広域変成岩　ざくろ石帯
33.14101708,129.7011324,Pg3_sbs,新生代 古第三紀 漸新世 ルペリアン期,堆積岩,汽水成層ないし海成・非海成混合層 砂岩，砂岩泥岩互層ないし砂岩・泥岩
33.18699875,129.68599609999998,Pg3_sbs,新生代 古第三紀 漸新世 ルペリアン期,堆積岩,汽水成層ないし海成・非海成混合層 砂岩，砂岩泥岩互層ないし砂岩・泥岩
33.23296757,129.67083780000002,Pg4_sns,新生代 古第三紀 漸新世 チャッティアン期〜新第三紀 中新世 アキタニアン期,堆積岩,非海成層 砂岩，砂岩泥岩互層ないし砂岩・泥岩
33.27892354,129.6556577,Pg4_sns,新生代 古第三紀 漸新世 チャッティアン期〜新第三紀 中新世 アキタニアン期,堆積岩,非海成層 砂岩，砂岩泥岩互層ないし砂岩・泥岩
33.32486666,129.6404556,N2_vba_al,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,火成岩,アルカリ玄武岩・粗面玄武岩 溶岩・火砕岩
34.28672336,129.3160538,N1_sosma,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,堆積岩,海成層 砂岩泥岩互層
34.33238642,129.3003566,N1_sosma,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,堆積岩,海成層 砂岩泥岩互層
30.32552549,130.630754,N1_pam_a,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,火成岩,花崗岩 塊状 島弧・大陸
30.37231835,130.6168989,Pg14-3_som_Pg2,新生代 古第三紀 始新世 ヤプレシアン期〜漸新世 ルペリアン期,付加体,海成層 泥岩 始新世-前期漸新世付加体
31.25882792,130.3499478,Q31_vas_ap,新生代 第四紀 後期更新世前期,火成岩,デイサイト・流紋岩 大規模火砕流
31.30535269,130.3356999,Q31_vas_ap,新生代 第四紀 後期更新世前期,火成岩,デイサイト・流紋岩 大規模火砕流
31.35186417,130.32143200000002,K12-212_somas_K1,中生代 前期白亜紀 アプチアン期〜後期白亜紀 チューロニアン期,付加体,砂岩泥岩互層 前期白亜紀後期-後期白亜紀前期付加体
31.39836239,130.307144,Q33_vas_ap,新生代 第四紀 後期更新世後期,火成岩,デイサイト・流紋岩 大規模火砕流
31.44484734,130.2928358,H_ssd,新生代 第四紀 完新世,堆積岩,海岸・砂丘堆積物
31.76987171,130.192111,Q11_vis_al,新生代 第四紀 更新世 ジェラシアン期,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
31.816251,130.1776402,N3_via_al,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,粗面安山岩 溶岩・火砕岩
32.23307375,130.04647409999998,Pg2_som,新生代 古第三紀 始新世 ルテシアン期〜プリアボニアン期,堆積岩,海成層 泥岩
32.27932195,130.0317962,Pg2_sns,新生代 古第三紀 始新世 ルテシアン期〜プリアボニアン期,堆積岩,非海成層 砂岩，砂岩泥岩互層ないし砂岩・泥岩
32.32555709,130.0170973,K22_sbsm,中生代 後期白亜紀 カンパニアン期〜マーストリヒチアン期,堆積岩,汽水成層ないし海成・非海成混合層 砂岩泥岩互層ないし砂岩・泥岩
32.37177919,130.0023774,K22_sosma,中生代 後期白亜紀 カンパニアン期〜マーストリヒチアン期,堆積岩,海成層 砂岩泥岩互層
32.69496969,129.8987466,K122-Pg12_mscpe_hg,中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期,変成岩,泥質片岩 高P/T型広域変成岩　ざくろ石帯
32.74108786,129.8838572,N3_vis_ap,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,安山岩・玄武岩質安山岩 大規模火砕流
32.78719308,129.86894640000003,N3_vis_ap,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,安山岩・玄武岩質安山岩 大規模火砕流
32.83328537,129.85401409999997,H_sad,新生代 第四紀 完新世,堆積岩,谷底平野・山間盆地・河川・海岸平野堆積物
32.97148471,129.80908829999998,K122-Pg12_mscpe_hg,中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期,変成岩,泥質片岩 高P/T型広域変成岩　ざくろ石帯
33.06355312,129.7790298,Pg3_soss,新生代 古第三紀 漸新世 ルペリアン期,堆積岩,海成層 砂岩
33.10956801,129.7639681,Pg3_soss,新生代 古第三紀 漸新世 ルペリアン期,堆積岩,海成層 砂岩
